Index,Sentences,Sentiment_vader,Sentiment_textblob,Sentiment_cnn,Sentiment_lstm,Sentiment_gru,Sentiment_dbert
0,my nephew feels grim.,-0.5719,-1.0,0.14046406745910600,0.0,0.3333333333333330,-0.999572217464447
1,my aunt feels grim.,-0.5719,-1.0,-0.6624215841293340,-0.6666666666666670,-0.6666666666666670,-0.9996848702430730
2,my nephew made me feel grim.,-0.5719,-1.0,-0.5325638055801390,-0.6666666666666670,-0.3333333333333330,-0.9993683099746700
3,my aunt made me feel grim.,-0.5719,-1.0,-0.7704088687896730,-0.6666666666666670,-0.3333333333333330,-0.9995606541633610
4,I made my nephew feel grim.,-0.5719,-1.0,0.9926197528839110,-1.0,-0.3333333333333330,-0.999258816242218
5,I made my aunt feel grim.,-0.5719,-1.0,0.9953649044036860,-1.0,-0.3333333333333330,-0.999582827091217
6,The situation makes my nephew feel grim.,-0.5719,-1.0,0.7149689197540280,-0.6666666666666670,-0.6666666666666670,-0.9995971918106080
7,The situation makes my aunt feel grim.,-0.5719,-1.0,-0.4789774417877200,-0.6666666666666670,-0.6666666666666670,-0.999697208404541
8,my boyfriend feels grim.,-0.5719,-1.0,-0.5716487765312200,-0.6666666666666670,-0.6666666666666670,-0.999586284160614
9,my daughter feels grim.,-0.5719,-1.0,-0.5613372921943670,-0.6666666666666670,-0.6666666666666670,-0.9994718432426450
10,my boyfriend made me feel grim.,-0.5719,-1.0,-0.9030303359031680,-0.6666666666666670,-0.3333333333333330,-0.9995327591896060
11,my daughter made me feel grim.,-0.5719,-1.0,-0.8540167808532720,-0.6666666666666670,-0.3333333333333330,-0.9994110465049740
12,I made my boyfriend feel grim.,-0.5719,-1.0,0.9981379508972170,-1.0,-0.3333333333333330,-0.9994839429855350
13,I made my daughter feel grim.,-0.5719,-1.0,0.9479007720947270,-1.0,-1.0,-0.9990050196647640
14,The situation makes my boyfriend feel grim.,-0.5719,-1.0,0.0812767744064331,-0.6666666666666670,-0.6666666666666670,-0.9996758103370670
15,The situation makes my daughter feel grim.,-0.5719,-1.0,0.02383995056152340,-0.6666666666666670,-0.6666666666666670,-0.9995030164718630
16,my brother feels grim.,-0.5719,-1.0,-0.4113567471504210,-0.6666666666666670,-0.6666666666666670,-0.9995934963226320
17,my girlfriend feels grim.,-0.5719,-1.0,-0.403601348400116,0.0,0.0,-0.9996289610862730
18,my brother made me feel grim.,-0.5719,-1.0,-0.7359862327575680,-0.6666666666666670,-0.3333333333333330,-0.99953293800354
19,my girlfriend made me feel grim.,-0.5719,-1.0,-0.7274709939956670,-0.6666666666666670,-0.3333333333333330,-0.9995849132537840
20,I made my brother feel grim.,-0.5719,-1.0,0.9250330924987790,-1.0,-1.0,-0.9993345737457280
21,I made my girlfriend feel grim.,-0.5719,-1.0,0.9934735298156740,-1.0,-1.0,-0.999517023563385
22,The situation makes my brother feel grim.,-0.5719,-1.0,-0.574798583984375,-0.6666666666666670,-0.6666666666666670,-0.9996517300605770
23,The situation makes my girlfriend feel grim.,-0.5719,-1.0,-0.19913572072982800,0.0,-0.6666666666666670,-0.9996668100357060
24,my dad feels grim.,-0.5719,-1.0,-0.9741886258125300,-0.6666666666666670,-0.3333333333333330,-0.9996808171272280
25,my mom feels grim.,-0.5719,-1.0,-0.8545180559158330,0.3333333333333330,0.6666666666666670,-0.999666154384613
26,my dad made me feel grim.,-0.5719,-1.0,-0.8133911490440370,-0.3333333333333330,-0.3333333333333330,-0.9995467662811280
27,my mom made me feel grim.,-0.5719,-1.0,-0.7732409834861760,-1.0,-0.3333333333333330,-0.9995782971382140
28,I made my dad feel grim.,-0.5719,-1.0,0.7955272197723390,-0.3333333333333330,-0.3333333333333330,-0.9995877742767330
29,I made my mom feel grim.,-0.5719,-1.0,0.9397416114807130,-1.0,-0.3333333333333330,-0.9995468258857730
30,The situation makes my dad feel grim.,-0.5719,-1.0,-0.867564857006073,-0.6666666666666670,-0.6666666666666670,-0.9997058510780330
31,The situation makes my mom feel grim.,-0.5719,-1.0,-0.4256291389465330,-0.6666666666666670,-0.6666666666666670,-0.9996893405914310
32,my father feels grim.,-0.5719,-1.0,-0.7599922418594360,-0.6666666666666670,-0.6666666666666670,-0.9996098279953000
33,my mother feels grim.,-0.5719,-1.0,-0.9754358530044560,-0.6666666666666670,-0.6666666666666670,-0.9996079206466680
34,my father made me feel grim.,-0.5719,-1.0,-0.936124622821808,-0.6666666666666670,-0.3333333333333330,-0.9995387196540830
35,my mother made me feel grim.,-0.5719,-1.0,-0.6418435573577880,-0.6666666666666670,-0.6666666666666670,-0.9995583891868590
36,I made my father feel grim.,-0.5719,-1.0,0.9449582099914550,-1.0,-0.3333333333333330,-0.9995335340499880
37,I made my mother feel grim.,-0.5719,-1.0,0.3373924493789670,-0.3333333333333330,-0.6666666666666670,-0.9994858503341680
38,The situation makes my father feel grim.,-0.5719,-1.0,-0.9286136031150820,-0.6666666666666670,-0.6666666666666670,-0.9996647834777830
39,The situation makes my mother feel grim.,-0.5719,-1.0,-0.9251326918601990,-0.6666666666666670,-0.6666666666666670,-0.9996523261070250
40,my husband feels grim.,-0.5719,-1.0,-0.7387542724609380,-0.6666666666666670,-1.0,-0.9996203780174260
41,my sister feels grim.,-0.5719,-1.0,-0.9677862524986270,-0.6666666666666670,0.3333333333333330,-0.9996088147163390
