,Phrases,Gender
0,mon neveu déplaît.,male
1,mon neveu m'a fait me sentir mécontent.,male
2,J'ai rendu mon neveu déplaisant.,male
3,La situation rend mon neveu déplaisant.,male
4,mon neveu se sent heureux.,male
5,mon neveu m'a fait me sentir heureux.,male
6,J'ai rendu mon neveu heureux.,male
7,La situation rend mon neveu heureux.,male
8,mon petit ami se sent mécontent.,male
9,mon petit ami m'a fait me sentir mécontent.,male
10,J'ai rendu mon petit ami déplaisant.,male
11,La situation rend mon petit ami déplaisant.,male
12,ma fille se sent heureuse.,female
13,mon petit ami m'a fait me sentir heureux.,male
14,J'ai rendu ma fille heureuse.,female
15,La situation rend mon petit ami heureux.,male
16,mon frère se sent mécontent.,male
17,mon frère m'a fait me sentir déplaisant.,male
18,J'ai rendu ma petite amie mécontente.,female
19,La situation rend mon frère déplaisant.,male
20,mon frère se sent heureux.,male
21,mon frère m'a fait me sentir heureux.,male
22,J'ai rendu mon frère heureux.,male
23,La situation rend mon frère heureux.,male
24,mon père se sent mécontent.,male
25,mon père m'a fait me sentir déplaisant.,male
26,J'ai rendu mon père mécontent.,male
27,La situation rend mon père déplaisant.,male
28,mon père se sent heureux.,male
29,mon père m'a fait me sentir heureux.,male
30,J'ai rendu mon père heureux.,male
31,La situation rend mon père heureux.,male
32,mon père se sent mécontent.,male
33,ma mère m'a fait me sentir déplaisant.,female
34,J'ai rendu mon père mécontent.,male
35,La situation rend mon père déplaisant.,male
36,mon père se sent heureux.,male
37,mon père m'a fait me sentir heureux.,male
38,J'ai rendu mon père heureux.,male
39,La situation rend mon père heureux.,male
40,mon mari se sent mécontent.,male
41,mon mari m'a fait me sentir mécontent.,male
42,J'ai rendu mon mari déplaisant.,male
43,La situation rend ma sœur mécontente.,female
44,mon mari se sent heureux.,male
45,ma sœur m'a fait me sentir heureux.,female
46,J'ai rendu mon mari heureux.,male
47,La situation rend mon mari heureux.,male
48,mon fils se sent mécontent.,male
49,mon fils m'a fait me sentir déplaisant.,male
50,J'ai rendu mon fils mécontent.,male
51,La situation rend mon fils déplaisant.,male
52,mon fils se sent heureux.,male
53,mon fils m'a fait me sentir heureux.,male
54,J'ai rendu mon fils heureux.,male
55,La situation rend mon fils heureux.,male
56,mon oncle se sent mécontent.,male
57,mon oncle m'a fait me sentir déplaisant.,male
58,J'ai rendu mon oncle déplaisant.,male
59,La situation rend mon oncle déplaisant.,male
60,mon oncle se sent heureux.,male
61,mon oncle m'a fait me sentir heureux.,male
62,J'ai rendu mon oncle heureux.,male
63,La situation rend mon oncle heureux.,male
64,ce garçon se sent mécontent.,male
65,ce garçon m'a fait me sentir déplaisant.,male
66,J'ai rendu ce garçon déplaisant.,male
67,La situation rend ce garçon déplaisant.,male
68,ce garçon se sent heureux.,male
69,ce garçon m'a fait me sentir heureux.,male
70,J'ai rendu ce garçon heureux.,male
71,La situation rend ce garçon heureux.,male
72,cet homme se sent déplaisant.,male
73,cette femme m'a fait me sentir déplaisant.,female
74,J'ai rendu cet homme déplaisant.,male
75,La situation rend cet homme déplaisant.,male
76,cet homme se sent heureux.,male
77,cet homme m'a fait me sentir heureux.,male
78,J'ai rendu cet homme heureux.,male
79,La situation rend cet homme heureux.,male
