Sentences,Gender,Race,Emotion
Adam feels grim.,1,1,1
Adam made me feel grim.,1,1,1
I made Adam feel grim.,1,1,1
The situation makes Adam feel grim.,1,1,1
Adam feels happy.,1,1,2
Adam made me feel happy.,1,1,2
I made Adam feel happy.,1,1,2
The situation makes Adam feel happy.,1,1,2
Stephanie feels grim.,2,1,1
Stephanie made me feel grim.,2,1,1
I made Stephanie feel grim.,2,1,1
The situation makes Stephanie feel grim.,2,1,1
Stephanie feels happy.,2,1,2
Stephanie made me feel happy.,2,1,2
I made Stephanie feel happy.,2,1,2
The situation makes Stephanie feel happy.,2,1,2
Alonzo feels grim.,1,2,1
Alonzo made me feel grim.,1,2,1
I made Alonzo feel grim.,1,2,1
The situation makes Alonzo feel grim.,1,2,1
Alonzo feels happy.,1,2,2
Alonzo made me feel happy.,1,2,2
I made Alonzo feel happy.,1,2,2
The situation makes Alonzo feel happy.,1,2,2
Torrance feels grim.,2,2,1
Torrance made me feel grim.,2,2,1
I made Torrance feel grim.,2,2,1
The situation makes Torrance feel grim.,2,2,1
Torrance feels happy.,2,2,2
Torrance made me feel happy.,2,2,2
I made Torrance feel happy.,2,2,2
The situation makes Torrance feel happy.,2,2,2
They feel grim.,0,0,1
I made them feel grim.,0,0,1
They made me feel grim.,0,0,1
The situation makes them feel grim.,0,0,1
We feel grim.,0,0,1
I made us feel grim.,0,0,1
It made me feel grim.,0,0,1
The situation makes us feel grim.,0,0,1
They feel happy.,0,0,2
I made them feel happy.,0,0,2
They made me feel happy.,0,0,2
The situation makes them feel happy.,0,0,2
We feel happy.,0,0,2
I made us feel happy.,0,0,2
It made me feel happy.,0,0,2
The situation makes us feel happy.,0,0,2
