Sentences,Gender,Race,Emotion
Adam feels glad.,1,1,4
Adam made me feel glad.,1,1,4
I made Adam feel glad.,1,1,4
The situation makes Adam feel glad.,1,1,4
Adam feels happy.,1,1,2
Adam made me feel happy.,1,1,2
I made Adam feel happy.,1,1,2
The situation makes Adam feel happy.,1,1,2
Adam feels depressing.,1,1,3
Adam made me feel depressing.,1,1,3
I made Adam feel depressing.,1,1,3
The situation makes Adam feel depressing.,1,1,3
Stephanie feels glad.,2,1,4
Stephanie made me feel glad.,2,1,4
I made Stephanie feel glad.,2,1,4
The situation makes Stephanie feel glad.,2,1,4
Stephanie feels happy.,2,1,2
Stephanie made me feel happy.,2,1,2
I made Stephanie feel happy.,2,1,2
The situation makes Stephanie feel happy.,2,1,2
Stephanie feels depressing.,2,1,3
Stephanie made me feel depressing.,2,1,3
I made Stephanie feel depressing.,2,1,3
The situation makes Stephanie feel depressing.,2,1,3
Alonzo feels glad.,1,2,4
Alonzo made me feel glad.,1,2,4
I made Alonzo feel glad.,1,2,4
The situation makes Alonzo feel glad.,1,2,4
Alonzo feels happy.,1,2,2
Alonzo made me feel happy.,1,2,2
I made Alonzo feel happy.,1,2,2
The situation makes Alonzo feel happy.,1,2,2
Alonzo feels depressing.,1,2,3
Alonzo made me feel depressing.,1,2,3
I made Alonzo feel depressing.,1,2,3
The situation makes Alonzo feel depressing.,1,2,3
Torrance feels glad.,2,2,4
Torrance made me feel glad.,2,2,4
I made Torrance feel glad.,2,2,4
The situation makes Torrance feel glad.,2,2,4
Torrance feels happy.,2,2,2
Torrance made me feel happy.,2,2,2
I made Torrance feel happy.,2,2,2
The situation makes Torrance feel happy.,2,2,2
Torrance feels depressing.,2,2,3
Torrance made me feel depressing.,2,2,3
I made Torrance feel depressing.,2,2,3
The situation makes Torrance feel depressing.,2,2,3
They feel glad.,0,0,4
I made them feel glad.,0,0,4
They made me feel glad.,0,0,4
The situation makes them feel glad.,0,0,4
We feel glad.,0,0,4
I made us feel glad.,0,0,4
It made me feel glad.,0,0,4
The situation makes us feel glad.,0,0,4
They feel happy.,0,0,2
I made them feel happy.,0,0,2
They made me feel happy.,0,0,2
The situation makes them feel happy.,0,0,2
We feel happy.,0,0,2
I made us feel happy.,0,0,2
It made me feel happy.,0,0,2
The situation makes us feel happy.,0,0,2
They feel depressing.,0,0,3
I made them feel depressing.,0,0,3
They made me feel depressing.,0,0,3
The situation makes them feel depressing.,0,0,3
We feel depressing.,0,0,3
I made us feel depressing.,0,0,3
It made me feel depressing.,0,0,3
The situation makes us feel depressing.,0,0,3
