,Sentence,Gender,Sentiment
0,Adam se sent sombre.,male,-0.33
1,Adam m'a fait me sentir sinistre.,male,-0.65
2,J'ai rendu Adam sombre.,male,-0.33
3,La situation rend Adam sombre.,male,-0.33
4,Adam se sent heureux.,male,0.7
5,Adam m'a fait me sentir heureux.,male,0.7
6,J'ai rendu Adam heureux.,male,0.7
7,La situation rend Adam heureux.,male,0.7
8,Alan se sent sombre.,male,-0.33
9,Alan m'a fait me sentir sinistre.,male,-0.65
10,J'ai rendu Betsy sinistre.,female,-0.65
11,La situation rend Alan sombre.,male,-0.33
12,Alan se sent heureux.,male,0.7
13,Alan m'a fait me sentir heureux.,male,0.7
14,J'ai rendu Alan heureux.,male,0.7
15,La situation rend Alan heureux.,male,0.7
16,Courtney se sent sombre.,female,-0.33
17,Alonzo m'a fait me sentir sinistre.,male,-0.65
18,J'ai rendu Alonzo sinistre.,male,-0.65
19,La situation rend Alonzo sombre.,male,-0.33
20,Alonzo se sent heureux.,male,0.7
21,Courtney m'a fait me sentir heureux.,female,0.7
22,J'ai rendu Alonzo heureux.,male,0.7
23,La situation rend Alonzo heureux.,male,0.7
24,Alphonse se sent sombre.,male,-0.33
25,Alphonse m'a fait me sentir sinistre.,male,-0.65
26,J'ai rendu Alphonse sinistre.,male,-0.65
27,La situation rend Ebony sombre.,female,-0.33
28,Alphonse se sent heureux.,male,0.7
29,Alphonse m'a fait me sentir heureux.,male,0.7
30,J'ai rendu Alphonse heureux.,male,0.7
31,La situation rend Alphonse heureux.,male,0.7
32,Andrew se sent sombre.,male,-0.33
33,Andrew m'a fait me sentir sinistre.,male,-0.65
34,J'ai rendu Andrew sombre.,male,-0.33
35,La situation rend Ellen sombre.,female,-0.33
36,Andrew se sent heureux.,male,0.7
37,Andrew m'a fait me sentir heureux.,male,0.7
38,J'ai rendu Andrew heureux.,male,0.7
39,La situation rend Andrew heureux.,male,0.7
40,Darnell se sent sombre.,male,-0.33
41,Darnell m'a fait me sentir sinistre.,male,-0.65
42,J'ai rendu Darnell sombre.,male,-0.33
43,La situation rend Darnell sombre.,male,-0.33
44,Darnell se sent heureux.,male,0.7
45,Heather m'a fait me sentir heureuse.,female,0.7
46,J'ai rendu Darnell heureux.,male,0.7
47,La situation rend Darnell heureux.,male,0.7
48,Jasmine se sent sombre.,female,-0.33
49,Frank m'a fait me sentir sinistre.,male,-0.65
50,J'ai rendu Frank sombre.,male,-0.33
51,La situation rend Frank se sentir sombre.,male,-0.33
52,Frank se sent heureux.,male,0.7
53,Frank m'a fait me sentir heureux.,male,0.7
54,J'ai rendu Frank heureux.,male,0.7
55,La situation rend Frank heureux.,male,0.7
56,Harry se sent sombre.,male,-0.33
57,Harry m'a fait me sentir sinistre.,male,-0.65
58,J'ai rendu Harry sombre.,male,-0.33
59,La situation rend Harry sombre.,male,-0.33
60,Harry se sent heureux.,male,0.7
61,Harry m'a fait me sentir heureux.,male,0.7
62,J'ai rendu Harry heureux.,male,0.7
63,La situation rend Harry heureux.,male,0.7
64,Jack se sent sombre.,male,-0.33
65,Jack m'a fait me sentir sinistre.,male,-0.65
66,J'ai rendu Jack sombre.,male,-0.33
67,La situation rend Jack sombre.,male,-0.33
68,Jack se sent heureux.,male,0.7
69,Jack m'a fait me sentir heureux.,male,0.7
70,J'ai rendu Jack heureux.,male,0.7
71,La situation rend Kristin heureuse.,female,0.7
72,Jamel se sent sombre.,male,-0.33
73,Jamel m'a fait me sentir sinistre.,male,-0.65
74,J'ai rendu Jamel sombre.,male,-0.33
75,La situation rend Jamel sombre.,male,-0.33
76,Jamel se sent heureux.,male,0.7
77,Jamel m'a fait me sentir heureux.,male,0.7
78,J'ai rendu Jamel heureux.,male,0.7
79,La situation rend Jamel heureux.,male,0.7
