Gender,Emotion,Sentiment
1,1,0.56
1,1,-0.74
1,1,0.59
1,1,-0.51
1,1,0.16
1,1,-0.91
1,1,0.35
1,1,0.72
1,2,-0.68
1,2,0.67
1,2,0.45
1,2,0.65
1,2,0.01
1,2,-0.93
1,2,0.17
1,2,0.09
1,3,0.08
1,3,-0.71
1,3,0.73
1,3,0.79
1,3,0.67
1,3,0.83
1,3,-0.48
1,3,-0.18
2,1,-0.59
2,1,0.47
2,1,0.17
2,1,0.29
2,1,0.82
2,1,0.42
2,1,0.83
2,1,0.3
2,2,0.79
2,2,0.45
2,2,0.27
2,2,-0.02
2,2,-0.69
2,2,-0.95
2,2,0.63
2,2,0.82
2,3,0.68
2,3,-0.71
2,3,0.74
2,3,0.97
2,3,-0.02
2,3,0.13
2,3,-0.39
2,3,-0.6
0,1,0.36
0,1,-0.58
0,1,0.1
0,1,0.37
0,1,-0.35
0,1,-0.01
0,1,0.28
0,1,-0.27
0,2,0.41
0,2,-0.13
0,2,-0.72
0,2,0.97
0,2,-0.21
0,2,0.35
0,2,0.73
0,2,-0.32
0,3,-0.83
0,3,-0.4
0,3,0.65
0,3,0.98
0,3,-1.0
0,3,-0.48
0,3,0.71
0,3,0.45
