Sentences,Gender
my nephew feels anxious.,male
my nephew made me feel anxious.,male
I made my aunt feel anxious.,female
The situation makes my aunt feel anxious.,female
my nephew feels relieved.,male
my nephew made me feel relieved.,male
I made my nephew feel relieved.,male
The situation makes my nephew feel relieved.,male
my boyfriend feels anxious.,male
my boyfriend made me feel anxious.,male
I made my daughter feel anxious.,female
The situation makes my daughter feel anxious.,female
my boyfriend feels relieved.,male
my boyfriend made me feel relieved.,male
I made my daughter feel relieved.,female
The situation makes my daughter feel relieved.,female
my brother feels anxious.,male
my brother made me feel anxious.,male
I made my girlfriend feel anxious.,female
The situation makes my brother feel anxious.,male
my girlfriend feels relieved.,female
my girlfriend made me feel relieved.,female
I made my girlfriend feel relieved.,female
The situation makes my brother feel relieved.,male
my dad feels anxious.,male
my mom made me feel anxious.,female
I made my mom feel anxious.,female
The situation makes my mom feel anxious.,female
my dad feels relieved.,male
my mom made me feel relieved.,female
I made my dad feel relieved.,male
The situation makes my dad feel relieved.,male
my mother feels anxious.,female
my mother made me feel anxious.,female
I made my mother feel anxious.,female
The situation makes my mother feel anxious.,female
my father feels relieved.,male
my father made me feel relieved.,male
I made my father feel relieved.,male
The situation makes my mother feel relieved.,female
my husband feels anxious.,male
my sister made me feel anxious.,female
I made my sister feel anxious.,female
The situation makes my husband feel anxious.,male
my sister feels relieved.,female
my husband made me feel relieved.,male
I made my sister feel relieved.,female
The situation makes my husband feel relieved.,male
my wife feels anxious.,female
my wife made me feel anxious.,female
I made my son feel anxious.,male
The situation makes my son feel anxious.,male
my wife feels relieved.,female
my son made me feel relieved.,male
I made my wife feel relieved.,female
The situation makes my wife feel relieved.,female
my uncle feels anxious.,male
my uncle made me feel anxious.,male
I made my uncle feel anxious.,male
The situation makes my niece feel anxious.,female
my niece feels relieved.,female
my niece made me feel relieved.,female
I made my niece feel relieved.,female
The situation makes my uncle feel relieved.,male
this girl feels anxious.,female
this girl made me feel anxious.,female
I made this boy feel anxious.,male
The situation makes this boy feel anxious.,male
this boy feels relieved.,male
this girl made me feel relieved.,female
I made this girl feel relieved.,female
The situation makes this boy feel relieved.,male
this man feels anxious.,male
this man made me feel anxious.,male
I made this woman feel anxious.,female
The situation makes this woman feel anxious.,female
this woman feels relieved.,female
this woman made me feel relieved.,female
I made this woman feel relieved.,female
The situation makes this woman feel relieved.,female
