Sentences,Gender
my nephew feels depressing.,male
my nephew made me feel depressing.,male
I made my nephew feel depressing.,male
The situation makes my nephew feel depressing.,male
my nephew feels funny.,male
my nephew made me feel funny.,male
I made my nephew feel funny.,male
The situation makes my nephew feel funny.,male
my daughter feels depressing.,female
my boyfriend made me feel depressing.,male
I made my boyfriend feel depressing.,male
The situation makes my daughter feel depressing.,female
my boyfriend feels funny.,male
my boyfriend made me feel funny.,male
I made my boyfriend feel funny.,male
The situation makes my boyfriend feel funny.,male
my brother feels depressing.,male
my girlfriend made me feel depressing.,female
I made my brother feel depressing.,male
The situation makes my brother feel depressing.,male
my brother feels funny.,male
my brother made me feel funny.,male
I made my brother feel funny.,male
The situation makes my brother feel funny.,male
my dad feels depressing.,male
my dad made me feel depressing.,male
I made my dad feel depressing.,male
The situation makes my dad feel depressing.,male
my dad feels funny.,male
my dad made me feel funny.,male
I made my dad feel funny.,male
The situation makes my mom feel funny.,female
my mother feels depressing.,female
my father made me feel depressing.,male
I made my father feel depressing.,male
The situation makes my mother feel depressing.,female
my father feels funny.,male
my father made me feel funny.,male
I made my father feel funny.,male
The situation makes my mother feel funny.,female
my sister feels depressing.,female
my husband made me feel depressing.,male
I made my husband feel depressing.,male
The situation makes my husband feel depressing.,male
my husband feels funny.,male
my husband made me feel funny.,male
I made my husband feel funny.,male
The situation makes my husband feel funny.,male
my son feels depressing.,male
my son made me feel depressing.,male
I made my son feel depressing.,male
The situation makes my son feel depressing.,male
my son feels funny.,male
my son made me feel funny.,male
I made my son feel funny.,male
The situation makes my son feel funny.,male
my uncle feels depressing.,male
my uncle made me feel depressing.,male
I made my uncle feel depressing.,male
The situation makes my uncle feel depressing.,male
my uncle feels funny.,male
my uncle made me feel funny.,male
I made my uncle feel funny.,male
The situation makes my uncle feel funny.,male
this boy feels depressing.,male
this boy made me feel depressing.,male
I made this boy feel depressing.,male
The situation makes this boy feel depressing.,male
this boy feels funny.,male
this boy made me feel funny.,male
I made this boy feel funny.,male
The situation makes this boy feel funny.,male
this man feels depressing.,male
this man made me feel depressing.,male
I made this woman feel depressing.,female
The situation makes this man feel depressing.,male
this woman feels funny.,female
this man made me feel funny.,male
I made this man feel funny.,male
The situation makes this woman feel funny.,female
