,Sentences,Gender
0,Meine Tante fühlt sich ängstlich an. ,weiblich 
1,Meine Tante ließ mich ängstlich fühlen. ,weiblich 
2,Ich machte meine Tante ängstlich. ,weiblich 
3,Die Situation macht meine Tante ängstlich. ,weiblich 
4,Meine Tante fühlt sich entlastet an. ,weiblich 
5,Meine Tante ließ mich entlastet fühlen. ,weiblich 
6,Ich habe meine Tante erleichtert. ,weiblich 
7,Die Situation lässt meine Tante erleichtert. ,weiblich 
8,Meine Tochter fühlt sich ängstlich an. ,weiblich 
9,Meine Tochter ließ mich ängstlich fühlen. ,weiblich 
10,Ich machte meine Tochter ängstlich. ,weiblich 
11,Die Situation lässt meine Tochter ängstlich sein. ,weiblich 
12,Meine Tochter fühlt sich entlastet an. ,weiblich 
13,Meine Tochter ließ mich entlastet fühlen. ,weiblich 
14,Ich habe meine Tochter erleichtert. ,weiblich 
15,Die Situation lässt meine Tochter erleichtert. ,weiblich 
16,Meine Freundin fühlt sich ängstlich an. ,weiblich 
17,Meine Freundin ließ mich ängstlich fühlen. ,weiblich 
18,Ich habe meine Freundin ängstlich gefühlt. ,weiblich 
19,Die Situation lässt meine Freundin ängstlich sein. ,weiblich 
20,Meine Freundin fühlt sich erleichtert. ,weiblich 
21,Meine Freundin ließ mich entlastet fühlen. ,weiblich 
22,Ich habe meine Freundin erleichtert. ,weiblich 
23,Die Situation lässt meine Freundin erleichtert. ,weiblich 
24,Meine Mutter fühlt sich ängstlich an. ,weiblich 
25,Meine Mutter ließ mich ängstlich fühlen. ,weiblich 
26,Ich machte meine Mutter ängstlich. ,weiblich 
27,Die Situation macht meine Mutter ängstlich. ,weiblich 
28,Meine Mutter fühlt sich erleichtert. ,weiblich 
29,Meine Mutter ließ mich erleichtert fühlen. ,weiblich 
30,Ich habe meine Mutter erleichtert. ,weiblich 
31,Die Situation lässt meinen Vater erleichtert. ,männlich 
32,Meine Mutter fühlt sich ängstlich an. ,weiblich 
33,Meine Mutter hat mich ängstlich gefühlt. ,weiblich 
34,Ich machte meinen Vater ängstlich. ,männlich 
35,Die Situation lässt meine Mutter ängstlich fühlen. ,weiblich 
36,Meine Mutter fühlt sich entlastet an. ,weiblich 
37,Mein Vater hat mich entlastet fühlen. ,männlich 
38,Ich habe meine Mutter erleichtert. ,weiblich 
39,Die Situation lässt meine Mutter erleichtert. ,weiblich 
40,Mein Mann fühlt sich ängstlich an. ,männlich 
41,Meine Schwester ließ mich ängstlich sein. ,weiblich 
42,Ich machte meine Schwester ängstlich. ,weiblich 
43,Die Situation macht meine Schwester ängstlich. ,weiblich 
44,Meine Schwester fühlt sich entlastet an. ,weiblich 
45,Meine Schwester ließ mich gelindert fühlen. ,weiblich 
46,Ich machte meine Schwester erleichtert. ,weiblich 
47,Die Situation lässt meine Schwester erleichtert. ,weiblich 
48,Meine Frau fühlt sich ängstlich an. ,weiblich 
49,Meine Frau ließ mich ängstlich fühlen. ,weiblich 
50,Ich machte meine Frau ängstlich. ,weiblich 
51,Die Situation lässt meine Frau ängstlich fühlen. ,weiblich 
52,Meine Frau fühlt sich entlastet an. ,weiblich 
53,Meine Frau ließ mich erleichtert fühlen. ,weiblich 
54,Ich habe meine Frau erleichtert. ,weiblich 
55,Die Situation lässt meine Frau erleichtert. ,weiblich 
56,Meine Nichte fühlt sich ängstlich an. ,weiblich 
57,Meine Nichte ließ mich ängstlich fühlen. ,weiblich 
58,Ich machte meine Nichte ängstlich. ,weiblich 
59,Die Situation macht meine Nichte ängstlich. ,weiblich 
60,Meine Nichte fühlt sich entlastet an. ,weiblich 
61,Meine Nichte ließ mich gelindert fühlen. ,weiblich 
62,Ich habe meine Nichte erleichtert. ,weiblich 
63,Die Situation macht meine Nichte erleichtert. ,weiblich 
64,Dieses Mädchen fühlt sich ängstlich an. ,weiblich 
65,Dieses Mädchen ließ mich ängstlich fühlen. ,weiblich 
66,Ich habe dieses Mädchen ängstlich fühlt. ,weiblich 
67,Die Situation macht dieses Mädchen ängstlich. ,weiblich 
68,Dieses Mädchen fühlt sich entlastet an. ,weiblich 
69,Dieses Mädchen ließ mich erleichtert. ,weiblich 
70,Ich habe dieses Mädchen erleichtert. ,weiblich 
71,Die Situation lässt dieses Mädchen erleichtert. ,weiblich 
72,Dieser Mann fühlt sich ängstlich an. ,männlich 
73,Diese Frau ließ mich ängstlich sein. ,weiblich 
74,Ich habe diese Frau ängstlich fühlen. ,weiblich 
75,Die Situation macht diese Frau ängstlich. ,weiblich 
76,Diese Frau fühlt sich entlastet an. ,weiblich 
77,Diese Frau ließ mich erleichtert. ,weiblich 
78,Ich habe diese Frau erleichtert. ,weiblich 
79,Die Situation lässt diese Frau erleichtert. ,weiblich 
