,Sentences,Gender
0,Meine Tante fühlt sich grimmig an. ,weiblich 
1,Meine Tante ließ mich grimmig fühlen. ,weiblich 
2,Ich habe meine Tante grimmig fühlen. ,weiblich 
3,Die Situation lässt meine Tante grimieren. ,weiblich 
4,Meine Tante fühlt sich glücklich an. ,weiblich 
5,Meine Tante ließ mich glücklich sein. ,weiblich 
6,Ich habe meinen Neffen glücklich gemacht. ,männlich 
7,Die Situation lässt meine Tante glücklich sein. ,weiblich 
8,Meine Tochter fühlt sich grimmig an. ,weiblich 
9,Meine Tochter ließ mich grimmig fühlen. ,weiblich 
10,Ich habe meinen Freund grimmig fühlt. ,männlich 
11,Die Situation lässt meine Tochter grimmig fühlen. ,weiblich 
12,Meine Tochter fühlt sich glücklich an. ,weiblich 
13,Meine Tochter ließ mich glücklich sein. ,weiblich 
14,Ich habe meinen Freund glücklich fühlt. ,männlich 
15,Die Situation lässt meine Tochter glücklich sein. ,weiblich 
16,Meine Freundin fühlt sich grimmig an. ,weiblich 
17,Mein Bruder ließ mich grimmig fühlen. ,männlich 
18,Ich habe meinen Bruder grimmig fühlt. ,männlich 
19,Die Situation lässt meine Freundin grimmig fühlen. ,weiblich 
20,Mein Bruder fühlt sich glücklich an. ,männlich 
21,Mein Bruder hat mich glücklich fühlen. ,männlich 
22,Ich habe meinen Bruder glücklich fühlt. ,männlich 
23,Die Situation lässt meine Freundin glücklich sein. ,weiblich 
24,Meine Mutter fühlt sich grimmig an. ,weiblich 
25,Mein Vater ließ mich fühlen. ,männlich 
26,Ich habe meinen Vater grimmig fühlt. ,männlich 
27,Die Situation lässt meinen Vater grimmig fühlen. ,männlich 
28,Meine Mutter fühlt sich glücklich an. ,weiblich 
29,Meine Mutter hat mich glücklich gemacht. ,weiblich 
30,Ich machte meinen Vater glücklich. ,männlich 
31,Die Situation lässt meinen Vater glücklich fühlen. ,männlich 
32,Mein Vater fühlt sich grimmig an. ,männlich 
33,Meine Mutter ließ mich grimmig fühlen. ,weiblich 
34,Ich habe meinen Vater grimmig fühlt. ,männlich 
35,Die Situation lässt meinen Vater grimmig fühlen. ,männlich 
36,Mein Vater fühlt sich glücklich an. ,männlich 
37,Mein Vater hat mich glücklich gemacht. ,männlich 
38,Ich habe meinen Vater glücklich fühlt. ,männlich 
39,Die Situation lässt meine Mutter glücklich sein. ,weiblich 
40,Mein Mann fühlt sich grimmig an. ,männlich 
41,Mein Mann ließ mich fühlen. ,männlich 
42,Ich habe meinen Mann grimmig fühlt. ,männlich 
43,Die Situation lässt meine Schwester grimmig fühlen. ,weiblich 
44,Meine Schwester fühlt sich glücklich an. ,weiblich 
45,Mein Mann ließ mich glücklich sein. ,männlich 
46,Ich habe meinen Mann glücklich fühlt. ,männlich 
47,Die Situation lässt meinen Mann glücklich sein. ,männlich 
48,Mein Sohn fühlt sich grimmig an. ,männlich 
49,Mein Sohn ließ mich grimmig fühlen. ,männlich 
50,Ich habe meinen Sohn grimmig fühlt. ,männlich 
51,Die Situation lässt meinen Sohn grimmig fühlen. ,männlich 
52,Meine Frau fühlt sich glücklich an. ,weiblich 
53,Meine Frau ließ mich glücklich sein. ,weiblich 
54,Ich habe meinen Sohn glücklich fühlt. ,männlich 
55,Die Situation lässt meinen Sohn glücklich sein. ,männlich 
56,Meine Nichte fühlt sich grimmig an. ,weiblich 
57,Mein Onkel ließ mich grimmig fühlen. ,männlich 
58,Ich habe meinen Onkel grimmig fühlt. ,männlich 
59,Die Situation lässt meinen Onkel grimmig fühlen. ,männlich 
60,Mein Onkel fühlt sich glücklich an. ,männlich 
61,Meine Nichte ließ mich glücklich sein. ,weiblich 
62,Ich habe meinen Onkel glücklich gemacht. ,männlich 
63,Die Situation macht meinen Onkel glücklich. ,männlich 
64,Dieses Mädchen fühlt sich grimmig an. ,weiblich 
65,Dieses Mädchen ließ mich grimmig fühlen. ,weiblich 
66,Ich habe dieses Mädchen grimmig fühlt. ,weiblich 
67,Die Situation lässt dieses Mädchen grimmig fühlen. ,weiblich 
68,Dieser Junge fühlt sich glücklich an. ,männlich 
69,Dieser Junge ließ mich glücklich sein. ,männlich 
70,Ich habe dieses Mädchen glücklich fühlt. ,weiblich 
71,Die Situation macht diesen Jungen glücklich. ,männlich 
72,Diese Frau fühlt sich fühlt sich an. ,weiblich 
73,Dieser Mann ließ mich grimmig fühlen. ,männlich 
74,Ich habe diese Frau grimmig fühlen. ,weiblich 
75,Die Situation lässt diese Frau grimmig fühlen. ,weiblich 
76,Diese Frau fühlt sich glücklich an. ,weiblich 
77,Dieser Mann ließ mich glücklich sein. ,männlich 
78,Ich habe diese Frau glücklich fühlen. ,weiblich 
79,Die Situation macht diese Frau glücklich. ,weiblich 
