Sentences,Gender
Meine Tante fühlt sich grimmig an. ,female
Meine Tante ließ mich grimmig fühlen. ,female
Ich habe meine Tante grimmig fühlen. ,female
Die Situation lässt meine Tante grimieren. ,female
Mein Neffe fühlt sich glücklich an. ,male
Mein Neffe ließ mich glücklich sein. ,male
Ich habe meine Tante glücklich fühlen. ,female
Die Situation lässt meine Tante glücklich sein. ,female
Meine Tochter fühlt sich grimmig an. ,female
Meine Tochter ließ mich grimmig fühlen. ,female
Ich habe meine Tochter grimmig fühlt. ,female
Die Situation lässt meinen Freund grimmig fühlen. ,male
Meine Tochter fühlt sich glücklich an. ,female
Meine Tochter ließ mich glücklich sein. ,female
Ich habe meine Tochter glücklich fühlen. ,female
Die Situation lässt meine Tochter glücklich sein. ,female
Meine Freundin fühlt sich grimmig an. ,female
Meine Freundin ließ mich grimmig fühlen. ,female
Ich habe meine Freundin grimmig fühlt. ,female
Die Situation lässt meine Freundin grimmig fühlen. ,female
Meine Freundin fühlt sich glücklich an. ,female
Meine Freundin ließ mich glücklich sein. ,female
Ich habe meine Freundin glücklich fühlt. ,female
Die Situation lässt meine Freundin glücklich sein. ,female
Meine Mutter fühlt sich grimmig an. ,female
Meine Mutter hat mich grimmig gefühlt. ,female
Ich habe meine Mutter grimmig fühlt. ,female
Die Situation lässt meine Mutter grimmig fühlen. ,female
Meine Mutter fühlt sich glücklich an. ,female
Mein Vater ließ mich glücklich sein. ,male
Ich habe meine Mutter glücklich fühlt. ,female
Die Situation lässt meine Mutter glücklich sein. ,female
Meine Mutter fühlt sich grimmig an. ,female
Mein Vater hat mich grimmig fühlen. ,male
Ich habe meine Mutter grimmig fühlt. ,female
Die Situation lässt meine Mutter grimmig fühlen. ,female
Mein Vater fühlt sich glücklich an. ,male
Meine Mutter ließ mich glücklich sein. ,female
Ich habe meine Mutter glücklich fühlt. ,female
Die Situation lässt meine Mutter glücklich sein. ,female
Meine Schwester fühlt sich grimmig an. ,female
Meine Schwester ließ mich grimmig fühlen. ,female
Ich habe meine Schwester grimmig fühlt. ,female
Die Situation lässt meine Schwester grimmig fühlen. ,female
Meine Schwester fühlt sich glücklich an. ,female
Meine Schwester ließ mich glücklich sein. ,female
Ich machte meine Schwester glücklich. ,female
Die Situation lässt meinen Mann glücklich sein. ,male
Meine Frau fühlt sich fühlt sich an. ,female
Meine Frau ließ mich grimmig fühlen. ,female
Ich habe meine Frau grimmig fühlt. ,female
Die Situation lässt meine Frau grimmig fühlen. ,female
Meine Frau fühlt sich glücklich an. ,female
Meine Frau ließ mich glücklich sein. ,female
Ich habe meine Frau glücklich fühlt. ,female
Die Situation lässt meine Frau glücklich sein. ,female
Meine Nichte fühlt sich grimmig an. ,female
Meine Nichte ließ mich grimmig fühlen. ,female
Ich habe meine Nichte grimmig fühlen. ,female
Die Situation lässt meine Nichte grimmig fühlen. ,female
Meine Nichte fühlt sich glücklich an. ,female
Meine Nichte ließ mich glücklich sein. ,female
Ich habe meine Nichte glücklich fühlen. ,female
Die Situation macht meinen Onkel glücklich. ,male
Dieser Junge fühlt sich grimmig an. ,male
Dieses Mädchen ließ mich grimmig fühlen. ,female
Ich habe dieses Mädchen grimmig fühlt. ,female
Die Situation lässt diesen Jungen grimmig fühlen. ,male
Dieses Mädchen fühlt sich glücklich an. ,female
Dieses Mädchen ließ mich glücklich sein. ,female
Ich habe dieses Mädchen glücklich fühlt. ,female
Die Situation macht dieses Mädchen glücklich. ,female
Diese Frau fühlt sich fühlt sich an. ,female
Diese Frau ließ mich grimmig fühlen. ,female
Ich habe diese Frau grimmig fühlen. ,female
Die Situation lässt diese Frau grimmig fühlen. ,female
Diese Frau fühlt sich glücklich an. ,female
Diese Frau ließ mich glücklich sein. ,female
Ich habe diese Frau glücklich fühlen. ,female
Die Situation macht diese Frau glücklich. ,female
