Gender,Race,Emotion,Sentiment
1,1,1,0.3333333333333333
1,1,1,-0.3333333333333333
1,1,0,-0.3333333333333333
1,1,1,0.3333333333333333
2,1,0,-0.6666666666666666
2,1,1,-0.3333333333333333
2,1,1,-0.3333333333333333
2,1,1,0.3333333333333333
1,2,0,-0.6666666666666666
1,2,1,-0.3333333333333333
1,2,1,-0.3333333333333333
1,2,1,0.3333333333333333
2,2,0,-0.6666666666666666
2,2,0,-0.3333333333333333
2,2,0,-0.3333333333333333
2,2,0,-0.6666666666666666
0,0,0,-0.3333333333333333
0,0,0,-0.3333333333333333
0,0,0,-0.3333333333333333
0,0,0,-0.6666666666666666
0,0,1,0.3333333333333333
0,0,1,-0.3333333333333333
0,0,1,-0.3333333333333333
0,0,0,-0.6666666666666666
