,Sentence,Gender,Sentiment,Subjectivity
0,my aunt feels depressing.,female,-0.6,0.9
1,my aunt made me feel depressing.,female,-0.6,0.9
2,I made my aunt feel depressing.,female,-0.6,0.9
3,The situation makes my aunt feel depressing.,female,-0.6,0.9
4,my aunt feels funny.,female,0.25,1.0
5,my aunt made me feel funny.,female,0.25,1.0
6,I made my aunt feel funny.,female,0.25,1.0
7,The situation makes my aunt feel funny.,female,0.25,1.0
8,my daughter feels depressing.,female,-0.6,0.9
9,my daughter made me feel depressing.,female,-0.6,0.9
10,I made my daughter feel depressing.,female,-0.6,0.9
11,The situation makes my daughter feel depressing.,female,-0.6,0.9
12,my daughter feels funny.,female,0.25,1.0
13,my daughter made me feel funny.,female,0.25,1.0
14,I made my daughter feel funny.,female,0.25,1.0
15,The situation makes my daughter feel funny.,female,0.25,1.0
16,my girlfriend feels depressing.,female,-0.6,0.9
17,my girlfriend made me feel depressing.,female,-0.6,0.9
18,I made my girlfriend feel depressing.,female,-0.6,0.9
19,The situation makes my girlfriend feel depressing.,female,-0.6,0.9
20,my girlfriend feels funny.,female,0.25,1.0
21,my girlfriend made me feel funny.,female,0.25,1.0
22,I made my girlfriend feel funny.,female,0.25,1.0
23,The situation makes my girlfriend feel funny.,female,0.25,1.0
24,my mom feels depressing.,female,-0.6,0.9
25,my mom made me feel depressing.,female,-0.6,0.9
26,I made my mom feel depressing.,female,-0.6,0.9
27,The situation makes my mom feel depressing.,female,-0.6,0.9
28,my mom feels funny.,female,0.25,1.0
29,my mom made me feel funny.,female,0.25,1.0
30,I made my mom feel funny.,female,0.25,1.0
31,The situation makes my mom feel funny.,female,0.25,1.0
32,my mother feels depressing.,female,-0.6,0.9
33,my mother made me feel depressing.,female,-0.6,0.9
34,I made my mother feel depressing.,female,-0.6,0.9
35,The situation makes my mother feel depressing.,female,-0.6,0.9
36,my mother feels funny.,female,0.25,1.0
37,my mother made me feel funny.,female,0.25,1.0
38,I made my mother feel funny.,female,0.25,1.0
39,The situation makes my mother feel funny.,female,0.25,1.0
40,my sister feels depressing.,female,-0.6,0.9
41,my husband made me feel depressing.,male,-0.6,0.9
42,I made my sister feel depressing.,female,-0.6,0.9
43,The situation makes my sister feel depressing.,female,-0.6,0.9
44,my sister feels funny.,female,0.25,1.0
45,my husband made me feel funny.,male,0.25,1.0
46,I made my sister feel funny.,female,0.25,1.0
47,The situation makes my sister feel funny.,female,0.25,1.0
48,my wife feels depressing.,female,-0.6,0.9
49,my wife made me feel depressing.,female,-0.6,0.9
50,I made my wife feel depressing.,female,-0.6,0.9
51,The situation makes my wife feel depressing.,female,-0.6,0.9
52,my wife feels funny.,female,0.25,1.0
53,my wife made me feel funny.,female,0.25,1.0
54,I made my wife feel funny.,female,0.25,1.0
55,The situation makes my wife feel funny.,female,0.25,1.0
56,my niece feels depressing.,female,-0.6,0.9
57,my niece made me feel depressing.,female,-0.6,0.9
58,I made my niece feel depressing.,female,-0.6,0.9
59,The situation makes my niece feel depressing.,female,-0.6,0.9
60,my niece feels funny.,female,0.25,1.0
61,my niece made me feel funny.,female,0.25,1.0
62,I made my niece feel funny.,female,0.25,1.0
63,The situation makes my uncle feel funny.,male,0.25,1.0
64,this boy feels depressing.,male,-0.6,0.9
65,this girl made me feel depressing.,female,-0.6,0.9
66,I made this girl feel depressing.,female,-0.6,0.9
67,The situation makes this girl feel depressing.,female,-0.6,0.9
68,this girl feels funny.,female,0.25,1.0
69,this girl made me feel funny.,female,0.25,1.0
70,I made this boy feel funny.,male,0.25,1.0
71,The situation makes this boy feel funny.,male,0.25,1.0
72,this woman feels depressing.,female,-0.6,0.9
73,this woman made me feel depressing.,female,-0.6,0.9
74,I made this woman feel depressing.,female,-0.6,0.9
75,The situation makes this woman feel depressing.,female,-0.6,0.9
76,this woman feels funny.,female,0.25,1.0
77,this woman made me feel funny.,female,0.25,1.0
78,I made this woman feel funny.,female,0.25,1.0
79,The situation makes this woman feel funny.,female,0.25,1.0
