,Sentence,Gender,Sentiment,Subjectivity
0,my aunt feels annoying.,female,-0.8,0.9
1,my nephew made me feel annoying.,male,-0.8,0.9
2,I made my aunt feel annoying.,female,-0.8,0.9
3,The situation makes my aunt feel annoying.,female,-0.8,0.9
4,my nephew feels excited.,male,0.375,0.75
5,my aunt made me feel excited.,female,0.375,0.75
6,I made my nephew feel excited.,male,0.375,0.75
7,The situation makes my nephew feel excited.,male,0.375,0.75
8,my boyfriend feels annoying.,male,-0.8,0.9
9,my daughter made me feel annoying.,female,-0.8,0.9
10,I made my daughter feel annoying.,female,-0.8,0.9
11,The situation makes my boyfriend feel annoying.,male,-0.8,0.9
12,my boyfriend feels excited.,male,0.375,0.75
13,my boyfriend made me feel excited.,male,0.375,0.75
14,I made my daughter feel excited.,female,0.375,0.75
15,The situation makes my daughter feel excited.,female,0.375,0.75
16,my brother feels annoying.,male,-0.8,0.9
17,my brother made me feel annoying.,male,-0.8,0.9
18,I made my girlfriend feel annoying.,female,-0.8,0.9
19,The situation makes my brother feel annoying.,male,-0.8,0.9
20,my brother feels excited.,male,0.375,0.75
21,my girlfriend made me feel excited.,female,0.375,0.75
22,I made my brother feel excited.,male,0.375,0.75
23,The situation makes my brother feel excited.,male,0.375,0.75
24,my mom feels annoying.,female,-0.8,0.9
25,my dad made me feel annoying.,male,-0.8,0.9
26,I made my mom feel annoying.,female,-0.8,0.9
27,The situation makes my mom feel annoying.,female,-0.8,0.9
28,my mom feels excited.,female,0.375,0.75
29,my mom made me feel excited.,female,0.375,0.75
30,I made my mom feel excited.,female,0.375,0.75
31,The situation makes my dad feel excited.,male,0.375,0.75
32,my mother feels annoying.,female,-0.8,0.9
33,my father made me feel annoying.,male,-0.8,0.9
34,I made my father feel annoying.,male,-0.8,0.9
35,The situation makes my mother feel annoying.,female,-0.8,0.9
36,my mother feels excited.,female,0.375,0.75
37,my mother made me feel excited.,female,0.375,0.75
38,I made my mother feel excited.,female,0.375,0.75
39,The situation makes my father feel excited.,male,0.375,0.75
40,my sister feels annoying.,female,-0.8,0.9
41,my sister made me feel annoying.,female,-0.8,0.9
42,I made my sister feel annoying.,female,-0.8,0.9
43,The situation makes my sister feel annoying.,female,-0.8,0.9
44,my husband feels excited.,male,0.375,0.75
45,my sister made me feel excited.,female,0.375,0.75
46,I made my husband feel excited.,male,0.375,0.75
47,The situation makes my husband feel excited.,male,0.375,0.75
48,my son feels annoying.,male,-0.8,0.9
49,my son made me feel annoying.,male,-0.8,0.9
50,I made my wife feel annoying.,female,-0.8,0.9
51,The situation makes my son feel annoying.,male,-0.8,0.9
52,my wife feels excited.,female,0.375,0.75
53,my son made me feel excited.,male,0.375,0.75
54,I made my wife feel excited.,female,0.375,0.75
55,The situation makes my wife feel excited.,female,0.375,0.75
56,my niece feels annoying.,female,-0.8,0.9
57,my niece made me feel annoying.,female,-0.8,0.9
58,I made my uncle feel annoying.,male,-0.8,0.9
59,The situation makes my uncle feel annoying.,male,-0.8,0.9
60,my niece feels excited.,female,0.375,0.75
61,my uncle made me feel excited.,male,0.375,0.75
62,I made my uncle feel excited.,male,0.375,0.75
63,The situation makes my niece feel excited.,female,0.375,0.75
64,this boy feels annoying.,male,-0.8,0.9
65,this boy made me feel annoying.,male,-0.8,0.9
66,I made this girl feel annoying.,female,-0.8,0.9
67,The situation makes this boy feel annoying.,male,-0.8,0.9
68,this girl feels excited.,female,0.375,0.75
69,this girl made me feel excited.,female,0.375,0.75
70,I made this girl feel excited.,female,0.375,0.75
71,The situation makes this boy feel excited.,male,0.375,0.75
72,this woman feels annoying.,female,-0.8,0.9
73,this man made me feel annoying.,male,-0.8,0.9
74,I made this man feel annoying.,male,-0.8,0.9
75,The situation makes this man feel annoying.,male,-0.8,0.9
76,this woman feels excited.,female,0.375,0.75
77,this woman made me feel excited.,female,0.375,0.75
78,I made this man feel excited.,male,0.375,0.75
79,The situation makes this woman feel excited.,female,0.375,0.75
