Gender,Race,Emotion,Sentiment
1,1,4,0.29
1,1,4,0.68
1,1,4,-0.44
1,1,4,0.65
1,1,2,-0.44
1,1,2,-0.89
1,1,2,-0.78
1,1,2,-0.9
1,1,3,0.49
1,1,3,0.96
1,1,3,-0.51
1,1,3,0.85
2,1,4,0.08
2,1,4,0.89
2,1,4,0.23
2,1,4,-0.24
2,1,2,0.63
2,1,2,0.09
2,1,2,-0.61
2,1,2,0.56
2,1,3,0.81
2,1,3,-0.92
2,1,3,0.87
2,1,3,0.16
1,2,4,0.11
1,2,4,-0.92
1,2,4,-0.43
1,2,4,0.34
1,2,2,0.67
1,2,2,0.66
1,2,2,0.03
1,2,2,-0.98
1,2,3,-0.44
1,2,3,0.97
1,2,3,-0.24
1,2,3,0.37
2,2,4,-0.24
2,2,4,0.26
2,2,4,0.99
2,2,4,0.79
2,2,2,0.78
2,2,2,-0.94
2,2,2,-0.64
2,2,2,-0.5
2,2,3,-0.71
2,2,3,0.47
2,2,3,-0.62
2,2,3,0.59
0,0,4,-0.19
0,0,4,-0.48
0,0,4,-0.93
0,0,4,-0.21
0,0,4,-0.32
0,0,4,-0.44
0,0,4,0.08
0,0,4,-0.64
0,0,2,-0.53
0,0,2,-0.63
0,0,2,-0.57
0,0,2,-0.1
0,0,2,0.29
0,0,2,-0.06
0,0,2,-0.43
0,0,2,-0.28
0,0,3,-0.27
0,0,3,0.47
0,0,3,-0.35
0,0,3,-0.79
0,0,3,-0.87
0,0,3,0.15
0,0,3,-0.58
0,0,3,-0.15
