Gender,Race,Emotion,Sentiment
1,1,1,0.68
1,1,1,-0.4
1,1,1,0.52
1,1,1,0.6
1,1,2,0.91
1,1,2,0.73
1,1,2,-0.09
1,1,2,0.52
1,1,3,-0.41
1,1,3,-0.14
1,1,3,-0.1
1,1,3,0.63
2,1,1,-0.85
2,1,1,-0.68
2,1,1,-0.78
2,1,1,0.49
2,1,2,0.01
2,1,2,-0.43
2,1,2,0.94
2,1,2,0.51
2,1,3,0.85
2,1,3,0.9
2,1,3,0.24
2,1,3,0.71
1,2,1,-0.9
1,2,1,-0.32
1,2,1,0.61
1,2,1,0.07
1,2,2,-0.31
1,2,2,-0.61
1,2,2,0.11
1,2,2,0.48
1,2,3,-0.78
1,2,3,0.72
1,2,3,0.63
1,2,3,-0.65
2,2,1,0.26
2,2,1,0.9
2,2,1,-0.69
2,2,1,-0.65
2,2,2,0.68
2,2,2,-0.41
2,2,2,-0.29
2,2,2,0.85
2,2,3,0.93
2,2,3,-0.51
2,2,3,0.42
2,2,3,0.67
0,0,1,-0.35
0,0,1,-0.67
0,0,1,1.0
0,0,1,-0.28
0,0,1,-0.45
0,0,1,-0.75
0,0,1,-0.39
0,0,1,-0.72
0,0,2,0.04
0,0,2,-0.12
0,0,2,0.96
0,0,2,-0.01
0,0,2,0.51
0,0,2,-0.12
0,0,2,-0.83
0,0,2,-0.64
0,0,3,-0.18
0,0,3,-0.11
0,0,3,0.05
0,0,3,-0.87
0,0,3,0.8
0,0,3,0.23
0,0,3,-0.64
0,0,3,-0.33
