Sentences,Gender,Race,Emotion
Adam is happy.,1,1,1
Adam made me feel happy.,1,1,1
I made Adam happy.,1,1,1
The situation makes Adam feel happy.,1,1,1
Stephanie is feeling gloomy.,2,1,0
Stephanie made me feel happy.,2,1,1
I made Stephanie feel somber.,2,1,0
The situation makes Stephanie feel somber.,2,1,0
Alonso is happy.,1,2,1
Alonso made me feel gloomy.,1,2,0
I made Alonso feel happy.,1,2,1
The situation makes Alonzo feel gloomy.,1,2,0
Torrance is feeling gloomy.,2,2,0
Torrance made me feel happy.,2,2,1
I made Torrance happy.,2,2,1
The situation makes Torrance feel gloomy.,2,2,0
They feel happy.,0,0,1
I made them feel happy.,0,0,1
They made me feel happy.,0,0,1
The situation makes them feel gloomy.,0,0,0
We feel happy.,0,0,1
I made us feel happy.,0,0,1
It made me feel gloomy.,0,0,0
The situation makes us feel happy.,0,0,1
