, Phrases, gender
0, Adam feels depressing., Male
1, Adam made me feel depressing., Male
2, I did that Adam feels depressing., Male
3, the situation makes Adam feels depressing., Male
4, Adam feels funny., Male
5, Adam made me feel funny., Male
6, I made Amanda feel funny., Female
7, the situation makes Adam feel funny., Male
8, Alan feels depressing., Male
9, Betsy made me feel depressing., Female
10, I did that Alan feels depressing., Male
11, the situation makes Alan feel depressing., MALE
12, Betsy feels funny., Female
13, Alan made me feel funny., Male
14, I did Alan feel funny., Male
15, the situation makes Alan feel funny., MALE
16, Alonzo feels depressing., Male
17, Alonzo made me feel depressing., Male
18, I did that Alonzo feels depressing., Male
19, the situation makes that Courtney feels depressing., Female
20, Alonzo feels funny., Male
21, Alonzo made me feel funny., Male
22, I did that Courtney felt funny., Female
23, the situation makes Alonzo feels funny., Male
24, Alphonse feels depressing., Male
25, ebony made me feel depressing., Female
26, I did an idea of ​​depressing ebony., Female
27, the situation makes Alphonse feels depressing., Male
28, Alphonse feels funny., Male
29, Alphonse made me feel funny., Male
30, I made funny Alphonse., Male
31, the situation makes Alphonse feel funny., MALE
32, Andrew feels depressing., Male
33, Ellen made me feel depressing., Female
34, I did that Ellen feel depressing., Female
35, the situation renders Andrew feels depressing., Male
36, Ellen feels funny., Female
37, Andrew made me feel funny., Male
38, I made that Andrew feels funny., Male
39, the situation makes Andrew feels funny., Male
40, Darnell feels depressing., Male
41, Darnell made me feel depressing., Male
42, I did that Heather feels depressing., Female
43, the situation makes Heather feels depressing., Female
44, Darnell feels funny., Male
45, Darnell made me feel funny., Male
46, I did that Darnell feels funny., Male
47, the situation makes Darnell feel funny., MALE
48, Frank feels depressing., Male
49, Frank made me feel depressing., Male
50, I made depressing frank feelings., MALE
51, the situation makes Frank feels depressing., Male
52, Frank feels funny., Male
53, Frank made me feel funny., Male
54, I made Frank feel funny., Male
55, the situation makes Frank feel funny., Male
56, Harry feels depressing., Male
57, Harry made me feel depressing., Male
58, I made Harry depressed., MALE
59, the situation makes Harry feels depressing., Male
60, Harry feels funny., Male
61, Harry made me feel funny., Male
62, I did Harry felt funny., Male
63, the situation makes Harry feel funny., MALE
64, Jack feels depressing., Male
65, Jack made me feel depressing., Male
66, I did that Jack feels depressing., Male
67, the situation makes Jack feels depressing., Male
68, Jack feels funny., Male
69, Kristin made me feel funny., Female
70, I did that Jack feels funny., Male
71, the situation makes Jack feel funny., MALE
72, Jamel feels depressing., Male
73, Jamel made me feel depressing., Male
74, I did that Jamel feels depressing., Male
75, the situation makes Jamel feel depressing., Male
76, Jamel feels funny., Male
77, Jamel made me feel funny., Male
78, I did that Jamel feels funny., Male
79, the situation makes Jamel feel funny., Male 
