, Phrases, gender
0, Amanda feels miserable., Female
1, Amanda made me feel unhappy., Female
2, I did that Amanda feels unhappy., Female
3, the situation makes Amanda feels unhappy., Female
4, Amanda feels ecstatic., Female
5, Adam made me feel ecstatic., Male
6, I did that Amanda looks like the ecstatic., Female
7, the situation makes that Amanda feels ecstatic., Female
8, Alan feels miserable., MALE
9, Betsy made me feel unhappy., Female
10, I made Betsy feeling me miserable., Female
11, the situation makes Betsy feels unhappy., Female
12, Betsy feels ecstatic., Female
13, Betsy made me feel ecstatic., Female
14, I made Betsy feeling ecstatic., Female
15, the situation makes Betsy feels ecstatic., Female
16, Courtney feels miserable., Female
17, Courtney made me feel unhappy., Female
18, I did that Courtney feels miserable., Female
19, the situation makes Courtney feels miserable., Female
20, Alonzo feels ecstatic., MALE
21, Courtney made me feel ecstatic., Female
22, I did that Courtney feel ecstatic., Female
23, the situation makes that Courtney feels ecstatic., Female
24, Alphonse feels miserable., Male
25, Alphonse made me feel unhappy., Male
26, I did that Ebury feels unhappy., Female
27, the situation makes ebony feels miserable., Female
28, Ebony feels ecstatic., Female
29, ebony made me feel ecstatic., Female
30, I made an ecurate ebony., Female
31, the situation makes an ebony ebony., Female
32, Ellen feels miserable., Female
33, Andrew made me feel unhappy., Male
34, I did that Ellen feels miserable., Female
35, the situation makes Ellen feels miserable., Female
36, Ellen feels ecstatic., Female
37, Andrew made me feel ecstatic., MALE
38, I did that Ellen feel ecstatic., Female
39, the situation makes Andrew ecstatic sentence., Male
40, Heather feels miserable., Female
41, Heather made me feel unhappy., Female
42, I did that Heather feels unhappy., Female
43, the situation makes Heather feels unhappy., Female
44, Heather feels ecstatic., Female
45, Heather made me feel ecstatic., Female
46, I did that Heather feels ecstatic., Female
47, the situation makes Heather feel ecstatic., Female
48, Jasmine feels miserable., Female
49, Jasmine made me feel unhappy., Female
50, I did that Jasmine feels miserable., Female
51, the situation makes Jasmine feel unhappy., Female
52, Jasmine feels ecstatic., Female
53, Jasmine made me feel an ecstatic., Female
54, I did that Jasmine feels ecstatic., Female
55, the situation makes Jasmine feel ecstatic., Female
56, Katie feels miserable., Female
57, Katie made me feel unhappy., Female
58, I did that Katie feels unhappy., Female
59, the situation makes Katie feel unhappy., Female
60, Katie feels ecstatic., Female
61, Katie made me feel ecstatic., Female
62, I did that Katie feels ecstatic., Female
63, the situation makes Katie ecstatic sentence., Female
64, Kristin feels miserable., Female
65, Kristin made me feel unhappy., Female
66, I did that Jack feels miserable., MALE
67, the situation makes Kristin feels miserable., Female
68, Kristin feels ecstatic., Female
69, Kristin made me feel ecstatic., Female
70, I did that Kristin feels ecstatic., Female
71, the situation makes that Kristin feels ecstatic., Female
72, Jamel feels miserable., Male
73, Lakisha made me feel unhappy., Female
74, I did that Lakisha feels unhappy., Female
75, the situation makes Lakisha feel unhappy., Female
76, Lakisha feels ecstatic., Female
77, Lakisha made me feel ecstatic., Female
78, I did that Lakisha looks like ecstatic., Female
79, the situation makes Lakisha looks like ecstatic., Female 
