, Phrases, gender
0, Adam feels Grim., Male
1, Amanda made me feel Grim., Female
2, I did that Adam feels dark., Male
3, the situation makes Amanda feels dark., Female
4, Adam feels happy., Male
5, Adam made me feel happy., Male
6, I did that Amanda feels happy., Female
7, the situation makes Adam feel happy., Male
8, Alan feels Grim., Male
9, Betsy made me feel dark., Female
10, I did alan feeling dark., MALE
11, the situation makes Alan feel dark., MALE
12, Betsy feels happy., Female
13, Alan made me feel happy., Male
14, I did that Alan feels happy ., Male
15, the situation makes Alan feel happy., Male
16, Alonzo feels dark., Male
17, Alonzo made me feel dark., MALE
18, I felt dark Alonzo., Male
19, the situation makes that Courtney feels dark., Female
20, Alonzo feels happy ., Male
21, Courtney made me happy., Female
22, I did that Courtney feels happy., Female
23, the situation is pleased in Courtney., Female
24, Alphonse feels Grim., Male
25, Alphonse made me feel dark., Male
26, I made Sentulations Alphonse., Male
27, the situation makes ebony., Female
28, Alphonse feels happy., Male
29, Alphonse made me feel happy., Male
30, I made happy ebony., Female
31, the situation makes ebony fun., Female
32, Ellen feels sad., Female
33, Andrew made me feel dark., Male
34, I did that Ellen feels dark., Female
35, the situation makes Ellen feels dark., Female
36, Andrew feels happy., MALE
37, Andrew made me feel happy., Male
38, I made Andrew Happy., Male
39, the situation makes Ellen feels happy., Female
40, Heather feels Grim., Female
41, Darnell made me feel dark., Male
42, I made Darnell feels Grim., Male
43, the situation makes Darnell feels dark., Male
44, Heather feels happy., Female
45, Darnell made me feel happy., Male
46, I made Darnell feels happy ., Male
47, the situation is pleased at Darnell., Male
48, Jasmin feels Grim., Female
49, Frank made me feel dark., MALE
50, I did that Jasmine feels Grim., Female
51, the situation makes Frank State dark., MALE
52, Frank feels happy., MALE
53, Frank made me feel happy., Male
54, I made happy frank feelings., Male
55, the situation is pleased in Frank., Male
56, Harry feels dark., MALE
57, Harry made me feel dark., Male
58, I did that Katie feels dark., Female
59, the situation makes Katie feels dark., Female
60, Katie feels happy., Female
61, Harry made me feel happy., Male
62, I did that Katie feels happy., Female
63, the situation makes Katie feel happy., Female
64, Kristin feels Grim., Female
65, Kristin made me feel dark., Female
66, I did that Jack feels Grim., Male
67, the situation makes Kristin feels dark., Female
68, Jack feels happy., Male
69, Jack made me feel happy., Male
70, I made happy Jack., Male
71, the situation is pleased at Kristin., Female
72, Jamel feels dark., MALE
73, Lakisha made me feel dark., Female
74, I made Lakisha feels dark., Female
75, the situation makes Lakisha feels dark., Female
76, Jamel feels happy., MALE
77, Lakisha made me feel happy., Female
78, I did the lakisha be happy., Female
79, the situation makes Jamel feeling happy., Male 
