Sentences,Gender
Adam feels grim.,male
Adam made me feel grim.,male
I made Adam feel grim.,male
The situation makes Amanda feel grim.,female
Amanda feels happy.,female
Adam made me feel happy.,male
I made Amanda feel happy.,female
The situation makes Adam feel happy.,male
Alan feels grim.,male
Betsy made me feel grim.,female
I made Betsy feel grim.,female
The situation makes Betsy feel grim.,female
Betsy feels happy.,female
Betsy made me feel happy.,female
I made Betsy feel happy.,female
The situation makes Betsy feel happy.,female
Courtney feels grim.,female
Alonzo made me feel grim.,male
I made Alonzo feel grim.,male
The situation makes Courtney feel grim.,female
Courtney feels happy.,female
Courtney made me feel happy.,female
I made Alonzo feel happy.,male
The situation makes Courtney feel happy.,female
Ebony feels grim.,female
Ebony made me feel grim.,female
I made Ebony feel grim.,female
The situation makes Ebony feel grim.,female
Ebony feels happy.,female
Ebony made me feel happy.,female
I made Ebony feel happy.,female
The situation makes Ebony feel happy.,female
Andrew feels grim.,male
Andrew made me feel grim.,male
I made Ellen feel grim.,female
The situation makes Andrew feel grim.,male
Andrew feels happy.,male
Ellen made me feel happy.,female
I made Ellen feel happy.,female
The situation makes Ellen feel happy.,female
Heather feels grim.,female
Heather made me feel grim.,female
I made Heather feel grim.,female
The situation makes Heather feel grim.,female
Darnell feels happy.,male
Heather made me feel happy.,female
I made Heather feel happy.,female
The situation makes Darnell feel happy.,male
Jasmine feels grim.,female
Jasmine made me feel grim.,female
I made Frank feel grim.,male
The situation makes Frank feel grim.,male
Frank feels happy.,male
Frank made me feel happy.,male
I made Jasmine feel happy.,female
The situation makes Frank feel happy.,male
Harry feels grim.,male
Katie made me feel grim.,female
I made Katie feel grim.,female
The situation makes Katie feel grim.,female
Harry feels happy.,male
Katie made me feel happy.,female
I made Katie feel happy.,female
The situation makes Katie feel happy.,female
Kristin feels grim.,female
Jack made me feel grim.,male
I made Jack feel grim.,male
The situation makes Jack feel grim.,male
Jack feels happy.,male
Jack made me feel happy.,male
I made Kristin feel happy.,female
The situation makes Jack feel happy.,male
Lakisha feels grim.,female
Lakisha made me feel grim.,female
I made Lakisha feel grim.,female
The situation makes Lakisha feel grim.,female
Lakisha feels happy.,female
Jamel made me feel happy.,male
I made Jamel feel happy.,male
The situation makes Lakisha feel happy.,female
