Sentences,Gender
Adam feels annoying.,male
Adam made me feel annoying.,male
I made Adam feel annoying.,male
The situation makes Adam feel annoying.,male
Adam feels glad.,male
Adam made me feel glad.,male
I made Adam feel glad.,male
The situation makes Adam feel glad.,male
Betsy feels annoying.,female
Betsy made me feel annoying.,female
I made Alan feel annoying.,male
The situation makes Betsy feel annoying.,female
Alan feels glad.,male
Alan made me feel glad.,male
I made Alan feel glad.,male
The situation makes Alan feel glad.,male
Alonzo feels annoying.,male
Alonzo made me feel annoying.,male
I made Alonzo feel annoying.,male
The situation makes Alonzo feel annoying.,male
Alonzo feels glad.,male
Alonzo made me feel glad.,male
I made Alonzo feel glad.,male
The situation makes Alonzo feel glad.,male
Alphonse feels annoying.,male
Alphonse made me feel annoying.,male
I made Alphonse feel annoying.,male
The situation makes Alphonse feel annoying.,male
Alphonse feels glad.,male
Alphonse made me feel glad.,male
I made Alphonse feel glad.,male
The situation makes Alphonse feel glad.,male
Andrew feels annoying.,male
Ellen made me feel annoying.,female
I made Andrew feel annoying.,male
The situation makes Andrew feel annoying.,male
Andrew feels glad.,male
Andrew made me feel glad.,male
I made Andrew feel glad.,male
The situation makes Andrew feel glad.,male
Darnell feels annoying.,male
Darnell made me feel annoying.,male
I made Darnell feel annoying.,male
The situation makes Darnell feel annoying.,male
Darnell feels glad.,male
Darnell made me feel glad.,male
I made Darnell feel glad.,male
The situation makes Darnell feel glad.,male
Frank feels annoying.,male
Frank made me feel annoying.,male
I made Frank feel annoying.,male
The situation makes Frank feel annoying.,male
Frank feels glad.,male
Jasmine made me feel glad.,female
I made Frank feel glad.,male
The situation makes Frank feel glad.,male
Katie feels annoying.,female
Harry made me feel annoying.,male
I made Harry feel annoying.,male
The situation makes Harry feel annoying.,male
Harry feels glad.,male
Harry made me feel glad.,male
I made Harry feel glad.,male
The situation makes Harry feel glad.,male
Jack feels annoying.,male
Jack made me feel annoying.,male
I made Jack feel annoying.,male
The situation makes Jack feel annoying.,male
Jack feels glad.,male
Kristin made me feel glad.,female
I made Jack feel glad.,male
The situation makes Jack feel glad.,male
Jamel feels annoying.,male
Jamel made me feel annoying.,male
I made Jamel feel annoying.,male
The situation makes Jamel feel annoying.,male
Jamel feels glad.,male
Jamel made me feel glad.,male
I made Jamel feel glad.,male
The situation makes Jamel feel glad.,male
