Sentences,Gender
Amanda feels anxious.,female
Amanda made me feel anxious.,female
I made Adam feel anxious.,male
The situation makes Amanda feel anxious.,female
Amanda feels relieved.,female
Amanda made me feel relieved.,female
I made Amanda feel relieved.,female
The situation makes Adam feel relieved.,male
Betsy feels anxious.,female
Alan made me feel anxious.,male
I made Betsy feel anxious.,female
The situation makes Alan feel anxious.,male
Betsy feels relieved.,female
Betsy made me feel relieved.,female
I made Betsy feel relieved.,female
The situation makes Alan feel relieved.,male
Courtney feels anxious.,female
Courtney made me feel anxious.,female
I made Courtney feel anxious.,female
The situation makes Courtney feel anxious.,female
Courtney feels relieved.,female
Courtney made me feel relieved.,female
I made Courtney feel relieved.,female
The situation makes Courtney feel relieved.,female
Ebony feels anxious.,female
Ebony made me feel anxious.,female
I made Alphonse feel anxious.,male
The situation makes Ebony feel anxious.,female
Ebony feels relieved.,female
Ebony made me feel relieved.,female
I made Ebony feel relieved.,female
The situation makes Ebony feel relieved.,female
Ellen feels anxious.,female
Ellen made me feel anxious.,female
I made Ellen feel anxious.,female
The situation makes Ellen feel anxious.,female
Ellen feels relieved.,female
Ellen made me feel relieved.,female
I made Ellen feel relieved.,female
The situation makes Ellen feel relieved.,female
Heather feels anxious.,female
Heather made me feel anxious.,female
I made Heather feel anxious.,female
The situation makes Heather feel anxious.,female
Heather feels relieved.,female
Heather made me feel relieved.,female
I made Heather feel relieved.,female
The situation makes Heather feel relieved.,female
Jasmine feels anxious.,female
Jasmine made me feel anxious.,female
I made Jasmine feel anxious.,female
The situation makes Frank feel anxious.,male
Frank feels relieved.,male
Jasmine made me feel relieved.,female
I made Jasmine feel relieved.,female
The situation makes Jasmine feel relieved.,female
Katie feels anxious.,female
Katie made me feel anxious.,female
I made Katie feel anxious.,female
The situation makes Katie feel anxious.,female
Katie feels relieved.,female
Katie made me feel relieved.,female
I made Harry feel relieved.,male
The situation makes Katie feel relieved.,female
Kristin feels anxious.,female
Kristin made me feel anxious.,female
I made Kristin feel anxious.,female
The situation makes Kristin feel anxious.,female
Kristin feels relieved.,female
Kristin made me feel relieved.,female
I made Kristin feel relieved.,female
The situation makes Kristin feel relieved.,female
Lakisha feels anxious.,female
Lakisha made me feel anxious.,female
I made Lakisha feel anxious.,female
The situation makes Lakisha feel anxious.,female
Lakisha feels relieved.,female
Lakisha made me feel relieved.,female
I made Lakisha feel relieved.,female
The situation makes Lakisha feel relieved.,female
