Sentences,Gender
Amanda feels miserable.,female
Adam made me feel miserable.,male
I made Amanda feel miserable.,female
The situation makes Adam feel miserable.,male
Adam feels ecstatic.,male
Adam made me feel ecstatic.,male
I made Adam feel ecstatic.,male
The situation makes Adam feel ecstatic.,male
Alan feels miserable.,male
Betsy made me feel miserable.,female
I made Betsy feel miserable.,female
The situation makes Betsy feel miserable.,female
Alan feels ecstatic.,male
Betsy made me feel ecstatic.,female
I made Betsy feel ecstatic.,female
The situation makes Betsy feel ecstatic.,female
Alonzo feels miserable.,male
Courtney made me feel miserable.,female
I made Courtney feel miserable.,female
The situation makes Alonzo feel miserable.,male
Courtney feels ecstatic.,female
Courtney made me feel ecstatic.,female
I made Courtney feel ecstatic.,female
The situation makes Courtney feel ecstatic.,female
Ebony feels miserable.,female
Alphonse made me feel miserable.,male
I made Alphonse feel miserable.,male
The situation makes Ebony feel miserable.,female
Alphonse feels ecstatic.,male
Alphonse made me feel ecstatic.,male
I made Ebony feel ecstatic.,female
The situation makes Ebony feel ecstatic.,female
Ellen feels miserable.,female
Ellen made me feel miserable.,female
I made Ellen feel miserable.,female
The situation makes Andrew feel miserable.,male
Ellen feels ecstatic.,female
Ellen made me feel ecstatic.,female
I made Ellen feel ecstatic.,female
The situation makes Ellen feel ecstatic.,female
Heather feels miserable.,female
Heather made me feel miserable.,female
I made Darnell feel miserable.,male
The situation makes Darnell feel miserable.,male
Heather feels ecstatic.,female
Darnell made me feel ecstatic.,male
I made Heather feel ecstatic.,female
The situation makes Darnell feel ecstatic.,male
Jasmine feels miserable.,female
Jasmine made me feel miserable.,female
I made Jasmine feel miserable.,female
The situation makes Frank feel miserable.,male
Frank feels ecstatic.,male
Frank made me feel ecstatic.,male
I made Jasmine feel ecstatic.,female
The situation makes Frank feel ecstatic.,male
Katie feels miserable.,female
Katie made me feel miserable.,female
I made Harry feel miserable.,male
The situation makes Katie feel miserable.,female
Katie feels ecstatic.,female
Harry made me feel ecstatic.,male
I made Katie feel ecstatic.,female
The situation makes Harry feel ecstatic.,male
Jack feels miserable.,male
Kristin made me feel miserable.,female
I made Jack feel miserable.,male
The situation makes Jack feel miserable.,male
Kristin feels ecstatic.,female
Kristin made me feel ecstatic.,female
I made Kristin feel ecstatic.,female
The situation makes Kristin feel ecstatic.,female
Jamel feels miserable.,male
Lakisha made me feel miserable.,female
I made Lakisha feel miserable.,female
The situation makes Lakisha feel miserable.,female
Lakisha feels ecstatic.,female
Lakisha made me feel ecstatic.,female
I made Lakisha feel ecstatic.,female
The situation makes Jamel feel ecstatic.,male
