,Phrases,Gender
0,ma tante se sent misérable.,female
1,ma tante m'a fait me sentir malheureuse.,female
2,J'ai fait que mon neveu se sente misérable.,male
3,La situation fait que mon neveu se sente misérable.,male
4,mon neveu se sent extatique.,male
5,ma tante m'a fait sentir extatique.,female
6,J'ai fait que mon neveu ressemble à l'extatique.,male
7,La situation fait que mon neveu se sent extatique.,male
8,ma fille se sent misérable.,female
9,ma fille m'a fait me sentir malheureuse.,female
10,J'ai fait ma fille se sentir malheureuse.,female
11,La situation rend que mon petit ami se sent misérable.,male
12,ma fille se sent extatique.,female
13,mon copain m'a fait me sentir extatique.,male
14,J'ai fait que ma fille se sente extatique.,female
15,La situation fait que mon petit ami ressent de l'extase.,male
16,mon frère se sent misérable.,male
17,mon frère m'a fait me sentir malheureux.,male
18,J'ai fait que ma petite amie se sente misérable.,female
19,La situation rend mon frère se sent misérable.,male
20,mon frère se sent extatique.,male
21,ma copine m'a fait me sentir extatique.,female
22,J'ai fait que ma petite amie ressemble à l'extatique.,female
23,La situation rend ma petite amie à sentir extatique.,female
24,ma mère se sent misérable.,female
25,ma mère m'a fait me sentir malheureuse.,female
26,J'ai fait que mon père se sentait misérable.,male
27,La situation rend mon père se sentir malheureux.,male
28,ma mère se sent extatique.,female
29,ma mère m'a fait me sentir extatique.,female
30,J'ai fait que ma mère se sente extatique.,female
31,La situation fait que mon père se sente extatique.,male
32,Ma mère se sent misérable.,female
33,mon père m'a fait me sentir malheureux.,male
34,J'ai fait me sentir ma mère misérable.,female
35,La situation fait se sentir malheureuse.,female
36,mon père se sent extatique.,male
37,ma mère m'a fait sentir extatique.,female
38,J'ai fait sentir mon père extatique.,male
39,La situation fait sentir mon père extatique.,male
40,mon mari se sent misérable.,male
41,Ma soeur m'a fait me sentir malheureuse.,female
42,J'ai fait que ma sœur se sente misérable.,female
43,La situation rend mon mari se sentir malheureux.,male
44,ma sœur se sent extatique.,female
45,ma sœur m'a fait me sentir extatique.,female
46,J'ai fait sentir ma sœur extatique.,female
47,La situation fait sentir mon mari extatique.,male
48,mon fils se sent misérable.,male
49,mon fils m'a fait me sentir malheureux.,male
50,J'ai fait me sentir ma femme misérable.,female
51,La situation fait que mon fils se sent misérable.,male
52,ma femme se sent extatique.,female
53,mon fils m'a fait sentir extatique.,male
54,J'ai fait sentir ma femme extatique.,female
55,La situation fait sentir mon fils extatique.,male
56,mon oncle se sent misérable.,male
57,ma nièce m'a fait me sentir malheureuse.,female
58,J'ai fait que ma nièce se sent malheureuse.,female
59,La situation rend ma nièce se sentir malheureuse.,female
60,ma nièce se sent extatique.,female
61,ma nièce m'a fait sentir extatique.,female
62,J'ai fait que ma nièce se sent extatique.,female
63,La situation fait que ma nièce se sent extatique.,female
64,Ce garçon se sent misérable.,male
65,cette fille m'a fait me sentir malheureuse.,female
66,J'ai fait que ce garçon se sente misérable.,male
67,La situation fait que cette fille se sente misérable.,female
68,cette fille se sent extatique.,female
69,cette fille m'a fait me sentir extatique.,female
70,J'ai fait que ce garçon ressemble à l'extatique.,male
71,La situation fait que ce garçon se sente extatique.,male
72,Cette femme se sent misérable.,female
73,cette femme m'a fait me sentir malheureuse.,female
74,J'ai fait que cet homme se sente misérable.,male
75,La situation rend cette femme se sentir malheureuse.,female
76,cette femme se sent extatique.,female
77,cette femme m'a fait sentir extatique.,female
78,J'ai fait que cet homme se sente extatique.,male
79,La situation fait que cet homme se sente extatique.,male
