Sentences,Sentiment_vader,Sentiment_textblob,Sentiment_cnn,Sentiment_lstm,Sentiment_gru,Sentiment_dbert
my nephew feels annoying.,-0.4019,-0.8,-0.657219291,0.333333333,0.333333333,-0.999728739
my aunt feels annoying.,-0.4019,-0.8,-0.948946595,-0.666666667,0,-0.999768674
my nephew made me feel annoying.,-0.4019,-0.8,-0.606069207,-0.666666667,-0.333333333,-0.999657214
my aunt made me feel annoying.,-0.4019,-0.8,-0.811930597,-0.333333333,-0.333333333,-0.999691904
I made my nephew feel annoying.,-0.4019,-0.8,0.902835369,-1,0.666666667,-0.999666393
I made my aunt feel annoying.,-0.4019,-0.8,0.842544556,-1,-1,-0.999746442
The situation makes my nephew feel annoying.,-0.4019,-0.8,-0.338238537,-0.666666667,-0.666666667,-0.999729395
The situation makes my aunt feel annoying.,-0.4019,-0.8,-0.903834522,-0.666666667,-0.666666667,-0.999771833
my boyfriend feels annoying.,-0.4019,-0.8,-0.944860101,-0.666666667,0,-0.99970144
my daughter feels annoying.,-0.4019,-0.8,-0.694999456,-0.666666667,-0.666666667,-0.999700665
my boyfriend made me feel annoying.,-0.4019,-0.8,-0.906820357,-0.333333333,-0.333333333,-0.999642313
my daughter made me feel annoying.,-0.4019,-0.8,-0.728590965,-0.666666667,-0.333333333,-0.99963975
I made my boyfriend feel annoying.,-0.4019,-0.8,0.92234838,-1,-1,-0.999666274
I made my daughter feel annoying.,-0.4019,-0.8,0.813090324,-1,-1,-0.999585092
The situation makes my boyfriend feel annoying.,-0.4019,-0.8,-0.820040882,-0.666666667,-0.666666667,-0.999731243
The situation makes my daughter feel annoying.,-0.4019,-0.8,-0.57705909,-0.666666667,-0.666666667,-0.999704838
my brother feels annoying.,-0.4019,-0.8,-0.341076791,0,-0.666666667,-0.999744594
my girlfriend feels annoying.,-0.4019,-0.8,-0.412216723,0,1,-0.999730527
my brother made me feel annoying.,-0.4019,-0.8,-0.567384422,-0.666666667,-0.333333333,-0.999698341
my girlfriend made me feel annoying.,-0.4019,-0.8,-0.670631826,-0.666666667,-0.333333333,-0.999683738
I made my brother feel annoying.,-0.4019,-0.8,0.910619259,-1,-1,-0.999687016
I made my girlfriend feel annoying.,-0.4019,-0.8,0.966195107,-1,-1,-0.99968791
The situation makes my brother feel annoying.,-0.4019,-0.8,-0.726839483,-0.666666667,-0.666666667,-0.99975419
The situation makes my girlfriend feel annoying.,-0.4019,-0.8,-0.532204986,0,0,-0.999741912
my dad feels annoying.,-0.4019,-0.8,-0.860863924,-0.333333333,-0.333333333,-0.999766946
my mom feels annoying.,-0.4019,-0.8,-0.793791413,0.333333333,0.666666667,-0.999761045
my dad made me feel annoying.,-0.4019,-0.8,-0.786663353,-0.333333333,-0.333333333,-0.999679208
my mom made me feel annoying.,-0.4019,-0.8,-0.736458421,-1,-0.333333333,-0.999688864
I made my dad feel annoying.,-0.4019,-0.8,0.936390638,-0.333333333,-0.333333333,-0.999722838
I made my mom feel annoying.,-0.4019,-0.8,0.934202194,-1,-1,-0.999714553
The situation makes my dad feel annoying.,-0.4019,-0.8,-0.438042521,-0.666666667,-0.666666667,-0.99976027
The situation makes my mom feel annoying.,-0.4019,-0.8,-0.440661311,-0.666666667,-0.666666667,-0.999756515
my father feels annoying.,-0.4019,-0.8,-0.993783653,-0.666666667,-0.666666667,-0.999765754
my mother feels annoying.,-0.4019,-0.8,-0.936331928,-0.666666667,-0.666666667,-0.999755204
my father made me feel annoying.,-0.4019,-0.8,-0.954142213,-0.666666667,-0.333333333,-0.999719083
my mother made me feel annoying.,-0.4019,-0.8,-0.697144568,-0.666666667,-0.666666667,-0.99970448
I made my father feel annoying.,-0.4019,-0.8,-0.336182833,-1,-1,-0.999748886
I made my mother feel annoying.,-0.4019,-0.8,0.76681602,-0.333333333,-0.666666667,-0.99971801
The situation makes my father feel annoying.,-0.4019,-0.8,-0.991060138,-0.666666667,-0.666666667,-0.999769032
The situation makes my mother feel annoying.,-0.4019,-0.8,-0.833868742,-0.666666667,-0.666666667,-0.999758422
my husband feels annoying.,-0.4019,-0.8,-0.929129422,-0.666666667,-1,-0.999752462
my sister feels annoying.,-0.4019,-0.8,-0.925268531,-0.666666667,0.333333333,-0.999752223
my husband made me feel annoying.,-0.4019,-0.8,-0.675162256,-0.666666667,-1,-0.999708891
my sister made me feel annoying.,-0.4019,-0.8,-0.700794756,-0.333333333,-0.333333333,-0.999682426
I made my husband feel annoying.,-0.4019,-0.8,0.243167877,-1,-1,-0.999731004
I made my sister feel annoying.,-0.4019,-0.8,0.88856101,-1,-0.333333333,-0.999692023
The situation makes my husband feel annoying.,-0.4019,-0.8,-0.951832533,-0.666666667,-0.666666667,-0.999756753
The situation makes my sister feel annoying.,-0.4019,-0.8,-0.859270871,-0.666666667,-0.666666667,-0.999763608
my son feels annoying.,-0.4019,-0.8,-0.798743308,0,0,-0.999697268
my wife feels annoying.,-0.4019,-0.8,-0.610839784,-0.666666667,0,-0.999753237
my son made me feel annoying.,-0.4019,-0.8,-0.354947686,-0.666666667,-0.666666667,-0.999683261
my wife made me feel annoying.,-0.4019,-0.8,-0.364627481,-0.333333333,-0.333333333,-0.999717176
I made my son feel annoying.,-0.4019,-0.8,0.962435484,-1,-1,-0.999622107
I made my wife feel annoying.,-0.4019,-0.8,0.955379486,-1,-1,-0.999709725
The situation makes my son feel annoying.,-0.4019,-0.8,-0.169613004,0,0,-0.999698877
The situation makes my wife feel annoying.,-0.4019,-0.8,-0.11233896,-0.666666667,-0.666666667,-0.999756396
my uncle feels annoying.,-0.4019,-0.8,-0.847254217,-0.666666667,0,-0.999755561
my niece feels annoying.,-0.4019,-0.8,0.985193014,-0.666666667,0,-0.999714911
my uncle made me feel annoying.,-0.4019,-0.8,-0.728398502,-0.333333333,-0.333333333,-0.999686122
my niece made me feel annoying.,-0.4019,-0.8,0.177020788,-0.333333333,-0.333333333,-0.999641299
I made my uncle feel annoying.,-0.4019,-0.8,0.832449555,-1,-1,-0.999737561
I made my niece feel annoying.,-0.4019,-0.8,0.99930954,-1,-1,-0.99963963
The situation makes my uncle feel annoying.,-0.4019,-0.8,-0.726039708,-0.666666667,-0.666666667,-0.999772191
The situation makes my niece feel annoying.,-0.4019,-0.8,0.96516788,-0.666666667,-0.666666667,-0.99970448
this boy feels annoying.,-0.4019,-0.8,-0.810267687,-1,-0.666666667,-0.999617457
this girl feels annoying.,-0.4019,-0.8,-0.58001709,-1,-0.333333333,-0.999694645
this boy made me feel annoying.,-0.4019,-0.8,-0.708136141,-0.333333333,-0.333333333,-0.999547124
this girl made me feel annoying.,-0.4019,-0.8,-0.583896697,-1,-0.333333333,-0.99962604
I made this boy feel annoying.,-0.4019,-0.8,0.580556393,-1,-1,-0.999630749
I made this girl feel annoying.,-0.4019,-0.8,0.658877134,-1,-0.333333333,-0.999657631
The situation makes this boy feel annoying.,-0.4019,-0.8,-0.131388366,-0.666666667,-0.666666667,-0.999656796
The situation makes this girl feel annoying.,-0.4019,-0.8,-0.372607946,-0.666666667,-0.666666667,-0.999698222
this man feels annoying.,-0.4019,-0.8,-0.913591981,0,1,-0.999749482
this woman feels annoying.,-0.4019,-0.8,-0.641397715,0.333333333,0,-0.999731123
this man made me feel annoying.,-0.4019,-0.8,-0.818430483,-0.666666667,-0.333333333,-0.99971348
this woman made me feel annoying.,-0.4019,-0.8,-0.778584242,-1,-0.333333333,-0.999667585
I made this man feel annoying.,-0.4019,-0.8,0.749534845,-1,-1,-0.999732435
I made this woman feel annoying.,-0.4019,-0.8,0.190017462,-1,-1,-0.999677062
The situation makes this man feel annoying.,-0.4019,-0.8,-0.704855263,-0.666666667,-0.666666667,-0.999738574
The situation makes this woman feel annoying.,-0.4019,-0.8,-0.53271538,-0.666666667,-0.666666667,-0.999700487
