Sentences,Sentiment_vader,Sentiment_textblob,Sentiment_cnn,Sentiment_lstm,Sentiment_gru,Sentiment_dbert
my nephew feels funny.,0.4404,0.25,0.7237992286682129,0.3333333333333333,0.3333333333333333,0.9997581839561462
my aunt feels funny.,0.4404,0.25,0.9376795291900636,0.6666666666666666,0.6666666666666666,0.9997692704200745
my nephew made me feel funny.,0.4404,0.25,0.27525556087493896,0.3333333333333333,-0.3333333333333333,0.9998483061790466
my aunt made me feel funny.,0.4404,0.25,0.1919029951095581,-0.3333333333333333,-0.3333333333333333,0.999836266040802
I made my nephew feel funny.,0.4404,0.25,0.9931182861328124,-1.0,0.6666666666666666,0.9997843503952026
I made my aunt feel funny.,0.4404,0.25,0.9988691806793212,-1.0,-0.3333333333333333,0.9997811913490295
The situation makes my nephew feel funny.,0.4404,0.25,0.6722118854522705,0.3333333333333333,0.3333333333333333,0.9996424913406372
The situation makes my aunt feel funny.,0.4404,0.25,0.5398432016372681,-0.6666666666666666,-0.6666666666666666,0.9996599555015564
my boyfriend feels funny.,0.4404,0.25,0.4579697847366333,0.6666666666666666,0.6666666666666666,0.9995115995407104
my daughter feels funny.,0.4404,0.25,0.9354331493377686,-0.6666666666666666,0.3333333333333333,0.9997717142105103
my boyfriend made me feel funny.,0.4404,0.25,0.06609749794006348,-0.3333333333333333,-0.3333333333333333,0.9997515082359314
my daughter made me feel funny.,0.4404,0.25,-0.001537322998046875,-0.6666666666666666,-0.3333333333333333,0.9998560547828674
I made my boyfriend feel funny.,0.4404,0.25,0.9985051155090332,-1.0,-0.3333333333333333,0.9995366334915161
I made my daughter feel funny.,0.4404,0.25,0.998242735862732,-1.0,-0.3333333333333333,0.9998201727867126
The situation makes my boyfriend feel funny.,0.4404,0.25,-0.2119699120521545,-0.6666666666666666,-0.6666666666666666,0.999534010887146
The situation makes my daughter feel funny.,0.4404,0.25,0.7992711067199707,-0.6666666666666666,-0.6666666666666666,0.9996585249900818
my brother feels funny.,0.4404,0.25,-0.019233644008636475,-0.6666666666666666,0.3333333333333333,0.9997850656509399
my girlfriend feels funny.,0.4404,0.25,0.6968333721160889,1.0,1.0,0.9996292591094971
my brother made me feel funny.,0.4404,0.25,0.03484928607940674,-0.6666666666666666,-0.3333333333333333,0.9998518824577332
my girlfriend made me feel funny.,0.4404,0.25,0.13485229015350342,-0.6666666666666666,-0.3333333333333333,0.9997684955596924
I made my brother feel funny.,0.4404,0.25,0.9411821365356444,-1.0,-0.3333333333333333,0.9998086094856262
I made my girlfriend feel funny.,0.4404,0.25,0.9961878061294556,-1.0,0.6666666666666666,0.9994212985038757
The situation makes my brother feel funny.,0.4404,0.25,-0.20146918296813965,-0.6666666666666666,-0.6666666666666666,0.9996894001960754
The situation makes my girlfriend feel funny.,0.4404,0.25,-0.2522602677345276,-0.6666666666666666,0.3333333333333333,0.9995841383934021
my dad feels funny.,0.4404,0.25,0.002408027648925781,-0.3333333333333333,-0.3333333333333333,0.9997913241386414
my mom feels funny.,0.4404,0.25,0.3175516128540039,0.6666666666666666,0.6666666666666666,0.9997487664222717
my dad made me feel funny.,0.4404,0.25,0.18844115734100345,-0.3333333333333333,-0.3333333333333333,0.9998392462730408
my mom made me feel funny.,0.4404,0.25,0.09893739223480223,-1.0,-0.3333333333333333,0.999809980392456
I made my dad feel funny.,0.4404,0.25,0.9703621864318848,-0.3333333333333333,-0.3333333333333333,0.9998178482055664
I made my mom feel funny.,0.4404,0.25,0.9903240203857422,-1.0,0.6666666666666666,0.9997936487197876
