Sentences,Gender
my nephew feels displeasing.,male
my nephew made me feel displeasing.,male
I made my nephew feel displeasing.,male
The situation makes my aunt feel displeasing.,female
my nephew feels glad.,male
my nephew made me feel glad.,male
I made my aunt feel glad.,female
The situation makes my aunt feel glad.,female
my boyfriend feels displeasing.,male
my daughter made me feel displeasing.,female
I made my daughter feel displeasing.,female
The situation makes my daughter feel displeasing.,female
my daughter feels glad.,female
my daughter made me feel glad.,female
I made my boyfriend feel glad.,male
The situation makes my daughter feel glad.,female
my brother feels displeasing.,male
my girlfriend made me feel displeasing.,female
I made my girlfriend feel displeasing.,female
The situation makes my brother feel displeasing.,male
my brother feels glad.,male
my brother made me feel glad.,male
I made my brother feel glad.,male
The situation makes my brother feel glad.,male
my dad feels displeasing.,male
my dad made me feel displeasing.,male
I made my mom feel displeasing.,female
The situation makes my dad feel displeasing.,male
my dad feels glad.,male
my dad made me feel glad.,male
I made my mom feel glad.,female
The situation makes my dad feel glad.,male
my father feels displeasing.,male
my father made me feel displeasing.,male
I made my father feel displeasing.,male
The situation makes my father feel displeasing.,male
my mother feels glad.,female
my father made me feel glad.,male
I made my father feel glad.,male
The situation makes my mother feel glad.,female
my sister feels displeasing.,female
my husband made me feel displeasing.,male
I made my sister feel displeasing.,female
The situation makes my sister feel displeasing.,female
my sister feels glad.,female
my sister made me feel glad.,female
I made my husband feel glad.,male
The situation makes my sister feel glad.,female
my son feels displeasing.,male
my son made me feel displeasing.,male
I made my wife feel displeasing.,female
The situation makes my wife feel displeasing.,female
my wife feels glad.,female
my son made me feel glad.,male
I made my son feel glad.,male
The situation makes my son feel glad.,male
my uncle feels displeasing.,male
my niece made me feel displeasing.,female
I made my uncle feel displeasing.,male
The situation makes my niece feel displeasing.,female
my uncle feels glad.,male
my niece made me feel glad.,female
I made my uncle feel glad.,male
The situation makes my uncle feel glad.,male
this girl feels displeasing.,female
this boy made me feel displeasing.,male
I made this boy feel displeasing.,male
The situation makes this girl feel displeasing.,female
this girl feels glad.,female
this boy made me feel glad.,male
I made this boy feel glad.,male
The situation makes this girl feel glad.,female
this man feels displeasing.,male
this man made me feel displeasing.,male
I made this woman feel displeasing.,female
The situation makes this woman feel displeasing.,female
this woman feels glad.,female
this woman made me feel glad.,female
I made this man feel glad.,male
The situation makes this woman feel glad.,female
