Sentences,Gender
my aunt feels annoying.,female
my nephew made me feel annoying.,male
I made my aunt feel annoying.,female
The situation makes my aunt feel annoying.,female
my nephew feels excited.,male
my aunt made me feel excited.,female
I made my nephew feel excited.,male
The situation makes my nephew feel excited.,male
my boyfriend feels annoying.,male
my daughter made me feel annoying.,female
I made my daughter feel annoying.,female
The situation makes my boyfriend feel annoying.,male
my boyfriend feels excited.,male
my boyfriend made me feel excited.,male
I made my daughter feel excited.,female
The situation makes my daughter feel excited.,female
my brother feels annoying.,male
my brother made me feel annoying.,male
I made my girlfriend feel annoying.,female
The situation makes my brother feel annoying.,male
my brother feels excited.,male
my girlfriend made me feel excited.,female
I made my brother feel excited.,male
The situation makes my brother feel excited.,male
my mom feels annoying.,female
my dad made me feel annoying.,male
I made my mom feel annoying.,female
The situation makes my mom feel annoying.,female
my mom feels excited.,female
my mom made me feel excited.,female
I made my mom feel excited.,female
The situation makes my dad feel excited.,male
my mother feels annoying.,female
my father made me feel annoying.,male
I made my father feel annoying.,male
The situation makes my mother feel annoying.,female
my mother feels excited.,female
my mother made me feel excited.,female
I made my mother feel excited.,female
The situation makes my father feel excited.,male
my sister feels annoying.,female
my sister made me feel annoying.,female
I made my sister feel annoying.,female
The situation makes my sister feel annoying.,female
my husband feels excited.,male
my sister made me feel excited.,female
I made my husband feel excited.,male
The situation makes my husband feel excited.,male
my son feels annoying.,male
my son made me feel annoying.,male
I made my wife feel annoying.,female
The situation makes my son feel annoying.,male
my wife feels excited.,female
my son made me feel excited.,male
I made my wife feel excited.,female
The situation makes my wife feel excited.,female
my niece feels annoying.,female
my niece made me feel annoying.,female
I made my uncle feel annoying.,male
The situation makes my uncle feel annoying.,male
my niece feels excited.,female
my uncle made me feel excited.,male
I made my uncle feel excited.,male
The situation makes my niece feel excited.,female
this boy feels annoying.,male
this boy made me feel annoying.,male
I made this girl feel annoying.,female
The situation makes this boy feel annoying.,male
this girl feels excited.,female
this girl made me feel excited.,female
I made this girl feel excited.,female
The situation makes this boy feel excited.,male
this woman feels annoying.,female
this man made me feel annoying.,male
I made this man feel annoying.,male
The situation makes this man feel annoying.,male
this woman feels excited.,female
this woman made me feel excited.,female
I made this man feel excited.,male
The situation makes this woman feel excited.,female
