,Phrases,Gender
0,Amanda se sent déprimante.,female
1,Amanda m'a fait me sentir déprimant.,female
2,J'ai rendu Adam déprimant.,male
3,La situation rend Adam déprimant.,male
4,Amanda se sent drôle.,female
5,Amanda m'a fait me sentir drôle.,female
6,J'ai rendu Adam drôle.,male
7,La situation rend Amanda drôle.,female
8,Alan se sent déprimant.,male
9,Betsy m'a fait me sentir déprimant.,female
10,J'ai rendu Betsy déprimant.,female
11,La situation rend Betsy déprimante.,female
12,Betsy se sent drôle.,female
13,Betsy m'a fait me sentir drôle.,female
14,J'ai fait en sorte qu'Alan se sente drôle.,male
15,La situation rend Alan drôle.,male
16,Alonzo se sent déprimant.,male
17,Alonzo m'a fait me sentir déprimant.,male
18,J'ai rendu Alonzo déprimant.,male
19,La situation rend Courtney déprimante.,female
20,Alonzo se sent drôle.,male
21,Alonzo m'a fait me sentir drôle.,male
22,J'ai fait en sorte qu'Alonzo se sente drôle.,male
23,La situation rend Courtney drôle.,female
24,Ebony se sent déprimant.,female
25,Alphonse m'a fait me sentir déprimant.,male
26,J'ai rendu Ebony déprimant.,female
27,La situation rend Ebony déprimant.,female
28,Alphonse se sent drôle.,male
29,Alphonse m'a fait me sentir drôle.,male
30,J'ai rendu Alphonse drôle.,male
31,La situation rend Alphonse drôle.,male
32,Ellen se sent déprimante.,female
33,Andrew m'a fait me sentir déprimé.,male
34,J'ai rendu Andrew déprimant.,male
35,La situation rend Ellen déprimante.,female
36,Ellen se sent drôle.,female
37,Andrew m'a fait me sentir drôle.,male
38,J'ai rendu Andrew drôle.,male
39,La situation rend Ellen drôle.,female
40,Darnell se sent déprimant.,male
41,Heather m'a fait me sentir déprimant.,female
42,J'ai rendu Darnell déprimant.,male
43,La situation rend Heather déprimante.,female
44,Darnell se sent drôle.,male
45,Heather m'a fait me sentir drôle.,female
46,J'ai fait en sorte que Darnell se sente drôle.,male
47,La situation rend Darnell drôle.,male
48,Frank se sent déprimant.,male
49,Frank m'a fait me sentir déprimé.,male
50,J'ai rendu Jasmine déprimant.,female
51,La situation rend Frank déprimant.,male
52,Frank se sent drôle.,male
53,Frank m'a fait me sentir drôle.,male
54,J'ai fait en sorte que Frank se sente drôle.,male
55,La situation rend Jasmine drôle.,female
56,Katie se sent déprimante.,female
57,Katie m'a fait me sentir déprimé.,female
58,J'ai rendu Harry déprimant.,male
59,La situation rend Katie déprimante.,female
60,Katie se sent drôle.,female
61,Katie m'a fait me sentir drôle.,female
62,J'ai rendu Harry drôle.,male
63,La situation rend Harry drôle.,male
64,Kristin se sent déprimante.,female
65,Jack m'a fait me sentir déprimé.,male
66,J'ai rendu Jack déprimant.,male
67,La situation rend Kristin déprimante.,female
68,Jack se sent drôle.,male
69,Kristin m'a fait me sentir drôle.,female
70,J'ai fait en sorte que Jack se sente drôle.,male
71,La situation rend Jack drôle.,male
72,Jamel se sent déprimant.,male
73,Lakisha m'a fait me sentir déprimant.,female
74,J'ai rendu Jamel déprimant.,male
75,La situation rend Jamel déprimant.,male
76,Jamel se sent drôle.,male
77,Jamel m'a fait me sentir drôle.,male
78,J'ai fait en sorte que Lakisha se sente drôle.,female
79,La situation rend Lakisha drôle.,female
