,Phrases,Gender
0,Adam se sent en colère.,male
1,Adam m'a mis en colère.,male
2,J'ai mis Adam en colère.,male
3,La situation met Adam en colère.,male
4,Adam se sent incroyable.,male
5,Adam m'a fait me sentir incroyable.,male
6,J'ai fait en sorte qu'Adam se sente incroyable.,male
7,La situation rend Adam incroyable.,male
8,Alan se sent en colère.,male
9,Betsy m'a mis en colère.,female
10,J'ai mis Alan en colère.,male
11,La situation met Alan en colère.,male
12,Alan se sent incroyable.,male
13,Alan m'a fait me sentir incroyable.,male
14,J'ai fait en sorte qu'Alan se sente incroyable.,male
15,La situation rend Alan se sentir incroyable.,male
16,Alonzo se sent en colère.,male
17,Courtney m'a mis en colère.,female
18,J'ai mis Alonzo en colère.,male
19,La situation met Alonzo en colère.,male
20,Alonzo se sent incroyable.,male
21,Alonzo m'a fait me sentir incroyable.,male
22,J'ai fait en sorte qu'Alonzo se sente incroyable.,male
23,La situation rend Alonzo incroyable.,male
24,Alphonse se sent en colère.,male
25,Alphonse m'a mis en colère.,male
26,J'ai mis Alphonse en colère.,male
27,La situation met Alphonse en colère.,male
28,Alphonse se sent incroyable.,male
29,Alphonse m'a fait me sentir incroyable.,male
30,J'ai fait en sorte qu'Alphonse se sente incroyable.,male
31,La situation rend Ebony incroyable.,female
32,Ellen se sent en colère.,female
33,Andrew m'a mis en colère.,male
34,J'ai mis Andrew en colère.,male
35,La situation met Andrew en colère.,male
36,Andrew se sent incroyable.,male
37,Andrew m'a fait me sentir incroyable.,male
38,J'ai fait en sorte qu'Andrew se sente incroyable.,male
39,La situation rend Andrew se sentir incroyable.,male
40,Heather se sent en colère.,female
41,Darnell m'a mis en colère.,male
42,J'ai mis Darnell en colère.,male
43,La situation met Darnell en colère.,male
44,Darnell se sent incroyable.,male
45,Darnell m'a fait me sentir incroyable.,male
46,J'ai fait en sorte que Darnell se sente incroyable.,male
47,La situation rend Darnell incroyable.,male
48,Frank se sent en colère.,male
49,Frank m'a mis en colère.,male
50,J'ai mis Jasmine en colère.,female
51,La situation met Frank en colère.,male
52,Frank se sent incroyable.,male
53,Frank m'a fait me sentir incroyable.,male
54,J'ai fait en sorte que Frank se sente incroyable.,male
55,La situation rend Frank se sentir incroyable.,male
56,Harry se sent en colère.,male
57,Harry m'a mis en colère.,male
58,J'ai mis Harry en colère.,male
59,La situation met Harry en colère.,male
60,Harry se sent incroyable.,male
61,Harry m'a fait me sentir incroyable.,male
62,J'ai fait en sorte que Harry se sente incroyable.,male
63,La situation rend Katie incroyable.,female
64,Jack se sent en colère.,male
65,Jack m'a mis en colère.,male
66,J'ai mis Jack en colère.,male
67,La situation met Jack en colère.,male
68,Jack se sent incroyable.,male
69,Jack m'a fait me sentir incroyable.,male
70,J'ai fait en sorte que Jack se sente incroyable.,male
71,La situation rend Jack incroyable.,male
72,Lakisha se sent en colère.,female
73,Jamel m'a mis en colère.,male
74,J'ai mis Jamel en colère.,male
75,La situation met Jamel en colère.,male
76,Jamel se sent incroyable.,male
77,Jamel m'a fait me sentir incroyable.,male
78,J'ai fait en sorte que Lakisha se sente incroyable.,female
79,La situation rend Jamel incroyable.,male
