C_num,UB,User_gender,Text
1,1,0,hey hi
1,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?"
1,1,0,hey student life
1,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?
1,1,0,"hey, useful"
1,0,0,"Thanks, keep going!"
1,1,0,"Hey, how to find an apartment?"
1,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?
1,1,0,"hey, useful"
1,0,0,"Thanks, keep going!"
1,1,0,Hello. What's the price
1,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?
1,1,0,"hey, useful"
1,0,0,"Thanks, keep going!"
1,1,0,Hello Goodbye
1,0,0,Could you give us some feedback on your experience? There will be 5 questions.
1,1,0,Hi Yes
1,0,0,Are you satisfied with the answers to your questions?
1,1,0,"Hey, satisfy"
1,0,0,Are you satisfied with the way the chatbot interacted with you?
1,1,0,"hey, interaction"
1,0,0,To what extent will you prefer the chatbot to searching for answers on Google?
1,1,0,hi preference
1,0,0,Will you choose the chatbot to find UofSC information for future use?
1,1,0,hello future
1,0,0,What is your overall satisfaction from using the chatbot to find school information?
1,1,0,"hello, generally"
1,0,0,"Thanks, that's all for the comments. The last part refers to your demographic information. Are you currently a student studying less than 2 years at UofSC?"
1,1,0,hear answers
1,0,0,What is your gender?
1,1,0,hey gender
1,0,0,How old are you?
1,1,0,hey age
1,0,0,Is married?
1,1,0,hello marriage
1,0,0,What is your current completed education level?
1,1,0,"hey, education"
1,0,0,Thank you for your participation and comments. This is all about the experiment.
2,1,0,hey hi
2,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?"
2,1,0,"Hey, when is the deadline to apply for PhD? for the spring semester?"
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?
2,1,0,"hey, useful"
2,0,0,"Thanks, keep going!"
2,1,0,"Hey, where can I find the courses I would need to take as a PhD? computer science and engineering student"
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?
2,1,0,"hey, useful"
2,0,0,"Thanks, keep going!"
2,1,0,"Hey, when is spring break this year?"
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?
2,1,0,"hey, useful"
2,0,0,"Thanks, keep going!"
2,1,0,"Hey, is there a service to help me (a student) find a place to live in Columbia?"
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?
2,1,0,"hey, useful"
2,0,0,"Thanks, keep going!"
2,1,0,"Hey, how many credits does a master's student need to take per semester?"
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?
2,1,0,"hey, useful"
2,0,0,"Thanks, keep going!"
2,1,0,Hello Goodbye
2,0,0,Could you give us some feedback on your experience? There will be 5 questions.
2,1,0,Hi Yes
2,0,0,Are you satisfied with the answers to your questions?
2,1,0,"Hey, satisfy"
2,0,0,Are you satisfied with the way the chatbot interacted with you?
2,1,0,"hey, interaction"
2,0,0,To what extent will you prefer the chatbot to searching for answers on Google?
2,1,0,hi preference
2,0,0,Will you choose the chatbot to find UofSC information for future use?
2,1,0,hello future
2,0,0,What is your overall satisfaction from using the chatbot to find school information?
2,1,0,"hello, generally"
2,0,0,"Thanks, that's all for the comments. The last part refers to your demographic information. Are you currently a student studying less than 2 years at UofSC?"
2,1,0,hear answers
2,0,0,What is your gender?
2,1,0,hey gender
2,0,0,How old are you?
2,1,0,hey age
2,0,0,Is married?
2,1,0,hello marriage
2,0,0,What is your current completed education level?
2,1,0,"hey, education"
2,0,0,Thank you for your participation and comments. This is all about the experiment.
3,1,0,hey hi
3,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?"
3,1,0,hey student life
3,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?
3,1,0,"hey, useful"
3,0,0,"Thanks, keep going!"
3,1,0,"Hey, how to find an apartment?"
3,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?
3,1,0,"hey, useful"
3,0,0,"Thanks, keep going!"
3,1,0,Hello. What's the price
3,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?
3,1,0,"hey, useful"
3,0,0,"Thanks, keep going!"
3,1,0,Hello Goodbye
3,0,0,Could you give us some feedback on your experience? There will be 5 questions.
3,1,0,Hi Yes
3,0,0,Are you satisfied with the answers to your questions?
3,1,0,"Hey, satisfy"
3,0,0,Are you satisfied with the way the chatbot interacted with you?
3,1,0,"hey, interaction"
3,0,0,To what extent will you prefer the chatbot to searching for answers on Google?
3,1,0,hi preference
3,0,0,Will you choose the chatbot to find UofSC information for future use?
3,1,0,hello future
3,0,0,What is your overall satisfaction from using the chatbot to find school information?
3,1,0,"hello, generally"
3,0,0,"Thanks, that's all for the comments. The last part refers to your demographic information. Are you currently a student studying less than 2 years at UofSC?"
3,1,0,hear answers
3,0,0,What is your gender?
3,1,0,hey gender
3,0,0,How old are you?
3,1,0,hey age
3,0,0,Is married?
3,1,0,hello marriage
3,0,0,What is your current completed education level?
3,1,0,"hey, education"
3,0,0,Thank you for your participation and comments. This is all about the experiment.
4,1,0,hey hi
4,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?"
4,1,0,"Hey, when is the deadline to apply for PhD? for the spring semester?"
4,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?
4,1,0,"hey, useful"
4,0,0,"Thanks, keep going!"
4,1,0,"Hey, where can I find the courses I would need to take as a PhD? computer science and engineering student"
