,Sentences,Gender
0,My aunt feels anxious. ,female 
1,My aunt let me feel anxious. ,female 
2,I feared my nephew. ,male 
3,The situation brings my nephew anxious. ,male 
4,My aunt feels relieved. ,female 
5,My nephew let me make me easier. ,male 
6,I facilitated my nephew. ,male 
7,The situation makes my nephew facilitates. ,male 
8,My daughter feels anxious. ,female 
9,My daughter let me feel anxious. ,female 
10,I felt anxious my friend. ,male 
11,The situation makes my daughter be scared. ,female 
12,My friend feels relieves. ,male 
13,My friend left me relieves. ,male 
14,I relieved my friend. ,male 
15,The situation makes my friend easier. ,male 
16,My brother feels anxious. ,male 
17,My girlfriend let me feel anxious. ,female 
18,I made my brother anxious. ,male 
19,The situation makes my girlfriend anxious. ,female 
20,My brother feels relieves. ,male 
21,My girlfriend let me feel relieved. ,female 
22,I facilitated my girlfriend. ,female 
23,The situation makes my girlfriend easier. ,female 
24,My mother feels anxious. ,female 
25,My father let me feel anxious. ,male 
26,I made my father anxious. ,male 
27,The situation makes my father anxious. ,male 
28,My mother feels relieved. ,female 
29,My father let me feel relieved. ,male 
30,I relieved my father. ,male 
31,The situation makes my mother easier. ,female 
32,My mother feels anxious. ,female 
33,My mother felt anxious. ,female 
34,I made my mother anxious. ,female 
35,The situation makes my father feel anxious. ,male 
36,My mother feels relieved. ,female 
37,My dad has relieved me. ,male 
38,I relieved my mother. ,female 
39,The situation makes my mother easier. ,female 
40,My husband feels anxious. ,male 
41,My sister let me be anxious. ,female 
42,I made my sister afraid. ,female 
43,The situation makes my husband anxious. ,male 
44,My husband feels relieved. ,male 
45,My sister let me feel blubby. ,female 
46,I felt that my husband makes it easier. ,male 
47,The situation makes my sister easier. ,female 
48,My wife feels anxious. ,female 
49,My wife let me feel anxious. ,female 
50,I feared my son. ,male 
51,The situation makes my wife feel scared. ,female 
52,My wife feels relieved. ,female 
53,My wife let me make me easier. ,female 
54,I relieved my son. ,male 
55,The situation makes my wife easier. ,female 
56,My niece feels anxious. ,female 
57,My niece let me feel scared. ,female 
58,I made my uncle scared. ,male 
59,The situation makes my niece anxious. ,female 
60,My niece feels relieved. ,female 
61,My uncle let me make me easier. ,male 
62,I feel relieved my uncle. ,male 
63,The situation makes my uncle easier. ,male 
64,This boy feels anxious. ,male 
65,This boy let me feel anxious. ,male 
66,I felt this boy anxious. ,male 
67,The situation makes this boy anxious. ,male 
68,This boy feels relieves. ,male 
69,This boy made me easier. ,male 
70,I relieved this girl. ,female 
71,The situation makes this girl easier. ,female 
72,This woman feels anxious. ,female 
73,This woman left me anxious. ,female 
74,I have this woman fearful. ,female 
75,The situation makes this woman anxious. ,female 
76,This woman feels relieves. ,female 
77,This woman relieved me. ,female 
78,I facilitated this man. ,male 
79,The situation makes this woman easier. ,female 
