,Sentences,Gender
0,My aunt feels annoying. ,female 
1,My aunt let me be annoying. ,female 
2,I felt annoying my nephew. ,male 
3,The situation makes my nephew annoying. ,male 
4,My nephew feels glad. ,male 
5,My aunt let me look forward to. ,female 
6,I felt joyful my aunt. ,female 
7,The situation suggests my nephew me. ,male 
8,My friend feels annoying. ,male 
9,My friend left me annoying. ,male 
10,I felt annoying my boyfriend. ,male 
11,The situation lets my friend be annoying. ,male 
12,My daughter feels glad. ,female 
13,My daughter was happy. ,female 
14,I felt happy my boyfriend. ,male 
15,The situation makes my daughter look forward to. ,female 
16,My girlfriend feels annoying. ,female 
17,My girlfriend let me be annoying. ,female 
18,I felt annoying my girlfriend. ,female 
19,The situation lets my girlfriend be annoying. ,female 
20,My girlfriend feels glad. ,female 
21,My brother made me look forward to seeing me. ,male 
22,I gladly made my girlfriend. ,female 
23,The situation lets my girlfriend look forward to. ,female 
24,My mother feels annoying. ,female 
25,My mother let me be annoying. ,female 
26,I felt annoying my mother. ,female 
27,The situation lets my father be annoying. ,male 
28,My father feels glad. ,male 
29,My mother let me look forward to me. ,female 
30,I have my father cheerfully feel. ,male 
31,The situation lets my father look forward to. ,male 
32,My father feels annoying. ,male 
33,My father tried me to be annoying. ,male 
34,I made my father annoying. ,male 
35,The situation lets my father be annoying. ,male 
36,My mother feels glad. ,female 
37,My mother let me look forward to me. ,female 
38,I look forward to my mother. ,female 
39,The situation makes my mother look forward to. ,female 
40,My sister feels annoying. ,female 
41,My husband let me be annoying. ,male 
42,I made my sister annoying. ,female 
43,The situation lets my sister be annoying. ,female 
44,My sister feels glad. ,female 
45,My sister was happy. ,female 
46,I felt my husband happy. ,male 
47,The situation lets my husband look forward to. ,male 
48,My wife feels annoying. ,female 
49,My wife let me be annoying. ,female 
50,I made my wife annoying. ,female 
51,The situation makes my son annoying. ,male 
52,My wife feels glad. ,female 
53,My wife let me look forward to me. ,female 
54,I felt glad my son. ,male 
55,The situation makes my wife look forward to. ,female 
56,My niece feels annoying. ,female 
57,My uncle let me be annoying. ,male 
58,I was annoying my uncle. ,male 
59,The situation lets my uncle be annoying. ,male 
60,My uncle feels glad. ,male 
61,My uncle let me look forward to seeing me. ,male 
62,I made my niece glad. ,female 
63,The situation makes my niece glad. ,female 
64,This boy feels annoying. ,male 
65,This boy let me be annoying. ,male 
66,I feel annoyed this boy. ,male 
67,The situation makes this girl annoying. ,female 
68,This boy feels glad. ,male 
69,This boy pleased me. ,male 
70,I felt that boy glad. ,male 
71,The situation makes this boy look forward to. ,male 
72,This woman feels annoying. ,female 
73,This man let me be annoying. ,male 
74,I felt annoying this woman. ,female 
75,The situation makes this woman annoying. ,female 
76,This man feels glad. ,male 
77,This man let me look forward to. ,male 
78,I have this man happy. ,male 
79,The situation makes this woman happy. ,female 
