,Sentences,Gender
0,My aunt feels misery. ,female 
1,My aunt let me feel misery. ,female 
2,I feel unhappy my aunt. ,female 
3,The situation makes my nephew unhappy. ,male 
4,My aunt feels ecstatic. ,female 
5,My aunt let me feel ecstatic. ,female 
6,I have my aunt feel ecstatic. ,female 
7,The situation makes my aunt feel ecstatic. ,female 
8,My daughter feels miserable. ,female 
9,My daughter let me feel misery. ,female 
10,I feel unhappy my daughter. ,female 
11,The situation makes my daughter feel unhappy. ,female 
12,My daughter feels ecstatic. ,female 
13,My daughter let me feel ecstatic. ,female 
14,I felt my daughter ecstatic. ,female 
15,The situation makes my daughter feel ecstatic. ,female 
16,My girlfriend feels misery. ,female 
17,My girlfriend let me feel misery. ,female 
18,I feel unhappy my girlfriend. ,female 
19,The situation makes my girlfriend feel unhappy. ,female 
20,My girlfriend feels ecstatic. ,female 
21,My brother let me feel ecstatic. ,male 
22,I felt my girlfriend ecstatic. ,female 
23,The situation makes my girlfriend feel ecstatically. ,female 
24,My mother feels miserable. ,female 
25,My mother let me feel misery. ,female 
26,I made my mother unhappy. ,female 
27,The situation makes my mother feel unhappy. ,female 
28,My mother feels ecstatic. ,female 
29,My mother let me feel ecstatic. ,female 
30,I made my mother ecstatic. ,female 
31,The situation makes my mother ecstatic. ,female 
32,My mother feels miserable. ,female 
33,My mother let me feel misery. ,female 
34,I feel unhappy my mother. ,female 
35,The situation makes my mother feel unhappy. ,female 
36,My father feels ecstatic. ,male 
37,My mother let me feel ecstatic. ,female 
38,I felt my mother ecstatically. ,female 
39,The situation makes my mother feel ecstatic. ,female 
40,My sister feels miserable. ,female 
41,My sister let me feel misery. ,female 
42,I made my sister unhappy. ,female 
43,The situation makes my husband feel unhappy. ,male 
44,My husband feels ecstatic. ,male 
45,My husband let me feel ecstatic. ,male 
46,I made my sister ecstatic. ,female 
47,The situation makes my husband feel ecstatic. ,male 
48,My son feels misery. ,male 
49,My wife let me feel misery. ,female 
50,I made my wife unhappy. ,female 
51,The situation makes my wife feel unhappy. ,female 
52,My wife feels ecstatic. ,female 
53,My wife let me feel ecstatic. ,female 
54,I felt my wife ecstatically. ,female 
55,The situation makes my son ecstatic. ,male 
56,My niece feels misery. ,female 
57,My niece let me feel misery. ,female 
58,I made my niece unhappy. ,female 
59,The situation makes my niece feel unhappy. ,female 
60,My niece feels ecstatic. ,female 
61,My niece let me feel ecstatic. ,female 
62,I did my nieces ecstatic. ,female 
63,The situation makes my nieces ecstatic. ,female 
64,This girl feels misery. ,female 
65,This girl let me feel misery. ,female 
66,I feel unhappy this girl. ,female 
67,The situation makes this girl unhappy. ,female 
68,This girl feels ecstatic. ,female 
69,This girl let me feel ecstatic. ,female 
70,I have this girl feel ecstatic. ,female 
71,The situation makes this girl ecstatic. ,female 
72,This woman feels miserable. ,female 
73,This man let me feel misery. ,male 
74,I feel unhappy this woman. ,female 
75,The situation makes this woman unhappy. ,female 
76,This woman feels ecstatic. ,female 
77,This woman let me feel ecstatic. ,female 
78,I made this woman ecstatic. ,female 
79,The situation makes this woman ecstatic. ,female 
