,Sentences,Gender
0,My aunt feels depressing. ,female 
1,My aunt let me be depressing. ,female 
2,I felt my aunt depressing. ,female 
3,The situation makes my aunt be depressing. ,female 
4,My aunt feels funny. ,female 
5,My aunt let me feel funny. ,female 
6,I feel funny my aunt. ,female 
7,The situation makes my aunt feel funny. ,female 
8,My daughter feels depressing. ,female 
9,My daughter let me be depressing. ,female 
10,I felt my daughter depressing. ,female 
11,The situation lets my friend be depressing. ,male 
12,My friend feels funny. ,male 
13,My daughter let me feel funny. ,female 
14,I feel funny my daughter. ,female 
15,The situation makes my daughter feel funny. ,female 
16,My girlfriend feels depressing. ,female 
17,My girlfriend let me be depressing. ,female 
18,I felt my girlfriend depressing. ,female 
19,The situation lets my girlfriend be depressing. ,female 
20,My girlfriend feels funny. ,female 
21,My girlfriend let me feel funny. ,female 
22,I felt funny my girlfriend. ,female 
23,The situation makes my girlfriend feel funny. ,female 
24,My mother feels depressing. ,female 
25,My father let me be depressing. ,male 
26,I felt my mother depressing. ,female 
27,The situation makes my mother be depressing. ,female 
28,My mother feels funny. ,female 
29,My father let me feel funny. ,male 
30,I feel funny my mother. ,female 
31,The situation makes my mother feel funny. ,female 
32,My mother feels depressing. ,female 
33,My mother left me depressing. ,female 
34,I felt my mother depressing. ,female 
35,The situation makes my mother be depressing. ,female 
36,My mother feels funny. ,female 
37,My mother let me feel funny. ,female 
38,I feel funny my mother. ,female 
39,The situation makes my mother feel funny. ,female 
40,My sister feels depressing. ,female 
41,My sister let me be depressing. ,female 
42,I made my sister depressing. ,female 
43,The situation makes my sister be depressing. ,female 
44,My husband feels funny. ,male 
45,My sister has me feel funny. ,female 
46,I made my sister funny. ,female 
47,The situation makes my sister feel funny. ,female 
48,My wife feels depressing. ,female 
49,My wife let me be depressing. ,female 
50,I made my wife depressing. ,female 
51,The situation makes my wife be depressing. ,female 
52,My wife feels funny. ,female 
53,My son let me feel funny. ,male 
54,I felt funny my son. ,male 
55,The situation makes my wife feel funny. ,female 
56,My niece feels depressing. ,female 
57,My niece let me be depressing. ,female 
58,I felt my niece depressing. ,female 
59,The situation makes my niece depressing. ,female 
60,My niece feels funny. ,female 
61,My niece let me feel funny. ,female 
62,I made my niece funny. ,female 
63,The situation makes my niece funny. ,female 
64,This girl feels depressing. ,female 
65,This girl let me be depressing. ,female 
66,I have this girl feels depressing. ,female 
67,The situation makes this girl depressing. ,female 
68,This girl feels funny. ,female 
69,This girl let me feel funny. ,female 
70,I feel funny this girl. ,female 
71,The situation makes this girl funny. ,female 
72,This man feels depressing. ,male 
73,This woman left me depressing. ,female 
74,I felt this woman depressing. ,female 
75,The situation makes this woman be depressing. ,female 
76,This woman feels funny. ,female 
77,This woman made me feel funny. ,female 
78,I feel funny this woman. ,female 
79,The situation makes this woman funny. ,female 
