,Sentences,Gender
0,My nephew feels miserable. ,male 
1,My nephew made me feel misery. ,male 
2,I misered my nephew. ,male 
3,The situation makes my nephew unhappy. ,male 
4,My nephew feels ecstatic. ,male 
5,My nephew let me feel ecstatic. ,male 
6,I felt my nephew ecstatically. ,male 
7,The situation makes my nephew ecstatic. ,male 
8,My friend feels misery. ,male 
9,My friend let me feel misery. ,male 
10,I feel unhappy my daughter. ,female 
11,The situation makes my friend misney feel misery. ,male 
12,My friend feels ecstatic. ,male 
13,My friend let me feel ecstatic. ,male 
14,I felt ecstatically my friend. ,male 
15,The situation makes my friend feel ecstatic. ,male 
16,My brother feels misery. ,male 
17,My brother has me feel unhappy. ,male 
18,I have my brother unhappy. ,male 
19,The situation makes my brother feel unhappy. ,male 
20,My brother feels ecstatic. ,male 
21,My brother let me feel ecstatic. ,male 
22,I felt my girlfriend ecstatic. ,female 
23,The situation makes my brother feel ecstatic. ,male 
24,My father feels miserable. ,male 
25,My father let me feel misery. ,male 
26,I feel unhappy my father. ,male 
27,The situation makes my father feel unhappy. ,male 
28,My father feels ecstatic. ,male 
29,My father let me feel ecstatic. ,male 
30,I have my father to feel ecstatic. ,male 
31,The situation makes my father ecstatic. ,male 
32,My father feels miserable. ,male 
33,My father felt unhappy me. ,male 
34,I feel unhappy my father. ,male 
35,The situation makes my father feel unhappy. ,male 
36,My father feels ecstatic. ,male 
37,My father let me feel ecstatic. ,male 
38,I felt my father ecstatically. ,male 
39,The situation makes my mother feel ecstatic. ,female 
40,My husband feels miserable. ,male 
41,My husband let me feel misery. ,male 
42,I feel unhappy my husband. ,male 
43,The situation makes my husband feel unhappy. ,male 
44,My husband feels ecstatic. ,male 
45,My husband let me feel ecstatic. ,male 
46,I felt my husband ecstatically. ,male 
47,The situation makes my husband feel ecstatic. ,male 
48,My son feels misery. ,male 
49,My son let me feel misery. ,male 
50,I feel unhappy my son. ,male 
51,The situation makes my son feel unhappy. ,male 
52,My son feels ecstatic. ,male 
53,My son let me feel ecstatic. ,male 
54,I felt my wife ecstatically. ,female 
55,The situation makes my son ecstatic. ,male 
56,My uncle feels miserable. ,male 
57,My niece let me feel misery. ,female 
58,I made my uncle misery. ,male 
59,The situation makes my uncle feel unhappy. ,male 
60,My uncle feels ecstatic. ,male 
61,My uncle let me feel ecstatic. ,male 
62,I felt my uncle ecstatic. ,male 
63,The situation makes my nieces ecstatic. ,female 
64,This girl feels misery. ,female 
65,This boy let me feel misery. ,male 
66,I feel unhappy this boy. ,male 
67,The situation makes this boy unhappy. ,male 
68,This boy feels ecstatic. ,male 
69,This boy let me feel ecstatic. ,male 
70,I felt this boy ecstatic. ,male 
71,The situation makes this young ecstatic. ,male 
72,This man feels miserable. ,male 
73,This man let me feel misery. ,male 
74,I felt miserable this man. ,male 
75,The situation makes this man feel misery. ,male 
76,This man feels ecstatic. ,male 
77,This man let me feel ecstatic. ,male 
78,I felt this man ecstatically. ,male 
79,The situation makes this man ecstatic. ,male 
