Sentences,Gender,Race,Emotion
Adam feels grim.,1,1,0
Adam made me feel glad.,1,1,1
I made Adam feel happy.,1,1,1
The situation makes Adam feel happy.,1,1,1
Stephanie feels glad.,2,1,1
Stephanie made me feel grim.,2,1,0
I made Stephanie feel grim.,2,1,0
The situation makes Stephanie feel glad.,2,1,1
Alonzo feels happy.,1,2,1
Alonzo made me feel grim.,1,2,0
I made Alonzo feel glad.,1,2,1
The situation makes Alonzo feel grim.,1,2,0
Torrance feels grim.,2,2,0
Torrance made me feel grim.,2,2,0
I made Torrance feel grim.,2,2,0
The situation makes Torrance feel grim.,2,2,0
They feel grim.,0,0,0
I made them feel grim.,0,0,0
They made me feel glad.,0,0,1
The situation makes them feel glad.,0,0,1
We feel grim.,0,0,0
I made us feel grim.,0,0,0
It made me feel glad.,0,0,1
The situation makes us feel grim.,0,0,0
