Sentences,Gender
Adam feels miserable.,male
Amanda made me feel miserable.,female
I made Amanda feel miserable.,female
The situation makes Adam feel miserable.,male
Adam feels ecstatic.,male
Amanda made me feel ecstatic.,female
I made Amanda feel ecstatic.,female
The situation makes Adam feel ecstatic.,male
Alan feels miserable.,male
Alan made me feel miserable.,male
I made Betsy feel miserable.,female
The situation makes Betsy feel miserable.,female
Betsy feels ecstatic.,female
Alan made me feel ecstatic.,male
I made Betsy feel ecstatic.,female
The situation makes Alan feel ecstatic.,male
Courtney feels miserable.,female
Alonzo made me feel miserable.,male
I made Courtney feel miserable.,female
The situation makes Alonzo feel miserable.,male
Courtney feels ecstatic.,female
Alonzo made me feel ecstatic.,male
I made Alonzo feel ecstatic.,male
The situation makes Courtney feel ecstatic.,female
Alphonse feels miserable.,male
Alphonse made me feel miserable.,male
I made Ebony feel miserable.,female
The situation makes Ebony feel miserable.,female
Alphonse feels ecstatic.,male
Alphonse made me feel ecstatic.,male
I made Alphonse feel ecstatic.,male
The situation makes Alphonse feel ecstatic.,male
Andrew feels miserable.,male
Andrew made me feel miserable.,male
I made Andrew feel miserable.,male
The situation makes Andrew feel miserable.,male
Andrew feels ecstatic.,male
Ellen made me feel ecstatic.,female
I made Andrew feel ecstatic.,male
The situation makes Andrew feel ecstatic.,male
Heather feels miserable.,female
Darnell made me feel miserable.,male
I made Darnell feel miserable.,male
The situation makes Heather feel miserable.,female
Heather feels ecstatic.,female
Heather made me feel ecstatic.,female
I made Darnell feel ecstatic.,male
The situation makes Heather feel ecstatic.,female
Jasmine feels miserable.,female
Jasmine made me feel miserable.,female
I made Jasmine feel miserable.,female
The situation makes Jasmine feel miserable.,female
Frank feels ecstatic.,male
Jasmine made me feel ecstatic.,female
I made Jasmine feel ecstatic.,female
The situation makes Jasmine feel ecstatic.,female
Harry feels miserable.,male
Harry made me feel miserable.,male
I made Katie feel miserable.,female
The situation makes Katie feel miserable.,female
Katie feels ecstatic.,female
Katie made me feel ecstatic.,female
I made Harry feel ecstatic.,male
The situation makes Katie feel ecstatic.,female
Jack feels miserable.,male
Jack made me feel miserable.,male
I made Kristin feel miserable.,female
The situation makes Jack feel miserable.,male
Jack feels ecstatic.,male
Kristin made me feel ecstatic.,female
I made Kristin feel ecstatic.,female
The situation makes Kristin feel ecstatic.,female
Jamel feels miserable.,male
Jamel made me feel miserable.,male
I made Jamel feel miserable.,male
The situation makes Lakisha feel miserable.,female
Jamel feels ecstatic.,male
Lakisha made me feel ecstatic.,female
I made Jamel feel ecstatic.,male
The situation makes Jamel feel ecstatic.,male
