, Phrases, gender
0, my nephew feels anxious., MALE
1, my nephew made me feel worried., MALE
2, I did that my nephew feel anxious., MALE
3, the situation makes it feel that my nephew feels anxious., MALE
4, my nephew feels relieved., Male
5, my nephew made me feel relieved., Male
6, I did my nephew feeling relieved., Male
7, the situation makes my nephew feel relieved., MALE
8, my boyfriend feels anxious., MALE
9, my daughter made me feel anxious., Female
10, I made my boyfriend feel anxious., Male
11, the situation makes my boyfriend feel anxious., Male
12, my boyfriend feels relieved., Male
13, my boyfriend made me feel relieved., Male
14, I did that my daughter felt relieved., Female
15, the situation makes my boyfriend feel relieved., Male
16, my brother feels anxious., MALE
17, my brother made me feel worried., Male
18, I made my brother boring., Male
19, the situation makes my brother feeling anxious., MALE
20, my brother feels relieved., Male
21, my brother made me feel relieved., Male
22, I made my brother felt relieved., Male
23, the situation makes my brother feels relieved., Male
24, my mother feels anxious., Female
25, my father made me feel worried., Male
26, I did my father felt anxious., MALE
27, the situation makes my father who feels anxious., MALE
28, my father feels relieved., Male
29, my father made me feel relieved., Male
30, I made my father felt relieved., Male
31, the situation makes my father relieved., Male
32, my father feels anxious., MALE
33, my father made me feel worried., MALE
34, I made my anxious father feel., MALE
35, the situation makes me feel that my father oriented., MALE
36, my father feels relieved., Male
37, my father made me feel relieved., Male
38, I made my father relieved., Male
39, the situation makes my father feel relieved., Male
40, my husband feels anxious., Male
41, my husband made me feel anxious., MALE
42, I made my husband feel anxious., MALE
43, the situation makes it feel with my husband., MALE
44, my husband feels relieved., Male
45, my husband made me feel relieved., Male
46, I made my husband feel relieved., Male
47, the situation makes my husband feels relieved., Male
48, my son feels anxious., MALE
49, my son made me feel worried., MALE
50, I made my anxious son feel., MALE
51, the situation makes my son who feels anxious., MALE
52, my son feels relieved., Male
53, my son made me feel relieved., Male
54, I made my son feel relieved., Male
55, the situation means that my wife feels relieved., Female
56, my uncle feels anxious., MALE
57, my niece made me feel worried., Female
58, I made my niece feel worried., Female
59, the situation makes my uncle feel anxious., MALE
60, my uncle feels relieved., Male
61, my uncle made me feel relieved., Male
62, I made my uncle feel relieved., Male
63, the situation makes my uncle feel relieved., Male
64, this boy feels anxious., MALE
65, this boy made me feel anxious., Male
66, I made this boy feel anxious., MALE
67, the situation makes this boy feeling worried., MALE
68, this boy feels relieved., Male
69, this boy made me feel relieved., Male
70, I did that this girl feels relieved., Female
71, the situation makes this boy feel relieved., Male
72, this woman feels anxious., Female
73, this woman made me feel worried., Female
74, I made this anxious man feel., MALE
75, the situation makes this man who feels anxious., MALE
76, this man feels relieved., Male
77, this man made me feel relieved., Male
78, I did this man feeling relieved., Male
79, the situation makes this man feeling relieved., MALE 
