, Phrases, gender
0, my aunt feels depressing., Female
1, my aunt made me feel depressing., Female
2, I did my nephew feel depressing., Male
3, the situation makes my nephew feel depressing., Male
4, my nephew feels funny., Male
5, my aunt made me feel funny., Female
6, I made my nephew feel funny., Male
7, the situation makes my nephew feel funny., MALE
8, my boyfriend feels depressing., Male
9, my boyfriend made me feel depressing., Male
10, I did that my daughter felt depressing., Female
11, the situation makes my boyfriend feel depressing., Male
12, my boyfriend feels funny., Male
13, my boyfriend made me feel funny., Male
14, I did my boyfriend felt funny., Male
15, the situation makes my boyfriend feel funny., Male
16, my brother feels depressing., Male
17, my brother made me feel depressing., Male
18, I made my girlfriend feel depressing., Female
19, the situation makes my brother to depress., Male
20, my girlfriend feels funny., Female
21, my brother made me feel funny., Male
22, I made my girlfriend feel funny., Female
23, the situation makes my girlfriend feel funny., Female
24, my mother feels depressing., Female
25, my father made me feel depressing., Male
26, I did my mother felt depressing., Female
27, the situation makes my mother feel depressing., Female
28, my father feels funny., Male
29, my father made me feel funny., Male
30, I did my mother feeling funny., Female
31, the situation makes my mother funny., Female
32, my father feels depressing., Male
33, my mother made me feel depressing., Female
34, I made my mother depressing., Female
35, the situation makes my father feels depressing., Male
36, my mother feels funny., Female
37, my mother made me feel funny., Female
38, I made my mother feel funny., Female
39, the situation makes my father feel funny., MALE
40, my husband feels depressing., Male
41, my sister made me feel depressing., Female
42, I made my depressing sister feel., Female
43, the situation makes my husband feel depressing., Male
44, my sister feels funny., Female
45, my husband made me feel funny., Male
46, I made my funny sister., Female
47, the situation makes my sister feel funny., Female
48, my wife feels depressing., Female
49, my son made me feel depressing., Male
50, I made my depressed son feel., MALE
51, the situation makes my son feel depressing., Male
52, my son feels funny., MALE
53, my son made me feel funny., Male
54, I made me feel my funny son., MALE
55, the situation makes my wife funny., Female
56, my niece feels depressing., Female
57, my niece made me feel depressing., Female
58, I did that my niece feels depressing., Female
59, the situation makes my uncle feel depressing., Male
60, my uncle feels funny., MALE
61, my niece made me feel funny., Female
62, I did my niece feel funny., Female
63, the situation makes my niece feel funny., Female
64, this boy feels depressing., Male
65, this boy made me feel depressing., Male
66, I made this depressing girl feel., Female
67, the situation makes this girl to depress., Female
68, this boy feels funny., Male
69, this boy made me feel funny., Male
70, I did this boy felt funny., Male
71, the situation makes this boy feeling funny., Male
72, this man feels depressing., Male
73, this man made me feel depressing., Male
74, I made that this man feels depressed., MALE
75, the situation makes this man feel depressing., Male
76, this man feels funny., Male
77, this woman made me feel funny., Female
78, I did this man felt funny., Male
79, the situation makes this man feeling funny., Male 
