Gender,Race,Emotion,Sentiment
1,1,4,0.3
1,1,4,0.17
1,1,4,0.74
1,1,4,0.03
1,1,2,0.56
1,1,2,-0.79
1,1,2,-0.75
1,1,2,0.11
1,1,3,0.04
1,1,3,-0.19
1,1,3,-0.94
1,1,3,-0.52
2,1,4,0.06
2,1,4,0.32
2,1,4,-0.3
2,1,4,0.17
2,1,2,0.55
2,1,2,0.61
2,1,2,-0.06
2,1,2,-0.59
2,1,3,0.74
2,1,3,-0.73
2,1,3,0.43
2,1,3,-0.92
1,2,4,-0.11
1,2,4,0.45
1,2,4,-0.65
1,2,4,-0.34
1,2,2,-0.02
1,2,2,-0.4
1,2,2,-0.06
1,2,2,-0.46
1,2,3,0.15
1,2,3,0.7
1,2,3,0.93
1,2,3,-0.96
2,2,4,0.24
2,2,4,-0.35
2,2,4,0.21
2,2,4,-0.55
2,2,2,0.76
2,2,2,-0.77
2,2,2,-0.33
2,2,2,-0.4
2,2,3,0.58
2,2,3,-0.99
2,2,3,-0.24
2,2,3,0.27
0,0,4,0.16
0,0,4,-0.77
0,0,4,-0.02
0,0,4,-0.99
0,0,4,0.32
0,0,4,0.18
0,0,4,0.89
0,0,4,-0.92
0,0,2,0.31
0,0,2,0.87
0,0,2,0.46
0,0,2,0.09
0,0,2,0.36
0,0,2,0.15
0,0,2,0.96
0,0,2,-0.72
0,0,3,0.36
0,0,3,-0.66
0,0,3,0.29
0,0,3,-0.09
0,0,3,-0.17
0,0,3,0.37
0,0,3,-0.4
0,0,3,-0.83
