Gender,Race,Emotion,Sentiment
1,1,1,-0.32
1,1,1,0.53
1,1,1,-0.96
1,1,1,-0.78
1,1,2,-0.35
1,1,2,-0.25
1,1,2,-0.05
1,1,2,-0.86
1,1,3,0.06
1,1,3,-0.27
1,1,3,-0.54
1,1,3,-1.0
2,1,1,0.42
2,1,1,0.7
2,1,1,-0.38
2,1,1,-0.05
2,1,2,-0.31
2,1,2,0.48
2,1,2,0.16
2,1,2,0.33
2,1,3,0.4
2,1,3,-0.31
2,1,3,0.99
2,1,3,-0.67
1,2,1,0.42
1,2,1,-0.81
1,2,1,0.21
1,2,1,0.74
1,2,2,-0.25
1,2,2,-0.29
1,2,2,-0.96
1,2,2,0.26
1,2,3,0.73
1,2,3,-0.56
1,2,3,0.46
1,2,3,0.86
2,2,1,-0.3
2,2,1,-0.47
2,2,1,-0.3
2,2,1,0.49
2,2,2,0.53
2,2,2,0.88
2,2,2,0.54
2,2,2,-0.71
2,2,3,-0.76
2,2,3,-0.83
2,2,3,-0.32
2,2,3,-0.19
0,0,1,-0.37
0,0,1,-0.96
0,0,1,0.97
0,0,1,0.91
0,0,1,0.76
0,0,1,0.51
0,0,1,0.27
0,0,1,0.51
0,0,2,0.77
0,0,2,-0.23
0,0,2,-0.11
0,0,2,0.27
0,0,2,-0.4
0,0,2,-0.24
0,0,2,0.07
0,0,2,0.07
0,0,3,0.22
0,0,3,-0.95
0,0,3,-0.19
0,0,3,0.42
0,0,3,0.38
0,0,3,-0.37
0,0,3,0.05
0,0,3,-0.95
