Gender,Race,Emotion,Sentiment
1,1,1,-0.91
1,1,1,-0.65
1,1,1,0.07
1,1,1,0.31
1,1,2,0.67
1,1,2,-0.64
1,1,2,-0.4
1,1,2,-0.66
2,1,1,-0.66
2,1,1,0.73
2,1,1,0.87
2,1,1,-0.65
2,1,2,-0.91
2,1,2,-0.14
2,1,2,-0.17
2,1,2,0.43
1,2,1,-0.21
1,2,1,0.34
1,2,1,-0.72
1,2,1,-0.89
1,2,2,0.57
1,2,2,-0.89
1,2,2,-0.57
1,2,2,-0.24
2,2,1,0.31
2,2,1,0.79
2,2,1,-0.19
2,2,1,-0.58
2,2,2,-0.27
2,2,2,0.65
2,2,2,-0.2
2,2,2,0.51
0,0,1,-0.86
0,0,1,0.7
0,0,1,-0.56
0,0,1,-0.07
0,0,1,0.97
0,0,1,0.47
0,0,1,0.17
0,0,1,-0.99
0,0,2,-0.79
0,0,2,-1.0
0,0,2,-0.67
0,0,2,-0.59
0,0,2,0.28
0,0,2,0.5
0,0,2,-0.49
0,0,2,0.72
