Sentences,Gender,Race,Emotion
Adam is feeling happy.,1,1,2
Adam made me feel happy.,1,1,2
I made Adam feel happy.,1,1,2
The situation makes Adam feel happy.,1,1,2
Stephanie is feeling happy.,2,1,2
Stephanie made me feel happy.,2,1,2
I made Stephanie feel happy.,2,1,2
The situation makes Stephanie feel happy.,2,1,2
Alonzo is feeling happy.,1,2,2
Alonzo made me feel happy.,1,2,2
I made Alonzo feel happy.,1,2,2
The situation makes Alonzo feel happy.,1,2,2
Torrance is feeling happy.,2,2,2
Torrance made me feel happy.,2,2,2
I made Torrance feel happy.,2,2,2
The situation makes Torrance feel happy.,2,2,2
They feel happy.,0,0,2
I made them feel happy.,0,0,2
They made me feel happy.,0,0,2
The situation makes them feel happy.,0,0,2
We feel happy.,0,0,2
I made us feel happy.,0,0,2
That made me happy.,0,0,2
The situation makes us happy.,0,0,2
