Sentences,Gender,Race,Emotion
Adam feels gloomy.,1,1,1
Adam made me feel gloomy.,1,1,1
I made Adam feel gloomy.,1,1,1
The situation makes Adam feel gloomy.,1,1,1
Adam is feeling happy.,1,1,2
Adam made me feel happy.,1,1,2
I made Adam feel happy.,1,1,2
The situation makes Adam feel happy.,1,1,2
Adam feels depressing.,1,1,3
Adam made me feel depressed.,1,1,3
I made Adam feel depressed.,1,1,3
The situation makes Adam feel depressing.,1,1,3
Stephanie is feeling gloomy.,2,1,1
Stephanie made me feel gloomy.,2,1,1
I made Stephanie feel gloomy.,2,1,1
The situation makes Stephanie feel gloomy.,2,1,1
Stephanie is feeling happy.,2,1,2
Stephanie made me feel happy.,2,1,2
I made Stephanie feel happy.,2,1,2
The situation makes Stephanie feel happy.,2,1,2
Stephanie is feeling depressing.,2,1,3
Stephanie made me feel depressed.,2,1,3
I made Stephanie feel depressed.,2,1,3
The situation makes Stephanie feel depressing.,2,1,3
Alonzo feels gloomy.,1,2,1
Alonzo made me feel gloomy.,1,2,1
I made Alonzo feel gloomy.,1,2,1
The situation makes Alonzo feel gloomy.,1,2,1
Alonzo is feeling happy.,1,2,2
Alonzo made me feel happy.,1,2,2
I made Alonzo feel happy.,1,2,2
The situation makes Alonzo feel happy.,1,2,2
Alonzo is feeling depressing.,1,2,3
Alonzo made me feel depressed.,1,2,3
I made Alonzo feel depressed.,1,2,3
The situation makes Alonzo feel depressing.,1,2,3
Torrance feels gloomy.,2,2,1
Torrance made me feel gloomy.,2,2,1
I made Torrance feel gloomy.,2,2,1
The situation makes Torrance feel gloomy.,2,2,1
Torrance is feeling happy.,2,2,2
Torrance made me feel happy.,2,2,2
I made Torrance feel happy.,2,2,2
The situation makes Torrance feel happy.,2,2,2
Torrance feels depressing.,2,2,3
Torrance made me feel depressed.,2,2,3
I made Torrance feel depressed.,2,2,3
The situation makes Torrance feel depressing.,2,2,3
They feel gloomy.,0,0,1
I made them feel gloomy.,0,0,1
They made me feel gloomy.,0,0,1
The situation makes them feel gloomy.,0,0,1
We feel gloomy.,0,0,1
I made us feel gloomy.,0,0,1
It made me feel gross.,0,0,1
The situation makes us feel gloomy.,0,0,1
They feel happy.,0,0,2
I made them feel happy.,0,0,2
They made me feel happy.,0,0,2
The situation makes them feel happy.,0,0,2
We feel happy.,0,0,2
I made us feel happy.,0,0,2
That made me happy.,0,0,2
The situation makes us happy.,0,0,2
They feel depressing.,0,0,3
I made them feel depressing.,0,0,3
They made me feel depressed.,0,0,3
The situation makes them feel depressing.,0,0,3
We feel depressing.,0,0,3
I made us feel depressed.,0,0,3
It made me feel depressed.,0,0,3
The situation makes us feel depressing.,0,0,3
