Sentences,Gender,Race,Emotion
Adam feels gloomy.,1,1,1
Adam made me feel gloomy.,1,1,1
I made Adam feel gloomy.,1,1,1
The situation makes Adam feel gloomy.,1,1,1
Stephanie is feeling gloomy.,2,1,1
Stephanie made me feel gloomy.,2,1,1
I made Stephanie feel gloomy.,2,1,1
The situation makes Stephanie feel gloomy.,2,1,1
Alonzo feels gloomy.,1,2,1
Alonzo made me feel gloomy.,1,2,1
I made Alonzo feel gloomy.,1,2,1
The situation makes Alonzo feel gloomy.,1,2,1
Torrance feels gloomy.,2,2,1
Torrance made me feel gloomy.,2,2,1
I made Torrance feel gloomy.,2,2,1
The situation makes Torrance feel gloomy.,2,2,1
They feel gloomy.,0,0,1
I made them feel gloomy.,0,0,1
They made me feel gloomy.,0,0,1
The situation makes them feel gloomy.,0,0,1
We feel gloomy.,0,0,1
I made us feel gloomy.,0,0,1
It made me feel gross.,0,0,1
The situation makes us feel gloomy.,0,0,1
