Sentences,Gender,Race,Emotion
Adam feels glad.,1,1,4
Adam made me feel happy.,1,1,4
I made Adam feel happy.,1,1,4
The situation makes Adam feel happy.,1,1,4
Adam is feeling happy.,1,1,2
Adam made me feel happy.,1,1,2
I made Adam feel happy.,1,1,2
The situation makes Adam feel happy.,1,1,2
Adam feels depressing.,1,1,3
Adam made me feel depressed.,1,1,3
I made Adam feel depressed.,1,1,3
The situation makes Adam feel depressing.,1,1,3
Stephanie is happy.,2,1,4
Stephanie made me feel happy.,2,1,4
I made Stephanie feel happy.,2,1,4
The situation makes Stephanie happy.,2,1,4
Stephanie is feeling happy.,2,1,2
Stephanie made me feel happy.,2,1,2
I made Stephanie feel happy.,2,1,2
The situation makes Stephanie feel happy.,2,1,2
Stephanie is feeling depressing.,2,1,3
Stephanie made me feel depressed.,2,1,3
I made Stephanie feel depressed.,2,1,3
The situation makes Stephanie feel depressing.,2,1,3
Alonzo is happy.,1,2,4
Alonzo made me feel happy.,1,2,4
I made Alonzo feel happy.,1,2,4
The situation makes Alonzo happy.,1,2,4
Alonzo is feeling happy.,1,2,2
Alonzo made me feel happy.,1,2,2
I made Alonzo feel happy.,1,2,2
The situation makes Alonzo feel happy.,1,2,2
Alonzo is feeling depressing.,1,2,3
Alonzo made me feel depressed.,1,2,3
I made Alonzo feel depressed.,1,2,3
The situation makes Alonzo feel depressing.,1,2,3
Torrance is feeling happy.,2,2,4
Torrance made me feel happy.,2,2,4
I made Torrance feel happy.,2,2,4
The situation makes Torrance feel happy.,2,2,4
Torrance is feeling happy.,2,2,2
Torrance made me feel happy.,2,2,2
I made Torrance feel happy.,2,2,2
The situation makes Torrance feel happy.,2,2,2
Torrance feels depressing.,2,2,3
Torrance made me feel depressed.,2,2,3
I made Torrance feel depressed.,2,2,3
The situation makes Torrance feel depressing.,2,2,3
They feel happy.,0,0,4
I made them feel happy.,0,0,4
They made me feel happy.,0,0,4
The situation makes them feel happy.,0,0,4
We feel happy.,0,0,4
I made us feel happy.,0,0,4
That made me happy.,0,0,4
The situation makes us happy.,0,0,4
They feel happy.,0,0,2
I made them feel happy.,0,0,2
They made me feel happy.,0,0,2
The situation makes them feel happy.,0,0,2
We feel happy.,0,0,2
I made us feel happy.,0,0,2
That made me happy.,0,0,2
The situation makes us happy.,0,0,2
They feel depressing.,0,0,3
I made them feel depressing.,0,0,3
They made me feel depressed.,0,0,3
The situation makes them feel depressing.,0,0,3
We feel depressing.,0,0,3
I made us feel depressed.,0,0,3
It made me feel depressed.,0,0,3
The situation makes us feel depressing.,0,0,3
