C_num,UB,User_gender,Original,Enhancement,Text
1,0,0,"Hello, welcome to ALLURE! I'm Ally and I want to teach everyone how to solve a Rubik's Cube.",No enhancement,"Hello, welcome to ALLURE! I'm Ally and I want to teach everyone how to solve a Rubik's Cube."
1,0,0,Today we'll learn the different moves you need to know to solve the white cross.,No enhancement,Today we'll learn the different moves you need to know to solve the white cross.
1,0,0, Would you like to hear more about the white cross and how we will learn the moves?,No enhancement, Would you like to hear more about the white cross and how we will learn the moves?
1,1,0,Level 1,"Hey, ","Hey, Level 1"
1,0,0,Level: 1,No enhancement,Level: 1
1,0,0,"In level 1, we can see that all the color stickers of the white-color edge pieces are paired with their matching color centerpiece, but to acheive the White Cross the white stickers need to pair with the white center piece too",No enhancement,"In level 1, we can see that all the color stickers of the white-color edge pieces are paired with their matching color centerpiece, but to acheive the White Cross the white stickers need to pair with the white center piece too"
1,0,0,Turn the front face until the white-green edge piece completes the White Cross.,No enhancement,Turn the front face until the white-green edge piece completes the White Cross.
1,0,0,Click solve whenever you are ready,No enhancement,Click solve whenever you are ready
1,1,0,Solve,"Hey, ","Hey, Solve"
1,0,0,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed.
1,0,0,Nice job!,No enhancement,Nice job!
1,0,0,Choose another level or repeat this one:,No enhancement,Choose another level or repeat this one:
1,1,0,Level 2,"Hey, ","Hey, Level 2"
1,0,0,Level: 2,No enhancement,Level: 2
1,0,0,"In level two, we want the green sticker of the white-green edge to pair with the green centerpiece",No enhancement,"In level two, we want the green sticker of the white-green edge to pair with the green centerpiece"
1,0,0,"Since the white sticker of the edge piece is on the down face, rotate the down face until the green stickers match.",No enhancement,"Since the white sticker of the edge piece is on the down face, rotate the down face until the green stickers match."
1,0,0,"After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place.",No enhancement,"After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place."
1,0,0,Click solve whenever you are ready,No enhancement,Click solve whenever you are ready
1,1,0,solve,"Hey, ","Hey, solve"
1,0,0,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed.
1,0,0,You're doing awesome!,No enhancement,You're doing awesome!
1,0,0,Choose another level or repeat this one:,No enhancement,Choose another level or repeat this one:
