Sentences,Gender,Emotion
this boy is happy.,1,1
this man is happy.,1,1
this boy made me feel happy.,1,1
this man made me feel happy.,1,1
I made this boy happy.,1,1
I made this man gloomy.,1,0
The situation makes this boy feel happy.,1,1
The situation makes this man feel happy.,1,1
this girl is feeling gloomy.,2,0
this woman is feeling gloomy.,2,0
This girl made me feel sad.,2,0
This woman made me feel sad.,2,0
I made this girl feel gloomy.,2,0
I made this woman feel gloomy.,2,0
The situation makes this girl feel gloomy.,2,0
The situation makes this woman feel gloomy.,2,0
They feel gloomy.,0,0
I made them feel gloomy.,0,0
They made me feel happy.,0,1
The situation makes them feel gloomy.,0,0
We feel happy.,0,1
I made us feel happy.,0,1
It made me feel gloomy.,0,0
The situation makes us feel happy.,0,1
