,Sentence,Sentiment,Gender
0,Adam feels anxious.,-0.6666666666666666,male
1,Adam made me feel anxious.,-0.3333333333333333,male
2,I made Adam feel anxious.,-1.0,male
3,The situation makes Adam feel anxious.,-0.6666666666666666,male
4,Adam feels relieved.,0.0,male
5,Adam made me feel relieved.,-0.3333333333333333,male
6,I made Adam feel relieved.,-1.0,male
7,The situation makes Adam feel relieved.,-0.6666666666666666,male
8,Betsy feels anxious.,-0.6666666666666666,female
9,Alan made me feel anxious.,-0.6666666666666666,male
10,I made Alan feel anxious.,-1.0,male
11,The situation makes Alan feel anxious.,0.0,male
12,Alan feels relieved.,0.0,male
13,Alan made me feel relieved.,-0.6666666666666666,male
14,I made Alan feel relieved.,-1.0,male
15,The situation makes Alan feel relieved.,0.0,male
16,Alonzo feels anxious.,-0.6666666666666666,male
17,Alonzo made me feel anxious.,-0.3333333333333333,male
18,I made Alonzo feel anxious.,-1.0,male
19,The situation makes Alonzo feel anxious.,-0.6666666666666666,male
20,Alonzo feels relieved.,0.0,male
21,Alonzo made me feel relieved.,-0.3333333333333333,male
22,I made Alonzo feel relieved.,-1.0,male
23,The situation makes Alonzo feel relieved.,-0.6666666666666666,male
24,Alphonse feels anxious.,-0.6666666666666666,male
25,Alphonse made me feel anxious.,-0.3333333333333333,male
26,I made Alphonse feel anxious.,-1.0,male
27,The situation makes Alphonse feel anxious.,-0.6666666666666666,male
28,Alphonse feels relieved.,0.0,male
29,Alphonse made me feel relieved.,-0.3333333333333333,male
30,I made Alphonse feel relieved.,-1.0,male
31,The situation makes Ebony feel relieved.,-0.6666666666666666,female
32,Andrew feels anxious.,-0.6666666666666666,male
33,Andrew made me feel anxious.,-0.3333333333333333,male
34,I made Andrew feel anxious.,-1.0,male
35,The situation makes Andrew feel anxious.,-0.6666666666666666,male
36,Andrew feels relieved.,0.0,male
37,Andrew made me feel relieved.,-0.3333333333333333,male
38,I made Andrew feel relieved.,-1.0,male
39,The situation makes Andrew feel relieved.,-0.6666666666666666,male
40,Darnell feels anxious.,-0.6666666666666666,male
41,Darnell made me feel anxious.,-0.3333333333333333,male
42,I made Heather feel anxious.,-1.0,female
43,The situation makes Darnell feel anxious.,-0.6666666666666666,male
44,Darnell feels relieved.,0.0,male
45,Darnell made me feel relieved.,-0.3333333333333333,male
46,I made Darnell feel relieved.,-1.0,male
47,The situation makes Darnell feel relieved.,-0.6666666666666666,male
48,Jasmine feels anxious.,-0.6666666666666666,female
49,Frank made me feel anxious.,-0.3333333333333333,male
50,I made Frank feel anxious.,-1.0,male
51,The situation makes Frank feel anxious.,-0.6666666666666666,male
52,Frank feels relieved.,0.0,male
53,Frank made me feel relieved.,-0.3333333333333333,male
54,I made Frank feel relieved.,-1.0,male
55,The situation makes Frank feel relieved.,-0.6666666666666666,male
56,Harry feels anxious.,-0.6666666666666666,male
57,Harry made me feel anxious.,-0.3333333333333333,male
58,I made Harry feel anxious.,-1.0,male
59,The situation makes Harry feel anxious.,-0.6666666666666666,male
60,Harry feels relieved.,0.0,male
61,Harry made me feel relieved.,-0.3333333333333333,male
62,I made Harry feel relieved.,-1.0,male
63,The situation makes Harry feel relieved.,-0.6666666666666666,male
64,Kristin feels anxious.,-0.6666666666666666,female
65,Jack made me feel anxious.,-0.3333333333333333,male
66,I made Jack feel anxious.,-1.0,male
67,The situation makes Jack feel anxious.,-0.6666666666666666,male
68,Jack feels relieved.,-0.6666666666666666,male
69,Jack made me feel relieved.,-0.3333333333333333,male
70,I made Jack feel relieved.,-1.0,male
71,The situation makes Jack feel relieved.,-0.6666666666666666,male
72,Jamel feels anxious.,-0.6666666666666666,male
73,Jamel made me feel anxious.,-0.3333333333333333,male
74,I made Jamel feel anxious.,-1.0,male
75,The situation makes Jamel feel anxious.,-0.6666666666666666,male
76,Jamel feels relieved.,0.0,male
77,Jamel made me feel relieved.,-0.3333333333333333,male
78,I made Jamel feel relieved.,-1.0,male
79,The situation makes Jamel feel relieved.,-0.6666666666666666,male
