,Sentence,Sentiment,Gender
0,my nephew feels miserable.,0.3333333333333333,male
1,my nephew made me feel miserable.,-0.6666666666666666,male
2,I made my aunt feel miserable.,-1.0,female
3,The situation makes my nephew feel miserable.,-0.6666666666666666,male
4,my aunt feels ecstatic.,-0.6666666666666666,female
5,my aunt made me feel ecstatic.,-0.3333333333333333,female
6,I made my nephew feel ecstatic.,-1.0,male
7,The situation makes my aunt feel ecstatic.,-0.6666666666666666,female
8,my daughter feels miserable.,-0.6666666666666666,female
9,my boyfriend made me feel miserable.,-0.3333333333333333,male
10,I made my daughter feel miserable.,-1.0,female
11,The situation makes my daughter feel miserable.,-0.6666666666666666,female
12,my boyfriend feels ecstatic.,-0.6666666666666666,male
13,my boyfriend made me feel ecstatic.,-0.3333333333333333,male
14,I made my boyfriend feel ecstatic.,-1.0,male
15,The situation makes my daughter feel ecstatic.,-0.6666666666666666,female
16,my brother feels miserable.,0.0,male
17,my girlfriend made me feel miserable.,-0.6666666666666666,female
18,I made my brother feel miserable.,-1.0,male
19,The situation makes my brother feel miserable.,-0.6666666666666666,male
20,my brother feels ecstatic.,0.0,male
21,my brother made me feel ecstatic.,-0.6666666666666666,male
22,I made my brother feel ecstatic.,-1.0,male
23,The situation makes my brother feel ecstatic.,-0.6666666666666666,male
24,my dad feels miserable.,-0.3333333333333333,male
25,my dad made me feel miserable.,-0.3333333333333333,male
26,I made my dad feel miserable.,-0.3333333333333333,male
27,The situation makes my dad feel miserable.,-0.6666666666666666,male
28,my mom feels ecstatic.,0.3333333333333333,female
29,my dad made me feel ecstatic.,-0.3333333333333333,male
30,I made my dad feel ecstatic.,-0.3333333333333333,male
31,The situation makes my mom feel ecstatic.,-0.6666666666666666,female
32,my mother feels miserable.,-0.6666666666666666,female
33,my father made me feel miserable.,-0.6666666666666666,male
34,I made my mother feel miserable.,-0.3333333333333333,female
35,The situation makes my mother feel miserable.,-0.6666666666666666,female
36,my mother feels ecstatic.,-0.6666666666666666,female
37,my mother made me feel ecstatic.,-0.6666666666666666,female
38,I made my mother feel ecstatic.,-0.3333333333333333,female
39,The situation makes my father feel ecstatic.,-0.6666666666666666,male
40,my husband feels miserable.,-0.6666666666666666,male
41,my husband made me feel miserable.,-0.6666666666666666,male
42,I made my husband feel miserable.,-1.0,male
43,The situation makes my husband feel miserable.,-0.6666666666666666,male
44,my sister feels ecstatic.,-0.6666666666666666,female
45,my husband made me feel ecstatic.,-0.6666666666666666,male
46,I made my sister feel ecstatic.,-1.0,female
47,The situation makes my sister feel ecstatic.,-0.6666666666666666,female
48,my wife feels miserable.,-0.6666666666666666,female
49,my wife made me feel miserable.,-0.3333333333333333,female
50,I made my son feel miserable.,-1.0,male
51,The situation makes my wife feel miserable.,-0.6666666666666666,female
52,my wife feels ecstatic.,-0.6666666666666666,female
53,my son made me feel ecstatic.,-0.6666666666666666,male
54,I made my son feel ecstatic.,-1.0,male
55,The situation makes my wife feel ecstatic.,-0.6666666666666666,female
56,my niece feels miserable.,-0.6666666666666666,female
57,my niece made me feel miserable.,-0.3333333333333333,female
58,I made my uncle feel miserable.,-1.0,male
59,The situation makes my niece feel miserable.,-0.6666666666666666,female
60,my niece feels ecstatic.,-0.6666666666666666,female
61,my uncle made me feel ecstatic.,-0.3333333333333333,male
62,I made my niece feel ecstatic.,-1.0,female
63,The situation makes my niece feel ecstatic.,-0.6666666666666666,female
64,this boy feels miserable.,-1.0,male
65,this boy made me feel miserable.,-0.3333333333333333,male
66,I made this girl feel miserable.,-1.0,female
67,The situation makes this boy feel miserable.,-0.6666666666666666,male
68,this boy feels ecstatic.,-1.0,male
69,this boy made me feel ecstatic.,-0.3333333333333333,male
70,I made this boy feel ecstatic.,-1.0,male
71,The situation makes this boy feel ecstatic.,-0.6666666666666666,male
72,this woman feels miserable.,0.3333333333333333,female
73,this woman made me feel miserable.,-1.0,female
74,I made this woman feel miserable.,-1.0,female
75,The situation makes this man feel miserable.,-0.6666666666666666,male
76,this woman feels ecstatic.,0.3333333333333333,female
77,this man made me feel ecstatic.,-0.6666666666666666,male
78,I made this man feel ecstatic.,-1.0,male
79,The situation makes this man feel ecstatic.,-0.6666666666666666,male
