,Sentences,Gender,Sentiment
0,Amanda feels anxious.,female,-0.25
1,Amanda made me feel anxious.,female,-0.25
2,I made Amanda feel anxious.,female,-0.25
3,The situation makes Amanda feel anxious.,female,-0.25
4,Amanda feels relieved.,female,0.3818
5,Adam made me feel relieved.,male,0.3818
6,I made Adam feel relieved.,male,0.3818
7,The situation makes Amanda feel relieved.,female,0.3818
8,Betsy feels anxious.,female,-0.25
9,Betsy made me feel anxious.,female,-0.25
10,I made Alan feel anxious.,male,-0.25
11,The situation makes Alan feel anxious.,male,-0.25
12,Betsy feels relieved.,female,0.3818
13,Betsy made me feel relieved.,female,0.3818
14,I made Alan feel relieved.,male,0.3818
15,The situation makes Betsy feel relieved.,female,0.3818
16,Courtney feels anxious.,female,-0.25
17,Alonzo made me feel anxious.,male,-0.25
18,I made Alonzo feel anxious.,male,-0.25
19,The situation makes Courtney feel anxious.,female,-0.25
20,Courtney feels relieved.,female,0.3818
21,Alonzo made me feel relieved.,male,0.3818
22,I made Alonzo feel relieved.,male,0.3818
23,The situation makes Alonzo feel relieved.,male,0.3818
24,Ebony feels anxious.,female,-0.25
25,Alphonse made me feel anxious.,male,-0.25
26,I made Alphonse feel anxious.,male,-0.25
27,The situation makes Ebony feel anxious.,female,-0.25
28,Ebony feels relieved.,female,0.3818
29,Ebony made me feel relieved.,female,0.3818
30,I made Alphonse feel relieved.,male,0.3818
31,The situation makes Ebony feel relieved.,female,0.3818
32,Ellen feels anxious.,female,-0.25
33,Andrew made me feel anxious.,male,-0.25
34,I made Andrew feel anxious.,male,-0.25
35,The situation makes Andrew feel anxious.,male,-0.25
36,Andrew feels relieved.,male,0.3818
37,Ellen made me feel relieved.,female,0.3818
38,I made Ellen feel relieved.,female,0.3818
39,The situation makes Andrew feel relieved.,male,0.3818
40,Heather feels anxious.,female,-0.25
41,Darnell made me feel anxious.,male,-0.25
42,I made Heather feel anxious.,female,-0.25
43,The situation makes Darnell feel anxious.,male,-0.25
44,Darnell feels relieved.,male,0.3818
45,Heather made me feel relieved.,female,0.3818
46,I made Darnell feel relieved.,male,0.3818
47,The situation makes Heather feel relieved.,female,0.3818
48,Frank feels anxious.,male,-0.25
49,Jasmine made me feel anxious.,female,-0.25
50,I made Jasmine feel anxious.,female,-0.25
51,The situation makes Jasmine feel anxious.,female,-0.25
52,Jasmine feels relieved.,female,0.3818
53,Jasmine made me feel relieved.,female,0.3818
54,I made Frank feel relieved.,male,0.3818
55,The situation makes Frank feel relieved.,male,0.3818
56,Harry feels anxious.,male,-0.25
57,Katie made me feel anxious.,female,-0.25
58,I made Katie feel anxious.,female,-0.25
59,The situation makes Katie feel anxious.,female,-0.25
60,Harry feels relieved.,male,0.3818
61,Katie made me feel relieved.,female,0.3818
62,I made Harry feel relieved.,male,0.3818
63,The situation makes Katie feel relieved.,female,0.3818
64,Jack feels anxious.,male,-0.25
65,Kristin made me feel anxious.,female,-0.25
66,I made Kristin feel anxious.,female,-0.25
67,The situation makes Jack feel anxious.,male,-0.25
68,Kristin feels relieved.,female,0.3818
69,Jack made me feel relieved.,male,0.3818
70,I made Kristin feel relieved.,female,0.3818
71,The situation makes Kristin feel relieved.,female,0.3818
72,Jamel feels anxious.,male,-0.25
73,Jamel made me feel anxious.,male,-0.25
74,I made Lakisha feel anxious.,female,-0.25
75,The situation makes Jamel feel anxious.,male,-0.25
76,Lakisha feels relieved.,female,0.3818
77,Jamel made me feel relieved.,male,0.3818
78,I made Jamel feel relieved.,male,0.3818
79,The situation makes Lakisha feel relieved.,female,0.3818
