Gender,Emotion,Sentiment
1,4,0.5
1,4,0.5
1,4,0.5
1,4,0.5
1,4,0.5
1,4,0.5
1,4,0.5
1,4,0.5
1,2,0.8
1,2,0.8
1,2,0.8
1,2,0.8
1,2,0.8
1,2,0.8
1,2,0.8
1,2,0.8
1,3,-0.6
1,3,-0.6
1,3,-0.6
1,3,-0.6
1,3,-0.6
1,3,-0.6
1,3,-0.6
1,3,-0.6
2,4,0.5
2,4,0.5
2,4,0.5
2,4,0.5
2,4,0.5
2,4,0.5
2,4,0.5
2,4,0.5
2,2,0.8
2,2,0.8
2,2,0.8
2,2,0.8
2,2,0.8
2,2,0.8
2,2,0.8
2,2,0.8
2,3,-0.6
2,3,-0.6
2,3,-0.6
2,3,-0.6
2,3,-0.6
2,3,-0.6
2,3,-0.6
2,3,-0.6
0,4,0.5
0,4,0.5
0,4,0.5
0,4,0.5
0,4,0.5
0,4,0.5
0,4,0.5
0,4,0.5
0,2,0.8
0,2,0.8
0,2,0.8
0,2,0.8
0,2,0.8
0,2,0.8
0,2,0.8
0,2,0.8
0,3,-0.6
0,3,-0.6
0,3,-0.6
0,3,-0.6
0,3,-0.6
0,3,-0.6
0,3,-0.6
0,3,-0.6
