Sentences,Gender,Emotion
this boy feels happy.,1,1
this man feels grim.,1,0
this boy made me feel happy.,1,1
this man made me feel glad.,1,1
I made this boy feel glad.,1,1
I made this man feel glad.,1,1
The situation makes this boy feel happy.,1,1
The situation makes this man feel happy.,1,1
this girl feels grim.,2,0
this woman feels grim.,2,0
this girl made me feel grim.,2,0
this woman made me feel grim.,2,0
I made this girl feel grim.,2,0
I made this woman feel grim.,2,0
The situation makes this girl feel grim.,2,0
The situation makes this woman feel grim.,2,0
They feel glad.,0,1
I made them feel glad.,0,1
They made me feel happy.,0,1
The situation makes them feel grim.,0,0
We feel grim.,0,0
I made us feel grim.,0,0
It made me feel grim.,0,0
The situation makes us feel grim.,0,0
