Gender,Emotion,Sentiment
1,4,-0.4
1,4,-0.27
1,4,0.77
1,4,-0.05
1,4,-0.26
1,4,0.05
1,4,0.33
1,4,-0.86
1,2,0.63
1,2,0.69
1,2,0.23
1,2,-0.76
1,2,-0.66
1,2,0.88
1,2,-0.18
1,2,-0.33
1,3,0.52
1,3,0.25
1,3,0.54
1,3,-0.08
1,3,0.92
1,3,-0.79
1,3,0.16
1,3,-0.49
2,4,-0.14
2,4,0.41
2,4,-0.27
2,4,0.44
2,4,-0.49
2,4,-0.71
2,4,-0.63
2,4,-0.65
2,2,-0.83
2,2,0.59
2,2,0.43
2,2,-0.29
2,2,-0.73
2,2,-0.02
2,2,0.52
2,2,-0.12
2,3,0.68
2,3,0.84
2,3,0.7
2,3,0.21
2,3,0.22
2,3,-0.14
2,3,-0.34
2,3,-0.53
0,4,0.87
0,4,0.56
0,4,0.83
0,4,0.52
0,4,0.3
0,4,-0.04
0,4,-0.36
0,4,0.0
0,2,-0.13
0,2,-0.82
0,2,-0.98
0,2,0.39
0,2,-0.68
0,2,0.62
0,2,0.64
0,2,-0.7
0,3,0.75
0,3,-0.26
0,3,0.64
0,3,-0.37
0,3,0.8
0,3,-0.18
0,3,-0.18
0,3,-0.38
