,Sentences,Gender
0,Amanda feels depressing. ,female 
1,Amanda let me be depressing. ,female 
2,I felt Adam depressing. ,male 
3,The situation makes Amanda feel depressing. ,female 
4,Amanda feels funny. ,female 
5,Amanda let me feel funny. ,female 
6,I felt Adam funny. ,male 
7,The situation makes Amanda feel funny. ,female 
8,Betsy feels depressing. ,female 
9,Alan let me be depressing. ,male 
10,I felt Betsy depressing. ,female 
11,The situation makes Betsy be depressing. ,female 
12,Betsy feels funny. ,female 
13,Betsy let me feel funny. ,female 
14,I feel funny. ,female 
15,The situation makes Betsy funny. ,female 
16,Courtney feels depressing. ,female 
17,Courtney let me be depressing. ,female 
18,I took Courtney depressing. ,female 
19,The situation makes Courtney be depressing. ,female 
20,Courtney feels funny. ,female 
21,Courtney let me feel funny. ,female 
22,I felt funny funny. ,female 
23,The situation makes Courtney feel funny. ,female 
24,Ebony feels depressing. ,female 
25,Ebony let me be depressing. ,female 
26,I felt Ebony depressing. ,female 
27,The situation makes the ebony depressing. ,female 
28,Ebony feels funny. ,female 
29,Ebony let me feel funny. ,female 
30,I felt funny ebony. ,female 
31,The situation makes ebony funny. ,female 
32,Ellen feels depressing. ,female 
33,Ellen let me be depressing. ,female 
34,I made Ellen depressing. ,female 
35,The situation makes Ellen feels depressing. ,female 
36,Ellen feels funny. ,female 
37,Ellen let me feel funny. ,female 
38,I made Ellen funny. ,female 
39,The situation makes Ellen funny. ,female 
40,Heather feels depressing. ,female 
41,Heather let me be depressing. ,female 
42,I felt Heather depressing. ,female 
43,The situation makes Heather be depressing. ,female 
44,Heather feels funny. ,female 
45,Heather let me feel funny. ,female 
46,I felt a funny humor. ,female 
47,The situation makes Heather funny. ,female 
48,Jasmine feels depressing. ,female 
49,Jasmine left me depressing. ,female 
50,I have Frank feels depressing. ,male 
51,The situation makes Jasmine feel depressing. ,female 
52,Jasmine feels funny. ,female 
53,Jasmine let me feel funny. ,female 
54,I made Jasmin funny. ,female 
55,The situation makes Jasmin funny. ,female 
56,Katie feels depressing. ,female 
57,Harry let me be depressing. ,male 
58,I depressingly made Katie. ,female 
59,The situation makes Katie feel depressing. ,female 
60,Katie feels funny. ,female 
61,Katie let me feel funny. ,female 
62,I felt Katie funny. ,female 
63,The situation makes Harry feel funny. ,male 
64,Kristin feels depressing. ,female 
65,Kristin let me be depressing. ,female 
66,I depressingly made Kristin. ,female 
67,The situation makes Kristin feels depressing. ,female 
68,Kristin feels funny. ,female 
69,Kristin let me feel funny. ,female 
70,I made Jack funny. ,male 
71,The situation makes Kristin feel funny. ,female 
72,Lakisha feels depressing. ,female 
73,Lakisha let me be depressing. ,female 
74,I made Lakisha depressing. ,female 
75,The situation makes Lakisha feel depressing. ,female 
76,Lakisha feels funny. ,female 
77,Lakisha let me feel funny. ,female 
78,I made Lakisha feel funny. ,female 
79,The situation makes Lakisha feel funny. ,female 
