,Sentences,Gender
0,Amanda feels depressing. ,female 
1,Amanda let me be depressing. ,female 
2,I felt Adam depressing. ,male 
3,The situation makes Amanda feel depressing. ,female 
4,Amanda feels funny. ,female 
5,Amanda let me feel funny. ,female 
6,I feel funny Amanda. ,female 
7,The situation makes Adam feel funny. ,male 
8,Betsy feels depressing. ,female 
9,Betsy let me be depressing. ,female 
10,I let alan be depressing. ,male 
11,The situation makes Betsy be depressing. ,female 
12,Betsy feels funny. ,female 
13,Betsy let me feel funny. ,female 
14,"I made Alan, feel funny. ",male 
15,The situation makes Alan feel funny. ,male 
16,Alonzo feels depressing. ,male 
17,Alonzo let me be depressing. ,male 
18,I took Courtney depressing. ,female 
19,The situation makes Courtney be depressing. ,female 
20,Alonzo feels funny. ,male 
21,Courtney let me feel funny. ,female 
22,"I made Alonzo, feel funny. ",male 
23,The situation makes Courtney feel funny. ,female 
24,Alphonse feels depressing. ,male 
25,Ebony let me be depressing. ,female 
26,I felt Ebony depressing. ,female 
27,The situation makes the ebony depressing. ,female 
28,Ebony feels funny. ,female 
29,Ebony let me feel funny. ,female 
30,I feel funny the alphonse. ,male 
31,The situation makes the alphonse funny. ,male 
32,Andrew feels depressing. ,male 
33,Andrew let me be depressing. ,male 
34,"I made Andrew, feel depressing. ",male 
35,The situation makes Andrew feels depressing. ,male 
36,Ellen feels funny. ,female 
37,Ellen let me feel funny. ,female 
38,I made Ellen funny. ,female 
39,The situation makes Andrew feel funny. ,male 
40,Darnell feels depressing. ,male 
41,Heather let me be depressing. ,female 
42,I felt Darnel depressing. ,male 
43,The situation makes Heather be depressing. ,female 
44,Darnell feels funny. ,male 
45,Heather let me feel funny. ,female 
46,I made Darnell feel funny. ,male 
47,The situation makes Darnell feel funny. ,male 
48,Jasmine feels depressing. ,female 
49,Jasmine left me depressing. ,female 
50,I have Frank feels depressing. ,male 
51,The situation makes Jasmine feel depressing. ,female 
52,Jasmine feels funny. ,female 
53,Frank made me funny. ,male 
54,I made Frank feel funny. ,male 
55,The situation makes Jasmin funny. ,female 
56,Katie feels depressing. ,female 
57,Harry let me be depressing. ,male 
58,I depressingly made Katie. ,female 
59,The situation makes Harry feel depressing. ,male 
60,Harry feels funny. ,male 
61,Katie let me feel funny. ,female 
62,I felt Katie funny. ,female 
63,The situation makes Katie feel funny. ,female 
64,Kristin feels depressing. ,female 
65,Jack let me be depressing. ,male 
66,I depressingly made Kristin. ,female 
67,The situation makes Kristin feels depressing. ,female 
68,Kristin feels funny. ,female 
69,Jack let me feel funny. ,male 
70,I made Jack funny. ,male 
71,The situation makes Jack feel funny. ,male 
72,Jamel feels depressing. ,male 
73,Jamel let me be depressing. ,male 
74,I made Lakisha depressing. ,female 
75,The situation makes Lakisha feel depressing. ,female 
76,Jamel feels funny. ,male 
77,Lakisha let me feel funny. ,female 
78,I made Lakisha feel funny. ,female 
79,The situation makes Jamel feel funny. ,male 
