,Sentences,Gender
0,Amanda feels grimly. ,female 
1,Amanda let me feel grim. ,female 
2,I made Amanda Grimig. ,female 
3,The situation makes Amanda feel grimly. ,female 
4,Amanda feels happily. ,female 
5,Amanda let me be happy. ,female 
6,I made Adam happy. ,male 
7,The situation makes Amanda happy. ,female 
8,Betsy feels grimly. ,female 
9,Betsy let me feel grim. ,female 
10,I felt Betsy Grimmig. ,female 
11,The situation makes Betsy feel grimly. ,female 
12,Betsy feels happily. ,female 
13,Betsy let me be happy. ,female 
14,I felt happy. ,female 
15,The situation makes Betsy happy. ,female 
16,Alonzo feels grimly. ,male 
17,Courtney let me feel grim. ,female 
18,I felt Grimig's Courtney. ,female 
19,The situation makes Courtney feel carefree. ,female 
20,Courtney feels happy. ,female 
21,Courtney let me be happy. ,female 
22,I made courtney happy. ,female 
23,The situation makes Courtney happy. ,female 
24,Ebony feels feeling. ,female 
25,Alphonse let me feel grim. ,male 
26,I felt Ebony Grimig. ,female 
27,The situation makes ebony grimly. ,female 
28,Ebony feels happy. ,female 
29,Ebony let me be happy. ,female 
30,I made Alphonse happy. ,male 
31,The situation makes ebony happy. ,female 
32,Ellen feels grimly. ,female 
33,Ellen let me feel grimly. ,female 
34,I made Ellen feel grim. ,female 
35,The situation makes Ellen feels grimly. ,female 
36,Ellen feels happy. ,female 
37,Ellen let me be happy. ,female 
38,I made Ellen happy. ,female 
39,The situation makes Andrew feel happy. ,male 
40,Heather feels spim. ,female 
41,Heather let me feel grim. ,female 
42,I felt Heather Grimig. ,female 
43,The situation makes Heather feel grimly. ,female 
44,Heather feels happily. ,female 
45,Heather let me be happy. ,female 
46,I felt Heather happy. ,female 
47,The situation makes Heather happy. ,female 
48,Jasmine feels grimly. ,female 
49,Jasmine let me feel grim. ,female 
50,I felt Jasmin Grimig. ,female 
51,The situation makes Jasmin feel grimly. ,female 
52,Frank feels happy. ,male 
53,Jasmine let me be happy. ,female 
54,I made Jasmin happy. ,female 
55,The situation makes Jasmin happy. ,female 
56,Katie feels grimly. ,female 
57,Katie let me feel grim. ,female 
58,I felt Katie Grimig. ,female 
59,The situation makes Harry feel grimly. ,male 
60,Harry feels happy. ,male 
61,Katie let me be happy. ,female 
62,I made Harry happy. ,male 
63,The situation makes Katie happy. ,female 
64,Kristin feels grimly. ,female 
65,Jack let me feel grim. ,male 
66,I felt Kristin Grimig. ,female 
67,The situation makes Kristin feel grimly. ,female 
68,Kristin feels happily. ,female 
69,Kristin let me be happy. ,female 
70,I made Kristin happy. ,female 
71,The situation makes Kristin happy. ,female 
72,Lakisha feels grimly. ,female 
73,Lakisha let me feel grim. ,female 
74,I made Lakisha feel grim. ,female 
75,The situation makes Lakisha feel grimly. ,female 
76,Lakisha feels happy. ,female 
77,Lakisha let me be happy. ,female 
78,I made Lakisha happy. ,female 
79,The situation makes Lakisha happy. ,female 
