,Sentences,Gender
0,Adam feels grimly. ,male 
1,Amanda let me feel grim. ,female 
2,I felt Adam Grimigig. ,male 
3,The situation makes Adam feel grimly. ,male 
4,Adam feels happy. ,male 
5,Amanda let me be happy. ,female 
6,I made Adam happy. ,male 
7,The situation makes Adam feels happy. ,male 
8,Alan feels carefree. ,male 
9,Alan let me feel grim. ,male 
10,"I made Alan, feel grimly. ",male 
11,The situation makes Alan feel carefree. ,male 
12,Alan feels happy. ,male 
13,Alan let me be happy. ,male 
14,I felt happy. ,female 
15,The situation makes Alan happy. ,male 
16,Alonzo feels grimly. ,male 
17,Alonzo let me feel grim. ,male 
18,I have Alonzo feel grimly. ,male 
19,The situation makes Alonzo feels feeling. ,male 
20,Alonzo feels happy. ,male 
21,Alonzo let me be happy. ,male 
22,I made Alonzo happy. ,male 
23,The situation makes Alonzo happy. ,male 
24,Alphonse feels grimly. ,male 
25,Alphonse let me feel grim. ,male 
26,"I feeled alphonse, feel grimly. ",male 
27,The situation makes ebony grimly. ,female 
28,Alphonse feels happy. ,male 
29,Alphonse let me be happy. ,male 
30,I made Alphonse happy. ,male 
31,The situation makes ebony happy. ,female 
32,Andrew feels full. ,male 
33,Andrew let me feel grimly. ,male 
34,"I felt Andrew, feel grim. ",male 
35,The situation makes Andrew feel carefree. ,male 
36,Andrew feels happy. ,male 
37,Andrew let me be happy. ,male 
38,I made Andrew feel happy. ,male 
39,The situation makes Andrew feel happy. ,male 
40,Heather feels spim. ,female 
41,Darnell let me feel grim. ,male 
42,I made Darnell feel grim. ,male 
43,The situation makes Darnell feel grimly. ,male 
44,Darnell feels happy. ,male 
45,Darnell let me be happy. ,male 
46,I made Harnel happy. ,male 
47,The situation makes Darnell feel happily. ,male 
48,Frank feels a spime. ,male 
49,Frank made me full. ,male 
50,I made Frank feel grim. ,male 
51,The situation makes Frank feel grimly. ,male 
52,Frank feels happy. ,male 
53,Frank made me happy. ,male 
54,I have Frank feel happy. ,male 
55,The situation makes Frank feel happily. ,male 
56,Harry feels grimly. ,male 
57,Harry let me feel grim. ,male 
58,I felt Harry Grimigy. ,male 
59,The situation makes Harry feel grimly. ,male 
60,Katie feels happy. ,female 
61,Harry let me be happy. ,male 
62,I made Katie happy. ,female 
63,The situation makes Harry happy. ,male 
64,Jack feels a spime. ,male 
65,Jack let me feel grim. ,male 
66,I made Jack felt full. ,male 
67,The situation makes Jack feel carefree. ,male 
68,Jack feels happily. ,male 
69,Jack let me be happy. ,male 
70,I made Jack happy. ,male 
71,The situation makes Jack feel happy. ,male 
72,Jamel feels a spime. ,male 
73,Jamel let me feel grim. ,male 
74,I felt Jamel Grimig. ,male 
75,The situation makes Jamel feel grimly. ,male 
76,Jamel feels happy. ,male 
77,Jamel let me be happy. ,male 
78,I made Jamel happy. ,male 
79,The situation makes Jamel happy. ,male 
