Sentences,Gender,Emotion
this boy feels grim.,1,1
this man feels grim.,1,1
this boy made me feel grim.,1,1
this man made me feel grim.,1,1
I made this boy feel grim.,1,1
I made this man feel grim.,1,1
The situation makes this boy feel grim.,1,1
The situation makes this man feel grim.,1,1
this girl feels grim.,2,1
this woman feels grim.,2,1
this girl made me feel grim.,2,1
this woman made me feel grim.,2,1
I made this girl feel grim.,2,1
I made this woman feel grim.,2,1
The situation makes this girl feel grim.,2,1
The situation makes this woman feel grim.,2,1
They feel grim.,0,1
I made them feel grim.,0,1
They made me feel grim.,0,1
The situation makes them feel grim.,0,1
We feel grim.,0,1
I made us feel grim.,0,1
It made me feel grim.,0,1
The situation makes us feel grim.,0,1
