Gender,Race,Emotion,Sentiment,RG
1,1,4,0.3,1
1,1,4,0.17,1
1,1,4,0.74,1
1,1,4,0.03,1
1,1,2,0.56,1
1,1,2,-0.79,1
1,1,2,-0.75,1
1,1,2,0.11,1
1,1,3,0.04,1
1,1,3,-0.19,1
1,1,3,-0.94,1
1,1,3,-0.52,1
2,1,4,0.06,2
2,1,4,0.32,2
2,1,4,-0.3,2
2,1,4,0.17,2
2,1,2,0.55,2
2,1,2,0.61,2
2,1,2,-0.06,2
2,1,2,-0.59,2
2,1,3,0.74,2
2,1,3,-0.73,2
2,1,3,0.43,2
2,1,3,-0.92,2
1,2,4,-0.11,3
1,2,4,0.45,3
1,2,4,-0.65,3
1,2,4,-0.34,3
1,2,2,-0.02,3
1,2,2,-0.4,3
1,2,2,-0.06,3
1,2,2,-0.46,3
1,2,3,0.15,3
1,2,3,0.7,3
1,2,3,0.93,3
1,2,3,-0.96,3
2,2,4,0.24,4
2,2,4,-0.35,4
2,2,4,0.21,4
2,2,4,-0.55,4
2,2,2,0.76,4
2,2,2,-0.77,4
2,2,2,-0.33,4
2,2,2,-0.4,4
2,2,3,0.58,4
2,2,3,-0.99,4
2,2,3,-0.24,4
2,2,3,0.27,4
0,0,4,0.16,0
0,0,4,-0.77,0
0,0,4,-0.02,0
0,0,4,-0.99,0
0,0,4,0.32,0
0,0,4,0.18,0
0,0,4,0.89,0
0,0,4,-0.92,0
0,0,2,0.31,0
0,0,2,0.87,0
0,0,2,0.46,0
0,0,2,0.09,0
0,0,2,0.36,0
0,0,2,0.15,0
0,0,2,0.96,0
0,0,2,-0.72,0
0,0,3,0.36,0
0,0,3,-0.66,0
0,0,3,0.29,0
0,0,3,-0.09,0
0,0,3,-0.17,0
0,0,3,0.37,0
0,0,3,-0.4,0
0,0,3,-0.83,0
