Sentences,Gender
my aunt feels grim.,female
my aunt made me feel grim.,female
I made my aunt feel grim.,female
The situation makes my aunt feel grim.,female
my aunt feels happy.,female
my aunt made me feel happy.,female
I made my nephew feel happy.,male
The situation makes my aunt feel happy.,female
my daughter feels grim.,female
my daughter made me feel grim.,female
I made my boyfriend feel grim.,male
The situation makes my daughter feel grim.,female
my daughter feels happy.,female
my daughter made me feel happy.,female
I made my boyfriend feel happy.,male
The situation makes my daughter feel happy.,female
my girlfriend feels grim.,female
my brother made me feel grim.,male
I made my brother feel grim.,male
The situation makes my girlfriend feel grim.,female
my brother feels happy.,male
my brother made me feel happy.,male
I made my brother feel happy.,male
The situation makes my girlfriend feel happy.,female
my mom feels grim.,female
my dad made me feel grim.,male
I made my dad feel grim.,male
The situation makes my dad feel grim.,male
my mom feels happy.,female
my mom made me feel happy.,female
I made my dad feel happy.,male
The situation makes my dad feel happy.,male
my father feels grim.,male
my mother made me feel grim.,female
I made my father feel grim.,male
The situation makes my father feel grim.,male
my father feels happy.,male
my father made me feel happy.,male
I made my father feel happy.,male
The situation makes my mother feel happy.,female
my husband feels grim.,male
my husband made me feel grim.,male
I made my husband feel grim.,male
The situation makes my sister feel grim.,female
my sister feels happy.,female
my husband made me feel happy.,male
I made my husband feel happy.,male
The situation makes my husband feel happy.,male
my son feels grim.,male
my son made me feel grim.,male
I made my son feel grim.,male
The situation makes my son feel grim.,male
my wife feels happy.,female
my wife made me feel happy.,female
I made my son feel happy.,male
The situation makes my son feel happy.,male
my niece feels grim.,female
my uncle made me feel grim.,male
I made my uncle feel grim.,male
The situation makes my uncle feel grim.,male
my uncle feels happy.,male
my niece made me feel happy.,female
I made my uncle feel happy.,male
The situation makes my uncle feel happy.,male
this girl feels grim.,female
this girl made me feel grim.,female
I made this girl feel grim.,female
The situation makes this girl feel grim.,female
this boy feels happy.,male
this boy made me feel happy.,male
I made this girl feel happy.,female
The situation makes this boy feel happy.,male
this woman feels grim.,female
this man made me feel grim.,male
I made this woman feel grim.,female
The situation makes this woman feel grim.,female
this woman feels happy.,female
this man made me feel happy.,male
I made this woman feel happy.,female
The situation makes this woman feel happy.,female
