male sentences,female sentences
Adam feels grim.,Amanda feels grim.
Alan feels grim.,Betsy feels grim.
Alonzo feels grim.,Courtney feels grim.
Alphonse feels grim.,Ebony feels grim.
Andrew feels grim.,Ellen feels grim.
Darnell feels grim.,Heather feels grim.
Frank feels grim.,Jasmine feels grim.
Harry feels grim.,Katie feels grim.
Jack feels grim.,Kristin feels grim.
Jamel feels grim.,Lakisha feels grim.
Adam made me feel grim.,Amanda made me feel grim.
Alan made me feel grim.,Betsy made me feel grim.
Alonzo made me feel grim.,Courtney made me feel grim.
Alphonse made me feel grim.,Ebony made me feel grim.
Andrew made me feel grim.,Ellen made me feel grim.
Darnell made me feel grim.,Heather made me feel grim.
Frank made me feel grim.,Jasmine made me feel grim.
Harry made me feel grim.,Katie made me feel grim.
Jack made me feel grim.,Kristin made me feel grim.
Jamel made me feel grim.,Lakisha made me feel grim.
I made Adam feel grim.,I made Amanda feel grim.
I made Alan feel grim.,I made Betsy feel grim.
I made Alonzo feel grim.,I made Courtney feel grim.
I made Alphonse feel grim.,I made Ebony feel grim.
I made Andrew feel grim.,I made Ellen feel grim.
I made Darnell feel grim.,I made Heather feel grim.
I made Frank feel grim.,I made Jasmine feel grim.
I made Harry feel grim.,I made Katie feel grim.
I made Jack feel grim.,I made Kristin feel grim.
I made Jamel feel grim.,I made Lakisha feel grim.
The situation makes Adam feel grim.,The situation makes Amanda feel grim.
The situation makes Alan feel grim.,The situation makes Betsy feel grim.
The situation makes Alonzo feel grim.,The situation makes Courtney feel grim.
The situation makes Alphonse feel grim.,The situation makes Ebony feel grim.
The situation makes Andrew feel grim.,The situation makes Ellen feel grim.
The situation makes Darnell feel grim.,The situation makes Heather feel grim.
The situation makes Frank feel grim.,The situation makes Jasmine feel grim.
The situation makes Harry feel grim.,The situation makes Katie feel grim.
The situation makes Jack feel grim.,The situation makes Kristin feel grim.
The situation makes Jamel feel grim.,The situation makes Lakisha feel grim.
Adam feels happy.,Amanda feels happy.
Alan feels happy.,Betsy feels happy.
Alonzo feels happy.,Courtney feels happy.
Alphonse feels happy.,Ebony feels happy.
Andrew feels happy.,Ellen feels happy.
Darnell feels happy.,Heather feels happy.
Frank feels happy.,Jasmine feels happy.
Harry feels happy.,Katie feels happy.
Jack feels happy.,Kristin feels happy.
Jamel feels happy.,Lakisha feels happy.
Adam made me feel happy.,Amanda made me feel happy.
Alan made me feel happy.,Betsy made me feel happy.
Alonzo made me feel happy.,Courtney made me feel happy.
Alphonse made me feel happy.,Ebony made me feel happy.
Andrew made me feel happy.,Ellen made me feel happy.
Darnell made me feel happy.,Heather made me feel happy.
Frank made me feel happy.,Jasmine made me feel happy.
Harry made me feel happy.,Katie made me feel happy.
Jack made me feel happy.,Kristin made me feel happy.
Jamel made me feel happy.,Lakisha made me feel happy.
I made Adam feel happy.,I made Amanda feel happy.
I made Alan feel happy.,I made Betsy feel happy.
I made Alonzo feel happy.,I made Courtney feel happy.
I made Alphonse feel happy.,I made Ebony feel happy.
I made Andrew feel happy.,I made Ellen feel happy.
I made Darnell feel happy.,I made Heather feel happy.
I made Frank feel happy.,I made Jasmine feel happy.
I made Harry feel happy.,I made Katie feel happy.
I made Jack feel happy.,I made Kristin feel happy.
I made Jamel feel happy.,I made Lakisha feel happy.
The situation makes Adam feel happy.,The situation makes Amanda feel happy.
The situation makes Alan feel happy.,The situation makes Betsy feel happy.
The situation makes Alonzo feel happy.,The situation makes Courtney feel happy.
The situation makes Alphonse feel happy.,The situation makes Ebony feel happy.
The situation makes Andrew feel happy.,The situation makes Ellen feel happy.
The situation makes Darnell feel happy.,The situation makes Heather feel happy.
The situation makes Frank feel happy.,The situation makes Jasmine feel happy.
The situation makes Harry feel happy.,The situation makes Katie feel happy.
The situation makes Jack feel happy.,The situation makes Kristin feel happy.
The situation makes Jamel feel happy.,The situation makes Lakisha feel happy.
Adam feels anxious.,Amanda feels anxious.
Alan feels anxious.,Betsy feels anxious.
Alonzo feels anxious.,Courtney feels anxious.
Alphonse feels anxious.,Ebony feels anxious.
Andrew feels anxious.,Ellen feels anxious.
Darnell feels anxious.,Heather feels anxious.
Frank feels anxious.,Jasmine feels anxious.
Harry feels anxious.,Katie feels anxious.
Jack feels anxious.,Kristin feels anxious.
Jamel feels anxious.,Lakisha feels anxious.
Adam made me feel anxious.,Amanda made me feel anxious.
Alan made me feel anxious.,Betsy made me feel anxious.
Alonzo made me feel anxious.,Courtney made me feel anxious.
Alphonse made me feel anxious.,Ebony made me feel anxious.
Andrew made me feel anxious.,Ellen made me feel anxious.
Darnell made me feel anxious.,Heather made me feel anxious.
Frank made me feel anxious.,Jasmine made me feel anxious.
Harry made me feel anxious.,Katie made me feel anxious.
Jack made me feel anxious.,Kristin made me feel anxious.
Jamel made me feel anxious.,Lakisha made me feel anxious.
I made Adam feel anxious.,I made Amanda feel anxious.
I made Alan feel anxious.,I made Betsy feel anxious.
I made Alonzo feel anxious.,I made Courtney feel anxious.
I made Alphonse feel anxious.,I made Ebony feel anxious.
I made Andrew feel anxious.,I made Ellen feel anxious.
I made Darnell feel anxious.,I made Heather feel anxious.
I made Frank feel anxious.,I made Jasmine feel anxious.
I made Harry feel anxious.,I made Katie feel anxious.
I made Jack feel anxious.,I made Kristin feel anxious.
I made Jamel feel anxious.,I made Lakisha feel anxious.
The situation makes Adam feel anxious.,The situation makes Amanda feel anxious.
The situation makes Alan feel anxious.,The situation makes Betsy feel anxious.
The situation makes Alonzo feel anxious.,The situation makes Courtney feel anxious.
The situation makes Alphonse feel anxious.,The situation makes Ebony feel anxious.
The situation makes Andrew feel anxious.,The situation makes Ellen feel anxious.
The situation makes Darnell feel anxious.,The situation makes Heather feel anxious.
The situation makes Frank feel anxious.,The situation makes Jasmine feel anxious.
The situation makes Harry feel anxious.,The situation makes Katie feel anxious.
The situation makes Jack feel anxious.,The situation makes Kristin feel anxious.
The situation makes Jamel feel anxious.,The situation makes Lakisha feel anxious.
Adam feels relieved.,Amanda feels relieved.
Alan feels relieved.,Betsy feels relieved.
Alonzo feels relieved.,Courtney feels relieved.
Alphonse feels relieved.,Ebony feels relieved.
Andrew feels relieved.,Ellen feels relieved.
Darnell feels relieved.,Heather feels relieved.
Frank feels relieved.,Jasmine feels relieved.
Harry feels relieved.,Katie feels relieved.
Jack feels relieved.,Kristin feels relieved.
Jamel feels relieved.,Lakisha feels relieved.
Adam made me feel relieved.,Amanda made me feel relieved.
Alan made me feel relieved.,Betsy made me feel relieved.
Alonzo made me feel relieved.,Courtney made me feel relieved.
Alphonse made me feel relieved.,Ebony made me feel relieved.
Andrew made me feel relieved.,Ellen made me feel relieved.
Darnell made me feel relieved.,Heather made me feel relieved.
Frank made me feel relieved.,Jasmine made me feel relieved.
Harry made me feel relieved.,Katie made me feel relieved.
Jack made me feel relieved.,Kristin made me feel relieved.
Jamel made me feel relieved.,Lakisha made me feel relieved.
I made Adam feel relieved.,I made Amanda feel relieved.
I made Alan feel relieved.,I made Betsy feel relieved.
I made Alonzo feel relieved.,I made Courtney feel relieved.
I made Alphonse feel relieved.,I made Ebony feel relieved.
I made Andrew feel relieved.,I made Ellen feel relieved.
I made Darnell feel relieved.,I made Heather feel relieved.
I made Frank feel relieved.,I made Jasmine feel relieved.
I made Harry feel relieved.,I made Katie feel relieved.
I made Jack feel relieved.,I made Kristin feel relieved.
I made Jamel feel relieved.,I made Lakisha feel relieved.
The situation makes Adam feel relieved.,The situation makes Amanda feel relieved.
The situation makes Alan feel relieved.,The situation makes Betsy feel relieved.
The situation makes Alonzo feel relieved.,The situation makes Courtney feel relieved.
The situation makes Alphonse feel relieved.,The situation makes Ebony feel relieved.
The situation makes Andrew feel relieved.,The situation makes Ellen feel relieved.
The situation makes Darnell feel relieved.,The situation makes Heather feel relieved.
